decision_id,source_label,source_label_kind,surface_count,source_count,periods,current_gap_status,recommended_preferred_label,decision_class,proposed_action,target_region_ids,target_geo_ids,missing_geo_recommendation,confidence,evidence_needed,public_display_rule,implementation_guardrail,source_basis
RGN-001,Australia / Indigenous,public_region_folder,95,43,1930_1970:17;1970_2000:28;2000_2026:27;pre_1930:15;undated_or_unparsed:8,public_folder_not_in_controlled_geography,Australia; Aboriginal Australia; Torres Strait Islander Australia,sensitive_structural_split,split_with_protocol_review,REG015,GEO069; GEO104; GEO105,Add specific Nation/Country/community records only when the source evidence supports preferred naming.,high,"identify source-stated Indigenous community, Nation, Country, language group, or protocol note where possible",display Australia plus Indigenous context or specific Nation/Country; never reduce Indigenous context to country only,Use broad Indigenous Australia only as a temporary protocol-aware umbrella.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-002,China / Hong Kong,public_region_folder,53,46,1930_1970:23;1970_2000:4;2000_2026:19;pre_1930:2;undated_or_unparsed:5,public_folder_not_in_controlled_geography,Mainland China; Hong Kong,structural_split,split_by_record_evidence,REG008; REG009,GEO040; GEO041,,high,"determine whether each record is Mainland China, Hong Kong, or cross-border/bilingual circulation",never show slash label; use separate chips or separate values,Do not normalize Hong Kong records into Mainland China.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-003,Cuba / transnational,public_region_folder,8,7,1930_1970:3;1970_2000:2;2000_2026:1;undated_or_unparsed:2,public_folder_not_in_controlled_geography,Cuba; transnational context,structural_split,split_place_and_context,REG004,GEO029; GEO001,,medium,"distinguish island-based production from exile, diaspora, solidarity, or international circulation",display Cuba and add transnational badge only when source evidence supports it,Do not fuse place and circulation context into one geography.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-004,Latin America,public_region_folder,925,923,1930_1970:190;1970_2000:41;2000_2026:164;pre_1930:236;undated_or_unparsed:294,public_folder_not_in_controlled_geography,Latin America,mapping_gap_or_display_alias,map_to_REG004_and_review_exact_child_need,REG004,GEO028,Add an exact Latin America display/alias geography only if records explicitly exclude the Caribbean.,medium,verify whether each source scope means Latin America only or Latin America and the Caribbean,display Latin America when source says Latin America; roll up to REG004 for browse,Do not silently claim Caribbean coverage from Latin America-only evidence.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-005,Palestine / transnational,public_region_folder,25,23,1930_1970:4;1970_2000:6;2000_2026:11;undated_or_unparsed:4,public_folder_not_in_controlled_geography,Mandatory Palestine; Palestinian territories and diaspora; transnational context,sensitive_historical_split,split_with_historical_review,REG013,GEO084; GEO085; GEO001,,medium,"distinguish historical Palestine, present-day Palestinian context, diaspora, and solidarity/transnational circulation",use separate place and transnational/context badges,Do not collapse all Palestine-related records into one modern-state label.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-006,Russia,public_region_folder,26,16,1930_1970:10;1970_2000:7;2000_2026:1;pre_1930:7;undated_or_unparsed:1,public_folder_not_in_controlled_geography,Russia or Russia / USSR contexts,historical_period_review,route_by_date_and_territorial_scope,REG002,GEO016,Consider a modern Russia country_context split from GEO016 if enough post-1991 records accumulate.,medium,"review period, republic/territory scope, source institution, and Soviet vs Russian wording",display Russia only when actually Russia; use USSR/Soviet context when multi-republic Soviet scope is explicit,Do not nationalize Soviet material into Russia by default.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-007,South Africa / Botswana,public_region_folder,57,36,1930_1970:2;1970_2000:10;2000_2026:26;pre_1930:1;undated_or_unparsed:18,public_folder_not_in_controlled_geography,South Africa; Botswana; Southern Africa,structural_split_with_missing_geo,split_and_add_country_if_needed,REG014,GEO062; GEO102,Add Botswana as a country_context when record-level evidence is specifically Botswana.,high,"determine whether each record is South Africa, Botswana, bilateral, or regional southern African solidarity context",display both countries for bilateral records; display Southern Africa only for region-wide records,Do not leave bilateral records as a slash label.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-008,Unresolved region,public_region_folder,4693,4079,1930_1970:1488;1970_2000:1858;2000_2026:470;pre_1930:513;undated_or_unparsed:364,public_folder_not_in_controlled_geography,Pending geographic normalization,internal_qa_state,keep_pending_then_batch_resolve,,,,high,"record-level placeText, sourceSubjects, title, description, source notes, sourceUrl, and sourceName evidence",hide from public browse; show as pending only on detail/internal QA surfaces,Never treat Unresolved region as a geography or release coverage signal.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-009,Uruguay,public_region_folder,20,20,undated_or_unparsed:20,public_folder_not_in_controlled_geography,Uruguay,controlled_geo_missing,add_country_geography_then_map,REG004,,Add Uruguay as a country_context under GEO028 / REG004.,high,country-level label is already explicit in public folder,display Uruguay,Add as controlled geography before treating the public folder as normalized.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-010,France,research_packet_label,317,42,1930_1970:92;1970_2000:5;2000_2026:2;pre_1930:213;undated_or_unparsed:5,not_present_as_public_gap,France,auto_country_mapping,auto_map,REG001,GEO005,,high,exact controlled geography already exists,display France; parent region optional in browse tree,Do not inflate source coverage by counting parent macro-region as a separate source.,region_geography_normalization_docx
RGN-011,United States,research_packet_label,576,388,1930_1970:154;1970_2000:83;2000_2026:31;pre_1930:301;undated_or_unparsed:7,not_present_as_public_gap,United States,auto_country_mapping,auto_map,REG003,GEO025,,high,exact controlled geography already exists,display United States; city/state can appear as child detail when known,Do not collapse Indigenous North America or transborder records into U.S. only.,region_geography_normalization_docx
RGN-012,Brazil,research_packet_label,297,296,1930_1970:57;1970_2000:26;2000_2026:161;pre_1930:47;undated_or_unparsed:6,not_present_as_public_gap,Brazil,auto_country_mapping,auto_map,REG004,GEO030,,high,exact controlled geography already exists,display Brazil,Keep country mapping separate from broad Latin America source coverage.,region_geography_normalization_docx
RGN-013,Mexico,research_packet_label,241,241,1930_1970:54;1970_2000:31;2000_2026:113;pre_1930:41;undated_or_unparsed:2,not_present_as_public_gap,Mexico,auto_country_mapping,auto_map,REG004,GEO027,,high,exact controlled geography already exists,display Mexico; roll up to Latin America and the Caribbean in this archive,Do not remap Mexico to REG003 merely because GEO027 is parented under North America.,region_geography_normalization_docx
RGN-014,India,research_packet_label,74,71,1930_1970:2;1970_2000:55;2000_2026:4;pre_1930:6;undated_or_unparsed:7,not_present_as_public_gap,India,auto_country_mapping,auto_map,REG012,GEO051,,high,exact controlled geography already exists,display India,Keep multilingual/script evidence visible where source records provide it.,region_geography_normalization_docx
RGN-015,Japan,research_packet_label,35,30,1930_1970:16;1970_2000:8;2000_2026:6;pre_1930:3;undated_or_unparsed:2,not_present_as_public_gap,Japan,auto_country_mapping,auto_map,REG005,GEO036,,high,exact controlled geography already exists,display Japan,Keep REG005 as a browse exception until region/geography layer consistency is redesigned.,region_geography_normalization_docx
RGN-016,United Kingdom,research_packet_label,134,78,1930_1970:84;1970_2000:8;2000_2026:1;pre_1930:40;undated_or_unparsed:1,not_present_as_public_gap,United Kingdom,auto_country_mapping_with_specificity_review,map_then_review_constituent_country_when_named,REG001,GEO003,,medium,"split to England, Scotland, Wales, Northern Ireland, imperial, or colonial contexts only when source evidence is specific",display United Kingdom; prefer constituent country when known later,Do not erase constituent-country or colonial/imperial specificity.,region_geography_normalization_docx
RGN-017,Germany,research_packet_label,90,65,1930_1970:36;1970_2000:22;2000_2026:2;pre_1930:29;undated_or_unparsed:1,not_present_as_public_gap,Germany; East Germany; West Germany when period-specific,auto_country_mapping_with_historical_review,map_then_review_1949_1990_records,REG001,GEO006,Add East Germany and West Germany historical geographies if record volume requires precise browse/filtering.,medium,period and institution/source wording for 1949-1990 records,display Germany unless source evidence needs East/West specificity,Do not force Cold War records into undifferentiated Germany when state/institution specificity matters.,region_geography_normalization_docx
RGN-018,Italy,research_packet_label,145,144,1930_1970:70;pre_1930:75,not_present_as_public_gap,Italy,auto_country_mapping,auto_map,REG001,GEO011,,high,exact controlled geography already exists,display Italy,Keep country mapping distinct from broad European macro-region coverage.,region_geography_normalization_docx
RGN-019,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",controlled_region,0,4,,child_geography_present_no_macro_folder,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",controlled_region_semantics_review,retain_id_but_stop_assigning_full_phrase_as_item_label,REG002,,,medium,"split country, Soviet/post-Soviet, Balkans, and socialist-context evidence",use child geography labels; keep full phrase as internal/browse parent only,"Treat socialist context as a context facet, not a place.",taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-020,North America,controlled_region,0,388,,child_geography_present_no_macro_folder,North America,controlled_region_rename_candidate,review_rename_to_Northern_America,REG003,,,medium,confirm Mexico stays under REG004 and Indigenous/transborder routes remain explicit,parent label only; cards should prefer country/community/city labels,Do not let U.S. source depth dominate the macro-region semantics.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-021,Korea,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Korea,possible_hidden_mapping_gap,resolve_unresolved_region_before_source_gap_claim,REG006,,,medium,search unresolved records and Korea/Korean/Hangul evidence,use Korean Peninsula only for pan-Korean/historical contexts,Do not claim Korea is truly absent until unresolved records are reviewed.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-022,East Asia,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,East Asia,parent_browse_node_not_item_gap,keep_parent_region_only,REG007,,,high,child geography coverage should carry item cards,avoid East Asia as item-level label when country/territory is known,Do not flatten China/Japan/Korea/Taiwan/Hong Kong into East Asia.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-023,Mainland China,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Mainland China,possible_hidden_mapping_gap,split_China_Hong_Kong_and_unresolved_records_first,REG008,,,medium,Mainland China evidence in slash labels and unresolved records,display Mainland China only when source evidence supports it,Do not absorb Hong Kong or Taiwan into Mainland China.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-024,Hong Kong,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Hong Kong,possible_hidden_mapping_gap,split_China_Hong_Kong_and_unresolved_records_first,REG009,,,medium,Hong Kong evidence in slash labels and unresolved records,display Hong Kong separately,Keep bilingual/colonial/activist contexts visible.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-025,Taiwan,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Taiwan,possible_hidden_mapping_gap_or_source_gap,audit_unresolved_then_target_source_routes,REG010,,,medium,Taiwan/Taiwanese/Traditional Chinese/Japanese colonial source evidence,display Taiwan separately,Do not merge Taiwan into broader Chinese design history.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-026,Southeast Asia,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Southeast Asia,likely_true_source_gap,prioritize_source_discovery_after_mapping_cleanup,REG011,,,high,country-level Southeast Asia source routes and image/text evidence,use country labels where known; Southeast Asia as parent only,Do not use one country as proxy for the region.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-027,Middle East and North Africa,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Middle East and North Africa,likely_true_source_gap_after_Palestine_split,prioritize_MENA_beyond_Palestine,REG013,,,high,Arabic/Persian/Hebrew/Turkish/North African source routes with rights evidence,use country/historical/place labels where known,Do not treat political-poster-only material as full regional coverage.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-028,Africa,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Africa,likely_true_source_gap_after_Southern_Africa_split,prioritize_Africa_beyond_Southern_Africa,REG014,,,high,"West, East, Horn, North, Central, and country-level source routes",continent label is parent only; cards should prefer country/subregion/community labels,Avoid continent-as-single-category treatment.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
RGN-029,Oceania and Pacific,controlled_region,0,0,,controlled_region_missing_from_public_surfaces,Oceania and Pacific,likely_true_source_gap_after_Australia_split,prioritize_Pacific_and_Aotearoa_after_protocol_review,REG015,,,high,"Aotearoa New Zealand, Pacific Islands, Indigenous/community protocol evidence",use country/community/subregion labels; Oceania and Pacific as parent only,Do not let Australian institutional data stand in for Pacific coverage.,taxonomy_gap_audit_v1 + region_geography_normalization_docx
