cluster_key,anchor_review_lane,recommended_next_step,manual_review_priority,can_seed_anchor_review,candidate_count_written,packet_scale,packet_relation_lane,packet_confidence,region,theme,source_family,five_year_bucket,actual_year_span,cluster_size,role_rows,anchor_candidate_count,sub_candidate_count,card_candidate_count,appendix_candidate_count,top_candidate_surface_id,top_candidate_title,top_anchor_review_score,top_candidate_role,top_candidate_risk_flags,blocking_reason
Poland|Modern typography and layout|Wikimedia Commons|1935-1939,strong_packet_anchor_candidate_review,manually_confirm_top_candidate_then_prepare_cover_or_editorial,high,true,5,medium,strong_packet_candidate,high,Poland,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1939,10,10,0,8,2,0,SURF-CCE2026R00403,Reklama.jpg,84.45,sub_under_packet_candidate,commons_file_source,strong packet lane with plausible top anchor candidate
Brazil|Modern typography and layout|Wikimedia Commons|1830-1834,strong_packet_anchor_candidate_review,manually_confirm_top_candidate_then_prepare_cover_or_editorial,high,true,5,medium,strong_packet_candidate,high,Brazil,Modern typography and layout,Wikimedia Commons,1830-1834,1830-1830,9,9,0,9,0,0,SURF-CAW2026R00032,"Marianne North (1830-1890) - Foliage and Flowers of a Climbing Plant with Royal Palms and Sugarloaf Mountain in the Background, Brazil - MN65 - Marianne North Gallery.jpg",81.15,sub_under_packet_candidate,commons_file_source,strong packet lane with plausible top anchor candidate
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa|1985-1989,strong_packet_anchor_candidate_review,manually_confirm_top_candidate_then_prepare_cover_or_editorial,high,true,5,medium,strong_packet_candidate,high,Aotearoa New Zealand,Postwar exhibition and cultural posters,Te Papa,1985-1989,1985-1989,8,8,0,8,0,0,SURF-LPC2026R018,"Poster, 'He's back.....hide your wallets!'",78.35,sub_under_packet_candidate,,strong packet lane with plausible top anchor candidate
United States|New Deal and civic poster programs|Library of Congress|1935-1939,strong_packet_anchor_candidate_review,manually_confirm_top_candidate_then_prepare_cover_or_editorial,high,true,5,medium,strong_packet_candidate,high,United States,New Deal and civic poster programs,Library of Congress,1935-1939,1936-1938,8,8,0,8,0,0,SURF-MC1930R017,"WPA federal art regional exhibit, Montclair Museum Easel painting, graphic arts, poster display, index of design.",86.05,packet_member_review,,strong packet lane with plausible top anchor candidate
Aotearoa New Zealand|World War and public-information graphics|Te Papa|1980-1984,strong_packet_anchor_candidate_review,manually_confirm_top_candidate_then_prepare_cover_or_editorial,high,true,5,medium,strong_packet_candidate,high,Aotearoa New Zealand,World War and public-information graphics,Te Papa,1980-1984,1980-1984,5,5,0,5,0,0,SURF-GAPIT2026R025,Trident missile poster,83.8,packet_member_review,,strong packet lane with plausible top anchor candidate
Brazil|Modern typography and layout|Wikimedia Commons|1925-1929,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Brazil,Modern typography and layout,Wikimedia Commons,1925-1929,1925-1929,45,45,0,6,39,0,SURF-CGS2026R0415,AcabaramSeOsOtariosAd1.jpg,84.45,sub_under_packet_candidate,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Indonesia|Modern typography and layout|Wikimedia Commons|1980-1984,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Indonesia,Modern typography and layout,Wikimedia Commons,1980-1984,1980-1984,45,45,0,3,42,0,SURF-CRB2026V3R00226,COLLECTIE TROPENMUSEUM Filmdoek voor de aankondiging van de film Remaja Pulang Pagi TMnr 4653-111.jpg,73.85,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Latin America|Modern typography and layout|Wikimedia Commons|1890-1894,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Latin America,Modern typography and layout,Wikimedia Commons,1890-1894,1890-1894,31,31,0,5,25,0,SURF-CAW2026R00594,Bierstadt Albert Island of New Providence.jpg,95.75,manual_relation_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Indonesia|Modern typography and layout|Wikimedia Commons|1985-1989,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Indonesia,Modern typography and layout,Wikimedia Commons,1985-1989,1985-1989,25,25,0,5,20,0,SURF-CAW2026R03073,Rachmat Saleh - Ministers of the Third Development Cabinet.jpg,67.55,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Nigeria|Modern typography and layout|Wikimedia Commons|1945-1949,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Nigeria,Modern typography and layout,Wikimedia Commons,1945-1949,1945-1948,24,24,0,21,3,0,SURF-CAW2026R02234,A 1948 advertisement for The Hercules Cycle & Motor Co. Ltd.jpg,69.95,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Aotearoa New Zealand|Modern typography and layout|Wikimedia Commons|1920-1924,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Aotearoa New Zealand,Modern typography and layout,Wikimedia Commons,1920-1924,1920-1924,21,21,0,12,9,0,SURF-CAW2026R01526,Advertisement in British & Intercolonial Exhibition 1923 guide – Egg Preservative.tif,74.65,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Argentina|Modern typography and layout|Wikimedia Commons|1900-1904,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Argentina,Modern typography and layout,Wikimedia Commons,1900-1904,1900-1904,20,20,0,3,14,0,SURF-CGS2026R0075,"Women in 1900 art, Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop) (cropped).jpg",99.05,manual_relation_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Brazil|Modern typography and layout|Wikimedia Commons|1940-1944,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Brazil,Modern typography and layout,Wikimedia Commons,1940-1944,1940-1944,20,20,0,3,16,0,SURF-CCE2026R00431,Biscoitos Aymore (Jornal do Brasil - 1940).png,99.05,manual_relation_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Algeria|Modern typography and layout|Wikimedia Commons|1965-1969,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Algeria,Modern typography and layout,Wikimedia Commons,1965-1969,1965-1969,19,19,0,4,15,0,SURF-CCT2026R00242,Une-Si-Jeune-Paix.png,74.25,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Argentina|Modern typography and layout|Wikimedia Commons|1960-1964,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Argentina,Modern typography and layout,Wikimedia Commons,1960-1964,1961-1964,18,18,0,8,10,0,SURF-CCE2026R00645,Valiant III aviso argentina.jpg,77.55,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Azerbaijan|Modern typography and layout|Wikimedia Commons|1935-1939,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Azerbaijan,Modern typography and layout,Wikimedia Commons,1935-1939,1935-1939,17,17,0,17,0,0,SURF-CCT2026R01419,Leyli and Majnun poster 1935-1936.jpg,66.65,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
India|Modern typography and layout|Wikimedia Commons|1955-1959,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,India,Modern typography and layout,Wikimedia Commons,1955-1959,1955-1958,17,17,0,8,9,0,SURF-CCT2026R03753,Asai anna arumai-thambi 1955 tamil film poster.jpg,69.55,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Ukraine|Modern typography and layout|Wikimedia Commons|2005-2009,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Ukraine,Modern typography and layout,Wikimedia Commons,2005-2009,2005-2009,17,17,0,6,10,0,SURF-CCT2026R01813,Las Meninas Poster.jpg,99.65,manual_relation_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
Latin America|Modern typography and layout|Wikimedia Commons|1950-1954,sub_rich_anchor_candidate_review,manually_test_top_candidate_as_normal_main_anchor,high,true,5,large,packet_parentage_review,medium,Latin America,Modern typography and layout,Wikimedia Commons,1950-1954,1950-1952,15,15,0,15,0,0,SURF-CAW2026R02357,"Jacket, formal (AM 2017.66.10-8).jpg",73.15,packet_member_review,commons_file_source,sub-rich parentage cluster has a plausible top anchor candidate
