matrix_id,source_expansion_id,source_name,region,source_type,url,access_method,api_iiif_oai_data,record_family,period_1830_1930,period_1931_1970,period_1971_2000,period_2001_2026,image_value,text_value,rights_clarity,stable_identifier_quality,automation_feasibility,crawl_difficulty,default_image_zone,recommended_use,priority_1930_1970,source_status,deep_research_needed,use_notes
SEM108,GSE108,Palestinian Museum Digital Archive,Middle East and North Africa,Community/archive portal,https://palarchive.org/,Public search + web item pages,source-hosted item pages; API not assumed,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,medium,IMG02,launch,P1 authority/context crawl,candidate,yes,Palestinian and transnational solidarity poster/documentary graphics
SEM038,GSE038,Cooper Hewitt Collection,North America,Museum collection/API,https://collection.cooperhewitt.org/,API + web + CSV,Public API; CC0 data,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,Low-Med,High for metadata; images mixed,High,High,low,IMG00,launch,P1 object/image crawl,candidate,no,One of the best design-specific sources
SEM032,GSE032,DPLA,North America,Metadata aggregator,https://dp.la/,API,JSON-LD API; CC0 metadata,poster_print_object;authority_context,secondary,strong,secondary,secondary,Med,Low-Med,High for metadata; item rights vary,High,High,low,IMG00,launch,P1 object/image crawl,candidate,no,Excellent discovery layer; not for image hosting
SEM034,GSE034,LoC Prints & Photographs API,North America,Specialized API,https://www.loc.gov/pictures/api,API,PPOC JSON,poster_print_object,secondary,strong,strong,secondary,High-open,Low-Med,Med,High,High,low,IMG03,launch,P1 object/image crawl,candidate,no,Very strong poster/print source
SEM100,GSE100,DigitalNZ,Oceania and Pacific,National aggregator,https://digitalnz.org/,API,DigitalNZ API,poster_print_object,secondary,strong,strong,secondary,Med,Low-Med,Med,High,High,low,IMG00,launch,P1 object/image crawl,candidate,no,"Aotearoa/New Zealand distributed print, poster and visual culture"
SEM016,GSE016,Wellcome Collection Catalogue API,Western/Central Europe,Museum/library API,https://developers.wellcomecollection.org/docs/catalogue,API,Catalogue API + IIIF links,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-open,Med,High,High,High,low,IMG03,launch,P1 object/image crawl,candidate,no,"Strong for posters, printed health graphics, public communication design"
SEM062,GSE062,NDL Digital Collections,East Asia,National library digital portal,https://dl.ndl.go.jp/,API + web,PIDs; IIIF on some images,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med-High,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,Core Japanese print culture source
SEM070,GSE070,National Library of Korea Open API,East Asia,National library API,https://www.nl.go.kr/,API + web,Open API (key-based),periodical_newspaper;archive_finding_aid,secondary,strong,strong,secondary,Med,High,Med,High,Med-High,low,IMG00,launch,P1 text-rich crawl,candidate,no,Useful for Korean publishing and periodical metadata
SEM025,GSE025,Kramerius,Eastern Europe,Open-source digital library platform,https://system-kramerius.cz/en/,OAI + web,OAI-PMH; API ecosystem,periodical_newspaper;poster_print_object,secondary,strong,strong,strong,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Important because many Czech/Slovak portals run on it
SEM021,GSE021,POLONA,Eastern Europe,National library portal,https://polona.pl/,Web,IIIF-oriented practice via labs,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,Major Polish print and poster corpus
SEM026,GSE026,dLib.si,Eastern Europe,National digital library,https://www.dlib.si/,OAI + web,OAI-PMH; EDM exposure,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Strong for Slovene periodical and print studies
SEM103,GSE103,Internet Archive / text and periodical collections,Global / web / transnational,Repository,https://archive.org/,API + web,metadata API; file lists; web viewer,periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,Med,High,Low-Med,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,high-value text and periodical reservoir across all periods
SEM049,GSE049,Memoria Chilena,Latin America,Digital resource center,https://www.memoriachilena.gob.cl/,OAI + web,OAI exposure; thematic research pages,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med-High,Med,Med,low,IMG02,backup,P1 text-rich crawl,candidate,no,"Strong for Chilean print, visual arts, periodicals"
