source_name,region,object_count,first_year,last_year
V&A Collections API,United Kingdom,2983,1800,2012
Colnect via Wikimedia Commons,Indonesia,783,1945,2020
National Library of Norway Catalogue API,Norway,522,1854,2016
Library of Congress Prints and Photographs API,United States,436,1890,1993
Colnect via Wikimedia Commons,Peru,386,1866,1971
Yale University Art Gallery Linked Art,United States,345,1990,2020
Colnect via Wikimedia Commons,Bolivia,290,1867,1968
Gallica / BnF APIs,France,286,1806,1982
Colnect via Wikimedia Commons,Algeria,259,1899,1974
Kazakhstan Post via Wikimedia Commons,Kazakhstan,257,1968,2022
Digital Public Library of America via Wikimedia Commons,Mexico,237,1846,1918
Library of Congress Prints and Photographs API,Germany,237,1907,1980
Art Institute of Chicago API,United States,204,1894,2025
Colnect via Wikimedia Commons,Brazil,169,1865,1983
V&A Collections API,Germany,165,1864,2014
Library of Congress Prints and Photographs API,Russia,160,1914,1988
Colnect via Wikimedia Commons,India,156,1867,1998
Library of Congress Prints and Photographs API,China / Hong Kong,152,1938,1978
Creator-contributed record via Wikimedia Commons,Brazil,136,1883,2026
Cooper Hewitt Collection GraphQL API,United States,134,1898,2020
Library of Congress Prints and Photographs API,France,125,1876,1978
Art Institute of Chicago API,United Kingdom,124,1914,2012
V&A Collections API,United States,110,1896,2020
Creator-contributed record via Wikimedia Commons,Turkey,104,1864,2025
DigitalNZ,Aotearoa New Zealand,103,1867,2025
Art Institute of Chicago API,Netherlands,101,1899,2022
Creator-contributed record via Wikimedia Commons,Ukraine,98,1850,2026
Library of Congress Prints and Photographs API,Global / transnational,97,1918,1980
Creator-contributed record via Wikimedia Commons,China / Hong Kong,96,1905,2025
Library of Congress Prints and Photographs API,United Kingdom,94,1890,1979
Malaysia Design Archive,Malaysia,94,1931,2025
Private collection scan via Wikimedia Commons,Iraq,93,1919,1974
Library of Congress Prints and Photographs API,Italy,88,1902,1979
Creator-contributed record via Wikimedia Commons,India,86,1839,2026
Desain Grafis Indonesia,Indonesia,80,1930,2025
Colnect via Wikimedia Commons,Iraq,79,1918,1975
Library of Congress Prints and Photographs API,Austria,76,1920,1980
V&A Collections API,Poland,73,1953,2025
Biblioteca Nacional Digital de Chile,Chile,67,1966,2011
Library of Congress Prints and Photographs API,Cuba / transnational,66,1965,1978
Private collection scan via Wikimedia Commons,Iran,65,1950,1994
Creator-contributed record via Wikimedia Commons,Mexico,64,1899,2026
Library of Congress Prints and Photographs API,Chile,61,1963,1979
Colnect via Wikimedia Commons,Colombia,59,1881,1982
Library of Congress Prints and Photographs API,Finland,59,1947,1979
Colnect via Wikimedia Commons,Azerbaijan,58,1994,2019
Private collection scan via Wikimedia Commons,Mexico,57,1850,1968
