metric,value,notes
base_override_rows,2445,Packet-relation sandbox preview statistic.
eligible_explicit_clusters,83,Packet-relation sandbox preview statistic.
member_rows_considered,73,Packet-relation sandbox preview statistic.
merged_override_rows,2518,Packet-relation sandbox preview statistic.
new_preview_overrides,73,Packet-relation sandbox preview statistic.
preview_applied,73,Packet-relation sandbox preview statistic.
rejected_examples,0,Packet-relation sandbox preview statistic.
rejected_rows,0,Packet-relation sandbox preview statistic.
selected_clusters,18,Packet-relation sandbox preview statistic.
selected_member_rows,73,Packet-relation sandbox preview statistic.
selected_region:Aotearoa New Zealand,1,Packet-relation sandbox preview statistic.
selected_region:Australia / Indigenous,1,Packet-relation sandbox preview statistic.
selected_region:Azerbaijan,1,Packet-relation sandbox preview statistic.
selected_region:China / Hong Kong,1,Packet-relation sandbox preview statistic.
selected_region:Ethiopia,1,Packet-relation sandbox preview statistic.
selected_region:India,1,Packet-relation sandbox preview statistic.
selected_region:Indonesia,1,Packet-relation sandbox preview statistic.
selected_region:Iran,2,Packet-relation sandbox preview statistic.
selected_region:Korean Peninsula,1,Packet-relation sandbox preview statistic.
selected_region:Latin America,1,Packet-relation sandbox preview statistic.
selected_region:Serbia,1,Packet-relation sandbox preview statistic.
selected_region:Syria,1,Packet-relation sandbox preview statistic.
selected_region:Uganda,1,Packet-relation sandbox preview statistic.
selected_region:United Kingdom,1,Packet-relation sandbox preview statistic.
selected_region:United States,2,Packet-relation sandbox preview statistic.
selected_region:Uruguay,1,Packet-relation sandbox preview statistic.
selected_role:packet_member_review,48,Packet-relation sandbox preview statistic.
selected_role:sub_under_packet_candidate,25,Packet-relation sandbox preview statistic.
