retry_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_class,source_url,final_url,http_status,probe_status,failure_family,failure_reason,candidate_priority,capture_priority_next,alternate_endpoint_hint,recommended_retry_route,rights_boundary,notes
RTV2-001,CSS0040,Tasveer Ghar,South Asia,India / South Asia,South Asia,visual culture archive,https://tasveerghar.net/,,,failed,connection_reset,URLError: <urlopen error [Errno 54] Connection reset by peer>,P0,P2 retry/manual verification,manual source-registry review and alternate endpoint search,retry_later_or_manual_browser_source_check,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-002,CSS0034,ASEAN Digital Library,Southeast Asia,ASEAN,Southeast Asia,regional digital library,https://www.aseanlibrary.org/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"look for collection search, IIIF manifest endpoint, or provider API from source root | verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-003,CSS0038,CIViC Archive,South Asia,India,India,popular visual culture archive,https://civicarchives.org/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-004,CSS0041,Design Dashtahjaat,South Asia,Pakistan,Pakistan,graphic design archive,https://designdashtahjaat.com/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
RTV2-005,CSS0036,Thai Graphic Design Century,Southeast Asia,Thailand,Thailand,publication / archive project,https://thaigraphicdesignhistory.com/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P1,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,Useful source family despite not being post-1990 object material.
RTV2-006,CSS0102,Vietnam National Archives,Southeast Asia,National library / archive,Vietnam,national archive,https://archives.gov.vn/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; Southeast Asia coverage gap; prioritize source links and bibliographic records"
RTV2-007,CSS0122,Wits Historical Papers,Africa,Africa / diaspora,South Africa,university archive,https://historicalpapers-atom.wits.ac.za/,,,failed,dns_or_domain,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>",P0,P2 retry/manual verification,"verify current domain, moved project page, or institutional successor page",domain_successor_or_archival_source_note,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
RTV2-008,CSS0118,Akkasah,MENA,Arab world / Middle East,MENA,photography archive,https://akkasah.org/,,,failed,ssl_certificate,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,P0,P2 retry/manual verification,manual browser check and canonical-domain verification before retry,canonical_domain_and_certificate_review_then_retry,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
RTV2-009,CSS0110,DAG,South Asia,India / South Asia,India,gallery/research archive,https://dagworld.com/,,,failed,ssl_certificate,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)>,P0,P2 retry/manual verification,manual browser check and canonical-domain verification before retry,canonical_domain_and_certificate_review_then_retry,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
RTV2-010,CSS0107,National Library of Thailand,Southeast Asia,National library / archive,Thailand,national library,https://www.nlt.go.th/,,,failed,ssl_certificate,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,P0,P2 retry/manual verification,manual browser check and canonical-domain verification before retry,canonical_domain_and_certificate_review_then_retry,do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; Southeast Asia coverage gap; prioritize source links and bibliographic records"
