group,main_sheet_count,keep_main_anchor,keep_main_add_text,packet_anchor_review,downgrade_to_sub_candidate,downgrade_to_card_candidate,convert_to_text_or_appendix,exclude_or_deprioritize_review,manual_review,median_anchor_score,median_risk_pressure
Global / transnational,3106,241,289,1331,451,742,0,0,52,48,8
Latin America and the Caribbean,2596,366,159,364,154,1328,0,0,225,46,44
Middle East and North Africa,1415,165,125,215,89,713,0,0,108,48,26
Southeast Asia,1309,56,57,137,34,953,0,0,72,51,44
"Eastern Europe, Balkans, and Central/Eastern socialist contexts",1022,65,85,100,20,619,0,0,133,45,44
South Asia,646,63,61,202,72,187,0,0,61,46,8
Western and Central Europe,592,20,37,181,23,220,0,0,111,47,8
Oceania and Pacific,505,59,45,158,40,87,0,0,116,47,8
Africa,480,83,31,95,21,199,0,0,51,49,8
East Asia,393,107,32,61,12,92,0,0,89,51,8
North America,309,62,30,127,10,34,0,0,46,51,8
Serbia,174,25,8,85,21,20,0,0,15,46,8
Seychelles,89,0,10,36,9,33,0,0,1,47,8
Democratic Republic of the Congo,78,15,4,19,4,22,0,0,14,52,8
Unresolved region,76,3,7,31,0,1,1,0,33,45,0
Bosnia and Herzegovina,64,3,3,4,2,34,0,0,18,39,44
Lithuania,64,0,2,0,0,60,0,0,2,44,44
Angola,45,6,0,0,0,37,0,0,2,53,62
Moldova,41,0,0,1,0,39,0,0,1,56,62
Syria,41,7,6,3,1,16,0,0,8,51,8
Croatia,40,2,1,0,0,24,0,0,13,44,44
Latvia,36,0,0,0,0,34,0,0,2,36,44
Uganda,34,22,1,4,0,0,0,0,7,72,8
Albania,33,1,1,0,0,20,0,0,11,50,62
Tunisia,33,2,4,3,0,9,0,0,15,51,8
Papua New Guinea,28,3,2,0,0,10,0,0,13,49,8
Slovenia,25,0,0,0,0,25,0,0,0,39,44
Yemen,24,2,2,0,0,15,0,0,5,44,44
Madagascar,23,7,2,6,1,1,0,0,6,49,28
Jordan,20,4,1,1,0,5,0,0,9,47,8
United Arab Emirates,19,7,3,0,0,7,0,0,2,56,8
Mozambique,15,0,1,0,0,12,0,0,2,39,62
North Macedonia,15,0,0,7,0,1,0,0,7,48,8
Laos,14,2,0,0,0,10,0,0,2,45,62
Cape Verde,12,4,0,0,0,5,0,0,3,49,8
Estonia,12,0,0,0,0,10,0,0,2,38,44
Benin,11,3,0,0,0,6,0,0,2,51,44
Solomon Islands,11,3,1,2,0,4,0,0,1,55,8
Mauritius,10,4,0,5,0,0,0,0,1,48,28
Mongolia,9,0,0,0,0,6,0,0,3,47,44
Cameroon,8,3,1,0,0,4,0,0,0,59,28
Bahrain,7,1,1,0,0,3,0,0,2,43,8
Zambia,7,1,4,0,0,2,0,0,0,58,28
Zimbabwe,7,2,1,0,0,3,0,0,1,42,48
Fiji,5,1,0,0,0,3,0,0,1,49,62
Timor-Leste,5,0,0,0,0,2,0,0,3,51,8
Mali,4,3,0,0,0,0,0,0,1,63,8
Oman,4,2,0,0,0,2,0,0,0,65,26
Kiribati,3,0,0,0,0,2,0,0,1,48,62
Rwanda,3,0,0,1,0,2,0,0,0,33,62
Samoa,3,1,0,0,0,2,0,0,0,45,62
Togo,3,2,0,0,0,0,0,0,1,61,8
Maldives,2,0,1,0,0,0,0,0,1,55,8
Qatar,2,0,0,0,0,1,0,0,1,48,35
Brunei,1,0,0,0,0,0,0,0,1,45,8
Kuwait,1,0,0,0,0,0,0,0,1,44,8
Puerto Rico,1,0,0,0,0,0,0,0,1,34,0
Tonga,1,1,0,0,0,0,0,0,0,68,8
Vanuatu,1,0,0,0,0,0,0,0,1,47,8
