source_family,family_class,signal_name,signal_scope,required_evidence,blocked_actions,risk_level,audit_priority,why_this_family
Internet Archive,library_archive_or_aggregator,scan_or_publication_host_signal,audit_signal_only,"publication title, archive item id, page/volume relation, source-side metadata, and object-level design relevance",Do not let hosting source alone define a packet; avoid global/transnational packeting without region resolution. No rights/image-state/source-authority upgrade is permitted.,high,P0,50 role rows; primary blocker=missing_member_or_sub; status=tiny_seed_after_manual_resolution
Te Papa,museum_or_collection_api,collection_api_object_signal,audit_signal_only,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit. No rights/image-state/source-authority upgrade is permitted.,high,P0,35 role rows; primary blocker=missing_member_or_sub; status=tiny_seed_after_manual_resolution
Library of Congress,library_archive_or_aggregator,library_archive_series_signal,audit_signal_only,"collection/series id, bibliographic hierarchy, source-side relation text, date/place, and object type",Do not infer packet parentage from library platform alone. No rights/image-state/source-authority upgrade is permitted.,high,P0,22 role rows; primary blocker=missing_anchor; status=tiny_seed_after_manual_resolution
Another Graphic,design_or_cultural_institution,editorial_project_or_event_signal,audit_signal_only,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence. No rights/image-state/source-authority upgrade is permitted.",high,P0,11 role rows; primary blocker=lane_not_strong; status=tiny_seed_after_manual_resolution
Gallica / BnF APIs,library_archive_or_aggregator,bibliographic_sequence_signal,audit_signal_only,"title stem, BnF/Gallica record type, view/page count, date evidence, and shared bibliographic collection context",Do not treat Gallica volume/page adjacency as design-object parentage without source text and non-macro region evidence. No rights/image-state/source-authority upgrade is permitted.,high,P1,95 role rows; primary blocker=no_eligible_rows; status=define_parentage_signal
Georgia State CONTENTdm,library_archive_or_aggregator,collection_record_series_signal,audit_signal_only,"CONTENTdm collection name, object type, place/date metadata, and repeated source collection identifiers",Do not collapse same-platform records into packets unless collection/series membership is explicit. No rights/image-state/source-authority upgrade is permitted.,high,P1,63 role rows; primary blocker=lane_not_strong; status=define_parentage_signal
DigitalNZ,library_archive_or_aggregator,collection_api_object_signal,audit_signal_only,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit. No rights/image-state/source-authority upgrade is permitted.,high,P1,30 role rows; primary blocker=lane_not_strong; status=define_parentage_signal
NAIDOC Poster Gallery,design_or_cultural_institution,editorial_project_or_event_signal,audit_signal_only,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence. No rights/image-state/source-authority upgrade is permitted.",high,P1,27 role rows; primary blocker=lane_not_strong; status=define_parentage_signal
Malaysia Design Archive,design_or_cultural_institution,editorial_project_or_event_signal,audit_signal_only,"project/studio/exhibition/event context, curatorial text, creator relation, date span, and repeated title/project markers","Do not make event photos, interviews, profiles, or thin posts into packet members without design-object evidence. No rights/image-state/source-authority upgrade is permitted.",high,P1,9 role rows; primary blocker=lane_not_strong; status=define_parentage_signal
Wellcome Collection,museum_or_collection_api,collection_api_object_signal,audit_signal_only,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit. No rights/image-state/source-authority upgrade is permitted.,high,P1,32 role rows; primary blocker=lane_not_strong; status=improve_design_object_and_cluster_confidence
Smithsonian,museum_or_collection_api,collection_api_object_signal,audit_signal_only,"institution object id, collection/department, object type, date/place, maker, and source description",Do not convert museum/API siblings into sub sheets unless an anchor work or project relation is explicit. No rights/image-state/source-authority upgrade is permitted.,high,P1,8 role rows; primary blocker=lane_not_strong; status=improve_design_object_and_cluster_confidence
