queue_id,candidate_id,source_name,macro_region,subregion,country_or_region,source_class,protocol_lane,adapter_type,detected_protocols,adapter_hint,capture_priority_next,candidate_priority,recommended_text_policy_next,recommended_image_policy_next,rights_risk,next_action,image_capture_boundary,source_url,final_url,notes
P1V2-001,CSS0115,29LT,MENA,Arab world / Middle East,MENA,typography foundry/archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.29lt.com/,https://www.29lt.com/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
P1V2-002,CSS0124,African Digital Heritage,Africa,Africa / diaspora,Africa,digital heritage organization,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.africandigitalheritage.org/,https://africandigitalheritage.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
P1V2-003,CSS0111,Alkazi Foundation,South Asia,India / South Asia,South Asia,photography archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST;PDF,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://alkazifoundation.org/,https://alkazifoundation.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
P1V2-004,CSS0116,Barjeel Art Foundation,MENA,Arab world / Middle East,MENA,art foundation archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://barjeelartfoundation.org/,https://www.barjeelartfoundation.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; edge-source priority; do not infer rights from visible image availability"
P1V2-005,CSS0028,DesignSingapore Council,Southeast Asia,Singapore,Singapore,design institution,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 adapter build,P1,report/profile text extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://designsingapore.org/,https://designsingapore.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-006,CSS0121,GALA Queer Archive,Africa,Africa / diaspora,South Africa,community archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST;PDF,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,community_or_cultural_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://gala.co.za/,https://gala.co.za/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
P1V2-007,CSS0127,Herskovits Library,Africa,Africa / diaspora,Africa / diaspora,research library,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.library.northwestern.edu/libraries-collections/herskovits-library/,https://www.library.northwestern.edu/libraries-collections/distinctive-special-collections/herskovits-library/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; main coverage gap; source relationship and cultural sensitivity review required"
P1V2-008,CSS0112,Indian Memory Project,South Asia,India / South Asia,India,community visual archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,community_or_cultural_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.indianmemoryproject.com/,https://indianmemoryproject.com/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
P1V2-009,CSS0109,MAP Academy,South Asia,India / South Asia,South Asia,scholarly encyclopedia,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://mapacademy.io/,https://imp-art.org/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; major non-Western visual culture gap; treat images conservatively"
P1V2-010,CSS0031,Malaysian Design Archive,Southeast Asia,Malaysia,Malaysia,community/critical design archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,essay and record text extraction,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,community_or_cultural_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.malaysiadesignarchive.org/,https://www.malaysiadesignarchive.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-011,CSS0104,National Library of the Philippines,Southeast Asia,National library / archive,Philippines,national library,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST;PDF,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,low_to_medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://web.nlp.gov.ph/,https://web.nlp.gov.ph/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; Southeast Asia coverage gap; prioritize source links and bibliographic records"
P1V2-012,CSS0059,Biblioteca Nacional Digital Brasil,Latin America,Brazil,Brazil,national library digital collection,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 adapter build,P1,metadata/OCR text,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://bndigital.bn.gov.br/,https://bndigital.bn.gov.br/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-013,CSS0054,Diseño Nacional,Latin America,Southern Cone,Chile,graphic archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,record metadata and source text,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.disenonacional.cl/,https://www.disenonacional.cl/,Historical but essential coverage source; include in source scan.
P1V2-014,CSS0016,JAGDA,East Asia,Japan,Japan,professional association,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,institutional description and event text,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.jagda.or.jp/,https://www.jagda.or.jp/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-015,CSS0096,Musashino Art University Museum and Library,East Asia,Japan / Korea,Japan,university museum/library,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://mauml.musabi.ac.jp/,https://mauml.musabi.ac.jp/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
P1V2-016,CSS0095,National Museum of Modern Art Tokyo,East Asia,Japan / Korea,Japan,museum,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.momat.go.jp/en/,https://www.momat.go.jp/en/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; priority East Asia source gap and authority/source-registry expansion"
P1V2-017,CSS0017,Tokyo Type Directors Club,East Asia,Japan,Japan,professional association / awards,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,source/event text extraction,IMG04 text/source registry; no image frame unless item-level visual record is found,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://tokyotypedirectorsclub.org/,https://tokyotypedirectorsclub.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-018,CSS0140,Russian State Library,Eastern Europe / Central Asia,Libraries / poster archives,Russia,national library,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.rsl.ru/,https://www.rsl.ru/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
P1V2-019,CSS0142,Soviet Posters,Eastern Europe / Central Asia,Libraries / poster archives,Russia / Soviet,poster archive,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 adapter build,P1,medium,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://www.sovietposters.com/,https://sovietposters.com/,"candidate source only; internal triage; not source partnership, rights clearance, or publication-ready authority; under-covered Eastern Europe/Central Asia source discovery"
P1V2-020,CSS0001,Another Graphic,Global,Independent web,Transnational,independent design archive / publication,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,RSS/Atom;JSON-LD;WordPress REST;Static JS App,wordpress_rest_or_html_adapter,P1 text/source enrichment,P0,essay and project text extraction after source terms review,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,manual_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://anothergraphic.org/,https://anothergraphic.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
P1V2-021,CSS0006,BP&O,Global,Independent web,United Kingdom / transnational,branding archive / review,WordPress REST / HTML,wordpress_rest_or_html_source_adapter,JSON-LD;WordPress REST,wordpress_rest_or_html_adapter,P1 adapter build,P1,project summary and outbound link extraction,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,standard_rights_review,"probe public REST/feed endpoints; extract titles, dates, source links, tags, citations, rights text only",do_not_capture_images; metadata_source_links_descriptions_rights_evidence_only; IMG03_requires_authoritative_item_level_open_rights,https://bpando.org/,https://bpando.org/,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
