capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date
ECAP001,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,7962,https://www.artic.edu/artworks/7962,Buy a Little Present for the Kaiser,"Unknown Artist (American, 20th century)
published by the Society of Poster Art (American, 20th century)",1917/18,1917,1918,United States,poster; print; prints and drawing,Color lithograph on cream wove paper,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/59320f53-e6a1-4fb7-0246-ff70542460bf/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/59320f53-e6a1-4fb7-0246-ff70542460bf/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP002,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,10429,https://www.artic.edu/artworks/10429,La Gismonda (Sarah Bernhardt),"Alphonse Marie Mucha (Czech, 1860-1939)
printed by Lemercier et Compagnie, Paris",1894/95,1894,1895,Czech Republic,poster; print; prints and drawing,"Color lithograph in lavender, salmon, colbat blue, light blue, and olive on two sheets of tan wove paper",Art Institute of Chicago,AIC search API reports is_public_domain=true.,,AIC search API reports is_public_domain=true.,IMG03,AIC search API reports is_public_domain=true.,IMG03: AIC search API reports is_public_domain=true.,high,true,Open image display candidate; final publication still needs item-page rights capture.,open_image_frame,,false,,false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP003,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,111986,https://www.artic.edu/artworks/111986,"Zodiaque (""La Plume"")","Alphonse Marie Mucha
Czech, 1860-1939",1896–97,1896,1897,Czech Republic,poster; print; prints and drawing,Color lithograph from multiple stones on tan wove paper,Art Institute of Chicago,AIC search API reports is_public_domain=true.,,AIC search API reports is_public_domain=true.,IMG03,AIC search API reports is_public_domain=true.,IMG03: AIC search API reports is_public_domain=true.,high,true,Open image display candidate; final publication still needs item-page rights capture.,open_image_frame,"https://www.artic.edu/iiif/2/119dba14-acf2-cdcd-e9e6-b9cd38bc3aad/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/119dba14-acf2-cdcd-e9e6-b9cd38bc3aad/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP004,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,7933,https://www.artic.edu/artworks/7933,To the Amputees—Join the Workforce,"Unknown Artist
French, 20th century",c. 1918,1914,1918,France,poster; print; prints and drawing,Color lithograph on paper,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/01e6ed5b-5b03-3929-f424-96e4bcbbec31/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/01e6ed5b-5b03-3929-f424-96e4bcbbec31/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP005,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,7955,https://www.artic.edu/artworks/7955,Keep These Off the U.S.A.,"John Warner Norton
American, 1876-1934",1918,1918,1918,United States,poster; print; prints and drawing,Color lithograph on cream wove paper laid down on linen,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/7aeac16d-ac42-79f1-d49e-fb7b49193ae3/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/7aeac16d-ac42-79f1-d49e-fb7b49193ae3/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP006,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,122394,https://www.artic.edu/artworks/122394,1952 Exhibition Poster,"Pablo Picasso (Spanish, 1881-1973)
printed by Hidalgo Arnéra (Italian, 1922-2007)",1952,1952,1952,Spain,linocut; print; prints and drawing; paper,Linocut on cream wove paper,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/40d361de-3296-7ed1-a6a9-f592457864b0/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/40d361de-3296-7ed1-a6a9-f592457864b0/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP007,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,185124,https://www.artic.edu/artworks/185124,This Is the Enemy,"Karl Koehler (American, born 1913)
Victor Ancona (American, 1912-1998)",1942,1942,1942,United States,lithograph; print; prints and drawing; poster,Offset lithograph,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/51548c3f-089f-4258-00ee-67087fb2d305/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/51548c3f-089f-4258-00ee-67087fb2d305/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP008,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,229396,https://www.artic.edu/artworks/229396,"Barack Obama ""Hope"" Poster","Shepard Fairey
American, born 1970",2008,2008,2008,,graphic design,Color lithograph on white wove paper,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/5af8d7d2-b33e-1b3d-abfc-9bf79b0a6fec/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/5af8d7d2-b33e-1b3d-abfc-9bf79b0a6fec/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP009,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,7974,https://www.artic.edu/artworks/7974,Invest in the Victory Liberty Loan,"L. A. Shafer (American, 1866-1940)
printed by W. F. Powers Co. Litho.",c. 1918,1918,1918,United States,poster; print; prints and drawing,Color lithograph on cream wove paper laid down on linen,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/965eac7d-008c-2812-7807-a91071de7bfd/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/965eac7d-008c-2812-7807-a91071de7bfd/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
ECAP010,D01,open_and_restricted_museum_poster_objects,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=15,captured,182948,https://www.artic.edu/artworks/182948,An Attempt Using Unfit Means,"Kukryniksy
(Russian, founded 1924)","February 23, 1944",1944,1944,Russia,poster; prints and drawing; print,Stencil,Art Institute of Chicago,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Image frame should render empty with source link until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/48c8b6f9-fc55-5717-88fa-d4f468b048cf/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/48c8b6f9-fc55-5717-88fa-d4f468b048cf/full/843,/0/default.jpg",false,,data/capture_batch_001_raw/SRC020_aic_search.json,2026-05-30
