blocker_type,severity,source_file,capture_id,surface_id,year,region,image_state,source_name,title,source_url,image_url,recommendation
event_photo_or_context_image,P0,capture_batch_gallica_secondary_image_ready_1830_1970_records.csv,GAX1970R059,SURF-GAX1970R059,1885,France,IMG03,Gallica / BnF APIs,"Ed. Monnier, éditeur, 16 rue des Vosges, Paris.[...] Les Premières Illustrées, 4me année. Texte par Raoul Toché (Frimousse), illustrations par nos meilleurs artistes [...] Catalogue... : [affiche] / [non identifié]",https://gallica.bnf.fr/ark:/12148/btv1b9016234x,"https://gallica.bnf.fr/iiif/ark:/12148/btv1b9016234x/f1/full/700,/0/native.jpg",Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P0,capture_batch_smithsonian_oa_image_ready_1830_1970_records.csv,SI1970R011,SURF-SI1970R011,1925,United States,IMG03,Smithsonian Open Access,Advertisement card for gospel singer Rev. Isaac C. Reddie,https://nmaahc.si.edu/object/nmaahc_2014.63.102.21,https://ids.si.edu/ids/download?id=NMAAHC-2014_63_102_21_001_screen,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00088,SURF-CAW2026R00088,1830,Unresolved region,IMG03,Wikimedia Commons file source / Bosnia and Herzegovina postage stamp collection (1830-1910).jpg / page 42867544,Bosnia and Herzegovina postage stamp collection (1830-1910).jpg,https://commons.wikimedia.org/wiki/File:Bosnia_and_Herzegovina_postage_stamp_collection_(1830-1910).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Bosnia_and_Herzegovina_postage_stamp_collection_%281830-1910%29.jpg/1280px-Bosnia_and_Herzegovina_postage_stamp_collection_%281830-1910%29.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00093,SURF-CAW2026R00093,1830,Latin America,IMG03,Wikimedia Commons file source / Nouvelles des missions du Paraguay -Twy16 - IMG 2752.jpg / page 181056569,Nouvelles des missions du Paraguay -Twy16 - IMG 2752.jpg,https://commons.wikimedia.org/wiki/File:Nouvelles_des_missions_du_Paraguay_-Twy16_-_IMG_2752.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Nouvelles_des_missions_du_Paraguay_-Twy16_-_IMG_2752.jpg/1280px-Nouvelles_des_missions_du_Paraguay_-Twy16_-_IMG_2752.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00104,SURF-CAW2026R00104,1831,Unresolved region,IMG03,"Wikimedia Commons file source / 'King George' (KIng George Tupou I of Tonga, c. 1797 - 1893) RMG PZ8795.tiff / page 62627461","'King George' (KIng George Tupou I of Tonga, c. 1797 - 1893) RMG PZ8795.tiff","https://commons.wikimedia.org/wiki/File:%27King_George%27_(KIng_George_Tupou_I_of_Tonga,_c._1797_-_1893)_RMG_PZ8795.tiff",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/%27King_George%27_%28KIng_George_Tupou_I_of_Tonga%2C_c._1797_-_1893%29_RMG_PZ8795.tiff/lossy-page1-1280px-%27King_George%27_%28KIng_George_Tupou_I_of_Tonga%2C_c._1797_-_1893%29_RMG_PZ8795.tiff.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00111,SURF-CAW2026R00111,1835,Latin America,IMG03,Wikimedia Commons file source / Aline Chasseriau portrait.jpg / page 10314384,Aline Chasseriau portrait.jpg,https://commons.wikimedia.org/wiki/File:Aline_Chasseriau_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Aline_Chasseriau_portrait.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00137,SURF-CAW2026R00137,1841,Latin America,IMG03,Wikimedia Commons file source / La Toilette d'Esther.jpg / page 53578790,La Toilette d'Esther.jpg,https://commons.wikimedia.org/wiki/File:La_Toilette_d%27Esther.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/La_Toilette_d%27Esther.jpg/1280px-La_Toilette_d%27Esther.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00139,SURF-CAW2026R00139,1841,Morocco,IMG03,Wikimedia Commons file source / C188b175 11.jpg / page 175570524,C188b175 11.jpg,https://commons.wikimedia.org/wiki/File:C188b175_11.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/C188b175_11.jpg/1280px-C188b175_11.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00153,SURF-CAW2026R00153,1847,Morocco,IMG03,Wikimedia Commons file source / C188a816 06.jpg / page 175665055,C188a816 06.jpg,https://commons.wikimedia.org/wiki/File:C188a816_06.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/C188a816_06.jpg/1280px-C188a816_06.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
event_photo_or_context_image,P1,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00167,SURF-CAW2026R00167,1850,Ukraine,IMG03,Wikimedia Commons file source / Kolomyja 1871 Kolomyia.jpg / page 22549640,Kolomyja 1871 Kolomyia.jpg,https://commons.wikimedia.org/wiki/File:Kolomyja_1871_Kolomyia.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Kolomyja_1871_Kolomyia.jpg,Reclassify as card/support material unless it is an item-level designed surface with source evidence.
