movement_id,name,alternate_names,date_start,date_end,date_text,region,group_type,associated_people,associated_institutions,representative_media,relation_to_graphic_design,source_confidence,search_terms,authority_scheme,authority_id,authority_status,editorial_scope_note
MV001,Arts and Crafts,,1860,1919,c.1860s-1910s,UK; U.S.,movement,William Morris circles,Kelmscott,books; ornaments; interiors graphics,reform foundation for modern design,High,arts and crafts; morris; kelmscott; reform book design,Getty AAT; LC SH,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV002,Art Nouveau,Jugendstil; Modern Style; Sezessionstil,1880,1914,c.1880s-1914,France; Belgium; Austria; Germany; UK,movement,Horta; van de Velde; Secession circles,,posters; illustration; books,core precursor to modern graphics,High,art nouveau; jugendstil; secession; affiche,Getty AAT; LC SH,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV003,Vienna Secession,Sezession,1897,1918,1897-1918,Austria,movement,,Secession; Ver Sacrum,journals; exhibition graphics,central to integrated modern design,High,vienna secession; ver sacrum,LC; Getty,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV004,Glasgow Style,,1890,1919,c.1890s-1910s,Scotland,regional formation,Mackintosh; Macdonald,,posters; interiors; books,reform-era graphics and display,Medium,glasgow style; mackintosh graphics,Getty; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV005,Futurism,Italian Futurism,1909,1939,1909-1930s,Italy; diaspora,movement,Marinetti network,,manifestos; books; typography,experimental page and type,High,futurism typography; parolibere,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV006,Dada,Zurich Dada; Berlin Dada,1916,1929,1916-1920s,Switzerland; Germany; France,movement,Tzara; Heartfield; Hoch,,collage; magazines; posters,anti-rational graphic disruption,High,dada poster; dada magazine; photomontage,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV007,De Stijl,Neo-Plasticism,1917,1931,1917-1931,Netherlands,movement,Doesburg; Mondrian,,journals; typography; architecture graphics,abstract systems and layout,High,de stijl typography; doesburg,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV008,Constructivism,Russian Constructivism,1919,1939,1919-1930s,USSR,movement,Rodchenko; Stepanova; Stenberg,,posters; books; agitprop,major poster and publication formation,High,constructivist poster; rodchenko; stenberg,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV009,Suprematism,,1915,1939,c.1915-1930s,Russia/USSR,movement,Malevich; Lissitzky links,,books; exhibitions,abstract language feeding later graphics,High,suprematism; lissitzky design,Getty AAT; LC,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV010,Productivism,Productivist design,1920,1929,1920s,USSR,formation,,LEF; production art circles,publications; utilitarian graphics,links art to industrial/social production,Medium,productivism; LEF graphic design,LC; editorial term,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
MV011,Bauhaus,Staatliches Bauhaus,1919,1933,1919-1933,Germany,school,Gropius; Moholy-Nagy; Bayer,Bauhaus,posters; teaching materials; stationery,central design-school formation,High,bauhaus typography; bayer; moholy,LCNAF; VIAF; ULAN,,needs_resolution,Seeded from Deep Research report; verify authority and scope before production ingest.
