matrix_id,source_expansion_id,source_name,region,source_type,url,access_method,api_iiif_oai_data,record_family,period_1830_1930,period_1931_1970,period_1971_2000,period_2001_2026,image_value,text_value,rights_clarity,stable_identifier_quality,automation_feasibility,crawl_difficulty,default_image_zone,recommended_use,priority_1930_1970,source_status,deep_research_needed,use_notes
SEM001,GSE001,Europeana,Western/Central Europe,Metadata aggregator,https://www.europeana.eu/,API + web,Search/Record APIs,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,Med,High,Med,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Cross-border discovery; posters, books, magazines, prints"
SEM002,GSE002,Europeana Search API,Western/Central Europe,API endpoint,https://pro.europeana.eu/page/search,API,Search API,authority_context,secondary,secondary,secondary,secondary,Med,Low-Med,Med,High,High,low,IMG00,launch,P4 later period support,candidate,no,Best as broad discovery and link graph
SEM003,GSE003,Gallica,Western/Central Europe,National library portal,https://gallica.bnf.fr/,Web + API,Search/document API + IIIF,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,High,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,"Very strong for print culture, posters, magazines"
SEM004,GSE004,Gallica Document API,Western/Central Europe,API endpoint,https://api.bnf.fr/fr/api-document-de-gallica,API,API + IIIF,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-open,High,High,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,Excellent for structured harvesting of periodicals/graphics
SEM005,GSE005,Rijksmuseum Collection Online,Western/Central Europe,Museum collection,https://www.rijksmuseum.nl/en/collection,API + web,API; open high-res image program,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,High,High,High,High,low,IMG04,launch,P1 text-rich crawl,candidate,no,"Strong for design objects, prints, typography-adjacent artifacts"
SEM006,GSE006,V&A Collections,Western/Central Europe,Museum collection,https://www.vam.ac.uk/collections,API + web,Search API; IIIF infrastructure,poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Core design-history source
SEM007,GSE007,Deutsche Digitale Bibliothek,Western/Central Europe,National aggregator,https://www.deutsche-digitale-bibliothek.de/,API + web,REST API,periodical_newspaper;poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-restricted,High,High,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Very good for posters, museum graphics, periodicals"
SEM008,GSE008,German Newspaper Portal,Western/Central Europe,Newspaper subportal,https://www.deutsche-digitale-bibliothek.de/newspaper,API + web,DDB API,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,secondary,secondary,High-viewer,High,High,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Strong for advertising, layout, print culture"
SEM009,GSE009,Archive Portal-D,Western/Central Europe,Archival subportal,https://www.archivportal-d.de/,API + web,DDB-linked,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,secondary,secondary,Med,High,Med,High,High,low,IMG00,authority only,P3 authority enrichment,context_or_authority,no,"Good contextual layer for institutions, printers, agencies"
SEM010,GSE010,Delpher,Western/Central Europe,National library portal,https://www.delpher.nl/,Web + datasets,OAI-PMH + SRU (access-controlled manuals),periodical_newspaper;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,Med,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Excellent for periodicals, ads, layout, typography history"
SEM011,GSE011,Delpher Newspapers dataset,Western/Central Europe,Dataset,https://www.kb.nl/en/research-find/datasets/delpher-newspapers,Dataset + API,OAI-PMH + SRU,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,High-value ad and printed communication corpus
SEM012,GSE012,Delpher Magazines dataset,Western/Central Europe,Dataset,https://www.kb.nl/en/research-find/datasets/delpher-magazines,Dataset,KB dataset,periodical_newspaper,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Strong for editorial and layout history
SEM013,GSE013,bavarikon,Western/Central Europe,Regional aggregator,https://www.bavarikon.de/,Web,Stable object pages; portal partner model,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,Med,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"Good for print, graphics, local poster/ephemera trails"
SEM014,GSE014,e-rara,Western/Central Europe,Swiss digital library,https://www.e-rara.ch/,OAI + web,OAI-PMH; image delivery,poster_print_object;book_catalogue_text,strong,secondary,strong,secondary,High-open,High,High,High,High,low,IMG03,launch,P4 later period support,candidate,no,"Excellent for type specimens, illustrated print, book design prehistories"
SEM015,GSE015,e-manuscripta,Western/Central Europe,Swiss digital library,https://www.e-manuscripta.ch/,OAI + IIIF + web,OAI-PMH + IIIF manifests,book_catalogue_text;archive_finding_aid,secondary,secondary,strong,secondary,High-open,High,High,High,High,low,IMG03,launch,P4 later period support,candidate,no,"Good for design context, sketchbooks, archives"
SEM016,GSE016,Wellcome Collection Catalogue API,Western/Central Europe,Museum/library API,https://developers.wellcomecollection.org/docs/catalogue,API,Catalogue API + IIIF links,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-open,Med,High,High,High,low,IMG03,launch,P1 object/image crawl,candidate,no,"Strong for posters, printed health graphics, public communication design"
SEM017,GSE017,Wellcome IIIF,Western/Central Europe,Image infrastructure,https://developers.wellcomecollection.org/docs/iiif,IIIF,IIIF Image API,poster_print_object,secondary,secondary,secondary,secondary,High-restricted,Low-Med,High,High,High,low,IMG04,launch,P4 later period support,candidate,no,Excellent image-service layer once rights pass
SEM018,GSE018,ETH E-Pics,Western/Central Europe,University image archive,https://e-pics.ethz.ch/,Web,Stable record pages; record-level rights,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,secondary,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Useful for Swiss graphic/print and visual culture context
SEM019,GSE019,ÖNB Digital,Western/Central Europe,National library portal,https://www.onb.ac.at/en/digital-offers,Web,Digital portal,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,Med,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"Good for print, image archive, posters, postcards"
SEM020,GSE020,ANNO,Western/Central Europe,Newspaper portal,https://anno.onb.ac.at/,Web,Stable portal pages,periodical_newspaper;poster_print_object,strong,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,Strong for print culture and ads in Central Europe
SEM021,GSE021,POLONA,Eastern Europe,National library portal,https://polona.pl/,Web,IIIF-oriented practice via labs,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-open,High,Med,High,High,low,IMG03,launch,P1 text-rich crawl,candidate,no,Major Polish print and poster corpus
SEM022,GSE022,POLONA Labs,Eastern Europe,Labs/docs layer,https://labs.polona.pl/,Web,IIIF + API discussion,mixed_discovery,secondary,secondary,secondary,secondary,Med,Low-Med,Med,Med,Med,medium,IMG00,authority only,P4 later period support,context_or_authority,no,Helpful for implementation certainty
SEM023,GSE023,Szukaj w Archiwach,Eastern Europe,National archives portal,https://www.szukajwarchiwach.gov.pl/,Web,Large scan + description portal,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,no,"High for institutional, propaganda, poster, leaflet context"
SEM024,GSE024,Czech Digital Library,Eastern Europe,National portal,https://ceskadigitalniknihovna.cz/,Web,Kramerius-based,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,Med,Med,medium,IMG02,launch,P2 source probe,candidate,no,Strong for periodicals and print culture
SEM025,GSE025,Kramerius,Eastern Europe,Open-source digital library platform,https://system-kramerius.cz/en/,OAI + web,OAI-PMH; API ecosystem,periodical_newspaper;poster_print_object,secondary,strong,strong,strong,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Important because many Czech/Slovak portals run on it
SEM026,GSE026,dLib.si,Eastern Europe,National digital library,https://www.dlib.si/,OAI + web,OAI-PMH; EDM exposure,periodical_newspaper;poster_print_object;book_catalogue_text,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,Strong for Slovene periodical and print studies
SEM027,GSE027,DIGAR,Eastern Europe,National digital archive/library,https://www.digar.ee/,Web,Open data note; stable record URLs,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,High-viewer,High,Low-Med,Med,Med,medium,IMG02,backup,P2 source probe,candidate,yes,Useful for Estonian print and poster context
SEM028,GSE028,Periodika.lv,Eastern Europe,Periodical portal,https://periodika.lv/,Web,Portal pages,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,Med,High,Low,Med,Low-Med,high,IMG01,backup,P3 manual/link-only,candidate,yes,Valuable for Baltic print and ad history
SEM029,GSE029,Slovakiana,Eastern Europe,National cultural portal,https://www.slovakiana.sk/,Web,Record-level URN:NBN pages,periodical_newspaper;poster_print_object,secondary,strong,secondary,secondary,High-viewer,High,High,High,Med,medium,IMG02,backup,P2 source probe,candidate,no,Very useful for object-level rights and identifiers
SEM030,GSE030,Arcanum Digitheca,Eastern Europe,Commercial portal,https://adt.arcanum.com/,Web,Search portal,periodical_newspaper;book_catalogue_text,secondary,strong,secondary,secondary,Med,High,Low,Med,Low,blocked,IMG01,avoid,P5 do not crawl now,hold_avoid,yes,"Huge periodical value, but subscription friction"
SEM031,GSE031,ePaveldas,Eastern Europe,National digital heritage portal,https://www.epaveldas.lt/,Web + downloadable metadata endpoints,RightsStatements/CC markers in records,periodical_newspaper;poster_print_object,secondary,strong,strong,secondary,High-open,High,Med-High,Med,Med,medium,IMG03,backup,P2 source probe,candidate,no,Good for Baltic print/design history where item rights are exposed
SEM032,GSE032,DPLA,North America,Metadata aggregator,https://dp.la/,API,JSON-LD API; CC0 metadata,poster_print_object;authority_context,secondary,strong,secondary,secondary,Med,Low-Med,High for metadata; item rights vary,High,High,low,IMG00,launch,P1 object/image crawl,candidate,no,Excellent discovery layer; not for image hosting
SEM033,GSE033,Library of Congress,North America,National library portal,https://www.loc.gov/,API + web,JSON/YAML API,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,secondary,strong,strong,secondary,Med,High,Med,High,High,low,IMG00,launch,P1 text-rich crawl,candidate,no,"Massive print, poster, book, periodical relevance"
SEM034,GSE034,LoC Prints & Photographs API,North America,Specialized API,https://www.loc.gov/pictures/api,API,PPOC JSON,poster_print_object,secondary,strong,strong,secondary,High-open,Low-Med,Med,High,High,low,IMG03,launch,P1 object/image crawl,candidate,no,Very strong poster/print source
SEM035,GSE035,Smithsonian Open Access,North America,Open collection platform,https://www.si.edu/openaccess,API + bulk + web,Open Access API; CC0,poster_print_object;archive_finding_aid,secondary,secondary,secondary,strong,High-restricted,Med,High,High,High,low,IMG04,launch,P4 later period support,candidate,no,"Strong design, advertising, print, industrial and cultural history"
SEM036,GSE036,NYPL Digital Collections,North America,Library portal,https://digitalcollections.nypl.org/,Web,Stable platform; IIIF shift,periodical_newspaper;poster_print_object,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Core source for posters, menus, ephemera, magazines"
SEM037,GSE037,NYPL API,North America,API,https://api.repo.nypl.org/,API,Repository API with rights fields,mixed_discovery,secondary,secondary,secondary,secondary,High-viewer,Low-Med,High,High,High,low,IMG02,launch,P4 later period support,candidate,no,Excellent metadata-first ingest
SEM038,GSE038,Cooper Hewitt Collection,North America,Museum collection/API,https://collection.cooperhewitt.org/,API + web + CSV,Public API; CC0 data,poster_print_object;archive_finding_aid,secondary,strong,strong,secondary,High-restricted,Low-Med,High for metadata; images mixed,High,High,low,IMG00,launch,P1 object/image crawl,candidate,no,One of the best design-specific sources
SEM039,GSE039,Art Institute of Chicago API,North America,Museum API,https://api.artic.edu/,API,JSON API + IIIF manifests,poster_print_object,secondary,strong,strong,secondary,High-restricted,Low-Med,High,High,High,low,IMG04,launch,P3 already sampled; use for targeted gap fill only,sampled_in_active_preview,no,Strong for poster and print history
SEM040,GSE040,Getty Museum Collection API,North America,Museum API,https://data.getty.edu/museum/collection/docs/,API,Linked/open collection API; rights fields,mixed_discovery,secondary,secondary,secondary,secondary,High-open,Low-Med,High,High,High,low,IMG03,launch,P4 later period support,candidate,no,Good for design-adjacent material and linked-data modeling
SEM041,GSE041,Harvard Art Museums API,North America,Museum API,https://harvardartmuseums.org/collections/api,API,REST API + IIIF manifests,poster_print_object;book_catalogue_text;authority_context,secondary,strong,strong,secondary,High-viewer,High,Med,High,High,low,IMG02,launch,P1 text-rich crawl,candidate,no,"Strong for posters, prints, books, object relations"
SEM042,GSE042,Yale LUX,North America,Cross-collection linked-data portal,https://lux.collections.yale.edu/,Web + linked open data,Linked Open Data / Linked Art,authority_context;archive_finding_aid,secondary,strong,secondary,secondary,Med,Med,High for metadata,High,High,low,IMG00,launch,P3 manual/link-only,candidate,no,Excellent graph backbone for people/works/institutions relations
