query_index,macro,country,object_term,query,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
1,Middle East and North Africa,Palestine,poster,Category:Pro-Palestinian posters,completed,0,0,33,397,2.2
2,Latin America / Caribbean,Cuba,poster,Category:OSPAAAL posters,empty,0,0,0,397,3.1
3,Africa,South Africa,poster,Category:Anti-apartheid posters,empty,0,0,0,397,3.8
4,Africa,South Africa,poster,Category:Posters of apartheid,empty,0,0,0,397,4.6
5,East Asia,China,poster,Category:Chinese propaganda posters,completed,0,0,37,397,6.5
6,East Asia,Taiwan,poster,Category:Taiwanese political posters,empty,0,0,0,397,7.5
7,South Asia,India,poster,Category:Posters of Bollywood films,empty,0,0,0,397,8.5
8,Southeast Asia,Philippines,poster,Category:Posters of the Philippines,completed,0,0,4,397,9.6
9,Latin America / Caribbean,Mexico,poster,Category:Posters of Mexico,completed,0,0,38,397,11.6
10,Latin America / Caribbean,Brazil,poster,Category:Posters of Brazil,completed,0,0,40,397,13.6
11,Africa,Nigeria,poster,Category:Posters of Nigeria,failed,0,1,0,397,30.4
12,Africa,Nigeria,poster,Category:Political posters of Nigeria,failed,0,1,0,397,47.4
13,Africa,Nigeria,poster,Category:Propaganda posters of Nigeria,empty,0,0,0,397,64.4
14,Africa,Nigeria,poster,Category:Film posters of Nigeria,completed,0,0,3,397,65.4
15,Africa,Nigeria,poster,Category:Travel posters of Nigeria,empty,0,0,0,397,66.2
16,Africa,Nigeria,advertising poster,Category:Advertising posters of Nigeria,empty,0,0,0,397,67.2
17,Africa,Nigeria,postage stamp,Category:Postage stamps of Nigeria,completed,0,0,7,397,68.4
18,Africa,Nigeria,stamp,Category:Stamps of Nigeria,empty,0,0,0,397,69.2
19,Africa,Nigeria,book cover,Category:Book covers of Nigeria,empty,0,0,0,397,70.0
20,Africa,Nigeria,magazine cover,Category:Magazine covers of Nigeria,empty,0,0,0,397,70.8
21,Africa,Nigeria,packaging,Category:Packaging of Nigeria,empty,0,0,0,397,71.6
22,Africa,Nigeria,label,Category:Labels of Nigeria,empty,0,0,0,397,72.4
23,Africa,Nigeria,brochure,Category:Brochures of Nigeria,failed,0,1,0,397,89.3
24,Africa,Nigeria,pamphlet,Category:Pamphlets of Nigeria,failed,0,1,0,397,106.2
25,Latin America / Caribbean,Mexico,poster,Category:Political posters of Mexico,empty,0,0,0,397,123.2
26,Latin America / Caribbean,Mexico,poster,Category:Propaganda posters of Mexico,empty,0,0,0,397,124.0
27,Latin America / Caribbean,Mexico,poster,Category:Film posters of Mexico,completed,0,0,8,397,125.1
28,Latin America / Caribbean,Mexico,poster,Category:Travel posters of Mexico,empty,0,0,0,397,125.9
29,Latin America / Caribbean,Mexico,advertising poster,Category:Advertising posters of Mexico,empty,0,0,0,397,126.7
30,Latin America / Caribbean,Mexico,postage stamp,Category:Postage stamps of Mexico,empty,0,0,0,397,127.4
31,Latin America / Caribbean,Mexico,stamp,Category:Stamps of Mexico,completed,0,0,10,397,128.6
32,Latin America / Caribbean,Mexico,book cover,Category:Book covers of Mexico,empty,0,0,0,397,129.4
33,Latin America / Caribbean,Mexico,magazine cover,Category:Magazine covers of Mexico,completed,0,0,7,397,130.5
34,Latin America / Caribbean,Mexico,packaging,Category:Packaging of Mexico,empty,0,0,0,397,131.2
35,Latin America / Caribbean,Mexico,label,Category:Labels of Mexico,failed,0,1,0,397,148.1
