metric,value,notes
scope,non_mutating_research_packet_anchor_selection,"No rebuild, role override, image download, rights/image-state change, or frontend mirror write."
cluster_review_rows,1274,Phase 1 anchor-selection clusters.
candidate_review_rows,2600,Top surface candidates written for manual anchor review.
can_seed_anchor_review,414,"Clusters with a plausible candidate for manual anchor review, not automatic role application."
anchor_review_lane:card_heavy_support_pool,94,Anchor review lane distribution.
anchor_review_lane:defer_anchor_method_review,33,Anchor review lane distribution.
anchor_review_lane:manual_anchor_candidate_review,11,Anchor review lane distribution.
anchor_review_lane:parentage_before_anchor,8,Anchor review lane distribution.
anchor_review_lane:small_packet_standalone_or_sub_review,1015,Anchor review lane distribution.
anchor_review_lane:strong_packet_anchor_candidate_review,5,Anchor review lane distribution.
anchor_review_lane:sub_rich_anchor_candidate_review,37,Anchor review lane distribution.
anchor_review_lane:weak_graphic_anchor_risk,71,Anchor review lane distribution.
manual_review_priority:high,42,Manual review priority distribution.
manual_review_priority:low,1048,Manual review priority distribution.
manual_review_priority:medium,184,Manual review priority distribution.
packet_scale:large,69,Phase 1 packet scale distribution.
packet_scale:medium,131,Phase 1 packet scale distribution.
packet_scale:single_or_micro,619,Phase 1 packet scale distribution.
packet_scale:small,455,Phase 1 packet scale distribution.
