source_id,source_name,macro_region,country_or_region,protocol_family,captured_records,image_states,impact_ratings,detected_protocols,notes
NLCV30002,National Library of Nigeria,Africa,Nigeria,HTML/catalog,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30003,Ghana Library Authority,Africa,Ghana,HTML/catalog,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30007,National Archives of Zimbabwe,Africa,Zimbabwe,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30009,Kenya National Library Service,Africa,Kenya,HTML/catalog,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30011,National Archives of Tanzania,Africa,Tanzania,HTML,1,IMG04:1,A:1,Static JS App,source-profile metadata capture; no image download or rights upgrade
NLCV30012,National Library and Archives of Ethiopia,Africa,Ethiopia,HTML,1,IMG04:1,A:1,JSON-LD;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30014,Archives Nationales de Tunisie,Africa,Tunisia,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30015,Bibliotheque Nationale d'Algerie,Africa,Algeria,catalog/HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30016,Centre de Documentation Saharienne,Africa,Algeria,HTML,1,IMG04:1,B:1,IIIF,source-profile metadata capture; no image download or rights upgrade
NLCV30018,Archives Nationales du Senegal,Africa,Senegal,HTML,1,IMG04:1,A:1,RSS/Atom;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30022,National Archives of The Gambia,Africa,Gambia,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30026,Rwanda Cultural Heritage Academy,Africa,Rwanda,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30027,Eswatini National Archives,Africa,Eswatini,HTML,1,IMG04:1,B:1,JSON-LD;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30028,Lesotho National Archives,Africa,Lesotho,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30030,Museo de Arte Moderno de Buenos Aires,Latin America / Caribbean,Argentina,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30031,Archivo Nacional de Chile,Latin America / Caribbean,Chile,HTML,1,IMG04:1,B:1,RSS/Atom,source-profile metadata capture; no image download or rights upgrade
NLCV30032,Museo de la Memoria y los Derechos Humanos,Latin America / Caribbean,Chile,HTML/catalog,1,IMG04:1,A:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30033,Archivo General de la Nacion Uruguay,Latin America / Caribbean,Uruguay,HTML,1,IMG04:1,B:1,JSON-LD;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30034,Biblioteca Nacional del Paraguay,Latin America / Caribbean,Paraguay,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30035,Archivo Nacional de Asuncion,Latin America / Caribbean,Paraguay,HTML,1,IMG04:1,A:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30037,Archivo General de la Nacion Peru,Latin America / Caribbean,Peru,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
NLCV30038,Biblioteca Nacional de Colombia,Latin America / Caribbean,Colombia,catalog/HTML,1,IMG04:1,B:1,RSS/Atom,source-profile metadata capture; no image download or rights upgrade
NLCV30039,Biblioteca Digital de Bogota,Latin America / Caribbean,Colombia,HTML/catalog,1,IMG04:1,A:1,IIIF,source-profile metadata capture; no image download or rights upgrade
NLCV30040,Senal Memoria Colombia,Latin America / Caribbean,Colombia,HTML,1,IMG04:1,A:1,JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30045,Biblioteca Nacional de Venezuela,Latin America / Caribbean,Venezuela,HTML/catalog,1,IMG04:1,B:1,WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30046,Archivo General de la Nacion Venezuela,Latin America / Caribbean,Venezuela,HTML,1,IMG04:1,B:1,RSS/Atom;WordPress REST,source-profile metadata capture; no image download or rights upgrade
NLCV30047,Biblioteca Nacional de Brasil,Latin America / Caribbean,Brazil,catalog/HTML,1,IMG04:1,B:1,JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30049,Mediateca INAH,Latin America / Caribbean,Mexico,HTML/catalog,1,IMG04:1,A:1,RSS/Atom;JSON-LD,source-profile metadata capture; no image download or rights upgrade
NLCV30051,Biblioteca Nacional de Guatemala,Latin America / Caribbean,Guatemala,HTML,1,IMG04:1,B:1,RSS/Atom;JSON-LD;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30052,Archivo General de Centro America,Latin America / Caribbean,Guatemala,HTML,1,IMG04:1,A:1,RSS/Atom;JSON-LD;WordPress REST;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30054,Archivo Nacional de Costa Rica,Latin America / Caribbean,Costa Rica,HTML,1,IMG04:1,B:1,JSON-LD;PDF,source-profile metadata capture; no image download or rights upgrade
NLCV30056,Archivo Nacional de Panama,Latin America / Caribbean,Panama,HTML,1,IMG04:1,B:1,,source-profile metadata capture; no image download or rights upgrade
