region_group,period_band,surface_count,main_sheet_count,source_visible_count,verified_open_count,img04_count,quality_main_count,status
Algeria,1930_1970,234,234,234,234,0,16,ok
Algeria,1970_2000,8,8,8,8,0,2,thin
Algeria,2000_2026,8,8,8,8,0,0,review
Algeria,pre_1930,34,34,34,34,0,3,ok
Algeria,undated_or_unparsed,7,7,5,0,2,1,review
Aotearoa New Zealand,1930_1970,50,49,50,29,0,11,ok
Aotearoa New Zealand,1970_2000,82,72,80,38,1,13,ok
Aotearoa New Zealand,2000_2026,106,103,105,59,1,13,ok
Aotearoa New Zealand,pre_1930,99,79,99,99,0,12,ok
Aotearoa New Zealand,undated_or_unparsed,1,1,0,0,1,0,review
Argentina,1930_1970,131,131,131,131,0,35,ok
Argentina,1970_2000,18,18,18,18,0,5,thin
Argentina,2000_2026,60,60,60,60,0,32,ok
Argentina,pre_1930,145,145,145,145,0,36,ok
Argentina,undated_or_unparsed,81,79,80,0,1,1,review
Armenia,2000_2026,7,7,7,7,0,1,thin
Armenia,undated_or_unparsed,10,10,10,0,0,0,review
Australia / Indigenous,1930_1970,41,41,41,41,0,10,ok
Australia / Indigenous,1970_2000,32,32,32,6,0,4,ok
Australia / Indigenous,2000_2026,64,62,64,41,0,12,ok
Australia / Indigenous,pre_1930,50,50,50,50,0,11,ok
Australia / Indigenous,undated_or_unparsed,7,7,1,0,6,0,review
Azerbaijan,1930_1970,3,3,3,3,0,0,review
Azerbaijan,1970_2000,2,2,2,2,0,2,thin
Azerbaijan,2000_2026,58,58,58,58,0,5,ok
Azerbaijan,pre_1930,17,17,17,17,0,3,thin
Azerbaijan,undated_or_unparsed,2,2,2,0,0,0,review
Bangladesh,1930_1970,5,5,5,5,0,0,review
Bangladesh,1970_2000,3,3,3,3,0,0,review
Bangladesh,2000_2026,57,57,57,57,0,14,ok
Bangladesh,pre_1930,3,3,3,3,0,1,thin
Bangladesh,undated_or_unparsed,3,3,2,0,1,0,review
Belgium,1930_1970,1,1,1,1,0,1,thin
Belgium,pre_1930,2,1,2,1,0,0,review
Bolivia,1930_1970,137,137,137,137,0,2,review
Bolivia,1970_2000,1,1,1,1,0,0,review
Bolivia,2000_2026,3,3,3,3,0,0,review
Bolivia,pre_1930,162,162,162,162,0,5,review
Bolivia,undated_or_unparsed,7,7,7,0,0,0,review
Brazil,1930_1970,121,121,121,121,0,53,ok
Brazil,1970_2000,80,80,80,80,0,19,ok
Brazil,2000_2026,170,169,170,170,0,105,ok
Brazil,pre_1930,109,109,109,109,0,27,ok
Brazil,undated_or_unparsed,6,4,2,0,4,0,review
Bulgaria,1930_1970,3,3,3,3,0,0,review
Bulgaria,1970_2000,4,4,4,4,0,1,thin
Bulgaria,2000_2026,15,15,15,15,0,2,thin
Bulgaria,pre_1930,5,5,5,5,0,2,thin
Bulgaria,undated_or_unparsed,15,15,15,0,0,0,review
Chile,1930_1970,15,15,15,14,0,3,thin
Chile,1970_2000,16,16,16,14,0,4,thin
Chile,2000_2026,56,56,56,56,0,23,ok
Chile,pre_1930,9,9,9,9,0,2,thin
Chile,undated_or_unparsed,11,10,8,0,3,0,review
China / Hong Kong,1930_1970,48,47,47,45,0,5,ok
China / Hong Kong,1970_2000,23,23,23,23,0,4,ok
China / Hong Kong,2000_2026,97,97,96,96,1,12,ok
China / Hong Kong,pre_1930,35,35,35,35,0,8,ok
China / Hong Kong,undated_or_unparsed,4,0,2,0,2,0,review
Colombia,1930_1970,31,31,31,31,0,19,ok
Colombia,1970_2000,8,8,8,8,0,4,thin
Colombia,2000_2026,45,45,45,45,0,20,ok
Colombia,pre_1930,106,106,106,106,0,38,ok
Colombia,undated_or_unparsed,144,144,141,0,3,2,review
Cuba / transnational,1930_1970,6,6,6,6,0,0,review
Cuba / transnational,1970_2000,10,10,10,10,0,0,review
Cuba / transnational,2000_2026,36,36,36,36,0,1,review
Cuba / transnational,pre_1930,13,13,13,13,0,1,thin
Cuba / transnational,undated_or_unparsed,2,2,1,0,1,0,review
Egypt,1930_1970,46,46,46,46,0,4,ok
Egypt,1970_2000,2,2,2,2,0,0,review
Egypt,2000_2026,7,7,7,7,0,2,thin
Egypt,pre_1930,11,11,11,11,0,2,thin
Egypt,undated_or_unparsed,17,17,16,0,1,8,thin
Ethiopia,1970_2000,3,3,3,3,0,0,review
Ethiopia,2000_2026,6,6,6,6,0,0,review
Ethiopia,undated_or_unparsed,1,1,0,0,1,0,review
France,1930_1970,101,100,100,80,0,13,ok
France,1970_2000,2,2,2,2,0,0,review
France,pre_1930,194,188,192,183,1,15,ok
France,undated_or_unparsed,1,1,1,0,0,0,review
Georgia,1930_1970,30,30,30,20,0,4,ok
Georgia,1970_2000,19,19,19,4,0,3,thin
Georgia,2000_2026,62,62,62,61,0,12,ok
Georgia,pre_1930,20,20,20,20,0,9,ok
Georgia,undated_or_unparsed,3,3,2,0,1,0,review
Germany,1930_1970,21,21,20,13,0,10,ok
Germany,1970_2000,17,17,17,17,0,8,thin
Germany,pre_1930,17,16,16,14,1,5,thin
Ghana,1930_1970,6,6,6,6,0,2,thin
Ghana,2000_2026,32,31,27,27,5,1,review
Ghana,pre_1930,2,2,2,2,0,2,thin
Ghana,undated_or_unparsed,7,7,6,0,1,0,review
India,1930_1970,114,114,114,114,0,3,review
India,1970_2000,69,69,69,69,0,56,ok
India,2000_2026,94,94,93,89,1,12,ok
India,pre_1930,72,72,72,71,0,6,ok
India,undated_or_unparsed,7,3,0,0,7,0,review
Indonesia,1930_1970,145,145,145,145,0,72,ok
Indonesia,1970_2000,487,487,487,487,0,243,ok
Indonesia,2000_2026,425,425,425,421,0,103,ok
Indonesia,pre_1930,18,18,18,18,0,3,thin
Indonesia,undated_or_unparsed,4,1,0,0,4,0,review
Iran,1930_1970,95,95,95,95,0,12,ok
Iran,1970_2000,215,215,215,215,0,24,ok
Iran,2000_2026,78,78,78,78,0,6,ok
Iran,pre_1930,12,12,12,12,0,7,thin
Iran,undated_or_unparsed,6,5,5,0,1,0,review
Iraq,1930_1970,164,164,164,164,0,4,review
Iraq,1970_2000,26,26,26,26,0,3,ok
Iraq,2000_2026,74,74,74,74,0,1,review
Iraq,pre_1930,33,33,33,33,0,1,review
Iraq,undated_or_unparsed,4,4,3,0,1,0,review
Italy,1930_1970,68,66,66,66,0,57,ok
Italy,pre_1930,74,74,74,74,0,59,ok
Japan,1930_1970,10,7,9,7,1,3,thin
Japan,1970_2000,8,4,6,3,2,3,review
Japan,2000_2026,7,1,1,1,6,0,review
Japan,pre_1930,2,2,2,2,0,0,review
Japan,undated_or_unparsed,2,0,1,0,1,0,review
Kazakhstan,1930_1970,2,2,2,2,0,0,review
Kazakhstan,1970_2000,247,247,247,247,0,27,ok
Kazakhstan,2000_2026,70,70,70,70,0,4,ok
Kazakhstan,pre_1930,2,2,2,2,0,0,review
Kazakhstan,undated_or_unparsed,6,6,5,0,1,1,review
Kenya,1930_1970,26,26,26,26,0,0,review
Kenya,1970_2000,13,13,13,13,0,5,thin
Kenya,2000_2026,59,59,58,58,1,1,review
Kenya,pre_1930,2,2,2,2,0,0,review
Kenya,undated_or_unparsed,1,1,0,0,1,0,review
Korean Peninsula,1930_1970,10,10,10,10,0,3,thin
Korean Peninsula,1970_2000,10,8,8,8,2,1,review
Korean Peninsula,2000_2026,95,95,95,95,0,7,ok
Korean Peninsula,pre_1930,17,17,17,17,0,8,thin
Korean Peninsula,undated_or_unparsed,3,0,2,0,1,0,review
Kyrgyzstan,1970_2000,7,7,7,7,0,2,thin
Kyrgyzstan,2000_2026,6,6,6,6,0,0,review
Kyrgyzstan,undated_or_unparsed,1,1,1,0,0,0,review
Latin America,1930_1970,8,8,8,8,0,7,thin
Latin America,1970_2000,1,1,1,1,0,1,thin
Latin America,2000_2026,7,7,7,7,0,7,thin
Latin America,pre_1930,16,16,16,16,0,14,thin
Latin America,undated_or_unparsed,30,30,15,0,15,1,review
Lebanon,1930_1970,5,5,5,5,0,2,thin
Lebanon,1970_2000,1,1,1,1,0,0,review
Lebanon,2000_2026,23,23,19,19,4,1,review
Lebanon,pre_1930,2,2,2,2,0,1,thin
Lebanon,undated_or_unparsed,11,10,9,0,2,1,review
Malaysia,1930_1970,3,3,3,3,0,1,thin
Malaysia,1970_2000,2,2,2,2,0,0,review
Malaysia,2000_2026,66,66,60,50,6,1,review
Malaysia,undated_or_unparsed,10,10,8,0,2,0,review
Mexico,1930_1970,77,76,74,73,2,16,ok
Mexico,1970_2000,40,40,40,36,0,7,ok
Mexico,2000_2026,175,174,173,173,2,51,ok
Mexico,pre_1930,267,267,267,267,0,239,ok
Mexico,undated_or_unparsed,2,2,0,0,2,0,review
Morocco,1930_1970,14,14,14,14,0,0,review
Morocco,1970_2000,1,1,1,1,0,0,review
Morocco,2000_2026,57,57,57,57,0,1,review
Morocco,pre_1930,26,26,26,26,0,2,ok
Morocco,undated_or_unparsed,5,5,5,0,0,0,review
Nepal,1930_1970,8,8,8,8,0,0,review
Nepal,1970_2000,3,3,3,3,0,0,review
Nepal,2000_2026,9,9,9,9,0,0,review
Nepal,pre_1930,8,8,8,8,0,1,thin
Nepal,undated_or_unparsed,3,2,2,0,1,0,review
Netherlands,1930_1970,4,4,4,1,0,1,thin
Netherlands,1970_2000,1,1,1,1,0,0,review
Netherlands,pre_1930,1,1,1,1,0,0,review
Nigeria,1930_1970,53,53,53,53,0,1,review
Nigeria,1970_2000,1,1,0,0,1,0,review
Nigeria,2000_2026,39,39,36,36,3,3,ok
Nigeria,pre_1930,9,9,9,9,0,0,review
Nigeria,undated_or_unparsed,5,5,3,0,2,0,review
Pakistan,1930_1970,15,15,15,15,0,0,review
Pakistan,1970_2000,11,11,11,11,0,2,thin
Pakistan,2000_2026,59,59,58,58,1,0,review
Pakistan,undated_or_unparsed,4,4,2,0,2,0,review
Palestine / transnational,1930_1970,32,32,32,32,0,5,ok
Palestine / transnational,1970_2000,8,8,8,7,0,1,thin
Palestine / transnational,2000_2026,14,14,14,14,0,2,thin
Palestine / transnational,pre_1930,12,12,12,12,0,3,thin
Palestine / transnational,undated_or_unparsed,4,3,4,0,0,0,review
Peru,1930_1970,73,73,73,73,0,3,review
Peru,1970_2000,6,6,6,6,0,2,thin
Peru,2000_2026,24,24,24,24,0,11,ok
Peru,pre_1930,29,29,29,29,0,10,ok
Peru,undated_or_unparsed,23,23,22,0,1,0,review
Philippines,1930_1970,26,25,26,25,0,8,ok
Philippines,1970_2000,83,82,82,82,1,31,ok
Philippines,2000_2026,81,79,81,81,0,5,ok
Philippines,pre_1930,27,27,27,27,0,17,ok
Philippines,undated_or_unparsed,10,8,7,0,3,1,review
Poland,1930_1970,21,21,21,21,0,3,ok
Poland,1970_2000,7,7,7,7,0,0,review
Poland,2000_2026,21,20,21,21,0,2,ok
Poland,pre_1930,13,13,13,13,0,1,thin
Poland,undated_or_unparsed,1,1,0,0,1,0,review
Romania,1930_1970,15,15,15,15,0,4,thin
