metric,value,notes
source_rows_total,19940,"Distinct source_name/source key across pre-surface, capture records, and public surfaces."
archive_active_public_sources,12342,Sources represented in generated public surfaces.
captured_not_public_sources,5983,Sources with capture records but no generated public surface yet.
pre_surface_only_sources,1615,Reachable source leads only; not archive-success sources.
public_surface_count,13680,Generated public surfaces grouped by source.
public_object_count,13659,Object-level grouping dedupes repeated views/photos.
source_visible_object_count,13373,Objects with IMG01/IMG02/IMG03.
verified_open_object_count,12015,Objects with reviewed IMG03.
stage_count:archive_active_public_surface,12342,Pipeline stage distribution.
stage_count:captured_not_public_surface,5983,Pipeline stage distribution.
stage_count:pre_surface_only,1615,Pipeline stage distribution.
