source_file,capture_id,surface_id,surface_disposition_override,review_class,decision_type,confidence,override_basis,source_name,title,override_source,packet_id
capture_batch_001_records.csv,ECAP032,SURF-ECAP032,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,Self-Determination For The Irish People,surface_role_override_v1,
capture_batch_001_records.csv,ECAP034,SURF-ECAP034,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,Zimbabwe. One Enemy: Imperialism.,surface_role_override_v1,
capture_batch_001_records.csv,ECAP035,SURF-ECAP035,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,Free World. Third World. Socialist World.,surface_role_override_v1,
capture_batch_001_records.csv,ECAP036,SURF-ECAP036,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,A for africa,surface_role_override_v1,
capture_batch_001_records.csv,ECAP037,SURF-ECAP037,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,Supporting An Army Of The People And For The People,surface_role_override_v1,
capture_batch_001_records.csv,ECAP038,SURF-ECAP038,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,Support The Struggle Of The United Farm Workers,surface_role_override_v1,
capture_batch_001_records.csv,ECAP039,SURF-ECAP039,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,V&A Collections API,In Support Of The Courageous Stand Made By Hull Prisoners,surface_role_override_v1,
capture_batch_001_records.csv,ECAP042,SURF-ECAP042,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,Library of Congress loc.gov API,"[Posters depicting Belize's People's United Party (PUP); Brazil: film posters, cultural issues, reproductive rights; Guyana: political posters, environmental issues; Suriname: bird-watching, environmental issues; French Guyana: environmental issues, Carnival,",surface_role_override_v1,
capture_batch_001_records.csv,ECAP043,SURF-ECAP043,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,Library of Congress loc.gov API,[Polish posters: Ramayana exhibition poster by Stasis; Gamelan exhibition poster by Jerzy Czerniawski; Indonesia exhibition poster by Maria Janiga],surface_role_override_v1,
capture_batch_001_records.csv,ECAP044,SURF-ECAP044,support_packet_appendix_text,text_only_item_or_collection,apply_subsheet_demotion,medium,text_only_item_or_collection,Library of Congress loc.gov API,"Production. The first of a series of production posters designed by the Office of Emergency Management for display in defense plants throughout the United States. The poster was designed for the OEM by Jean Carlu, eminent poster artist and graphic design exper",surface_role_override_v1,
