surface_id,source_record_id,source_object_key,source_url,loc_item_url,loc_place_raw,normalized_place_text,country,evidence_field,evidence_text,status
SURF-ER1830R011,ER1830R011,2008677258,https://www.loc.gov/pictures/item/2008677258/,https://www.loc.gov/pictures/item/2008677258/,Missouri--Saint Louis,United States — Missouri — Saint Louis,United States,item.place[].title,LOC item.place=Missouri--Saint Louis,pass_explicit_object_place
SURF-ER1830R077,ER1830R077,2018750887,https://www.loc.gov/pictures/item/2018750887/,https://www.loc.gov/pictures/item/2018750887/,United States,United States,United States,item.place[].title,LOC item.place=United States,pass_explicit_object_place
SURF-MC1930R011,MC1930R011,98513179,https://www.loc.gov/pictures/item/98513179/,https://www.loc.gov/pictures/item/98513179/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
SURF-MC1930R012,MC1930R012,98510115,https://www.loc.gov/pictures/item/98510115/,https://www.loc.gov/pictures/item/98510115/,Illinois,United States — Illinois,United States,item.place[].title,LOC item.place=Illinois,pass_explicit_object_place
SURF-MC1930R014,MC1930R014,98513156,https://www.loc.gov/pictures/item/98513156/,https://www.loc.gov/pictures/item/98513156/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
SURF-MC1930R017,MC1930R017,98513298,https://www.loc.gov/pictures/item/98513298/,https://www.loc.gov/pictures/item/98513298/,New Jersey--Montclair,United States — New Jersey — Montclair,United States,item.place[].title,LOC item.place=New Jersey--Montclair,pass_explicit_object_place
SURF-MC1930R018,MC1930R018,98513183,https://www.loc.gov/pictures/item/98513183/,https://www.loc.gov/pictures/item/98513183/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
SURF-MC1930R019,MC1930R019,98513191,https://www.loc.gov/pictures/item/98513191/,https://www.loc.gov/pictures/item/98513191/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
SURF-MC1930R020,MC1930R020,98514973,https://www.loc.gov/pictures/item/98514973/,https://www.loc.gov/pictures/item/98514973/,New York (State)--New York,United States — New York (State) — New York,United States,item.place[].title,LOC item.place=New York (State)--New York,pass_explicit_object_place
SURF-MC1930R021,MC1930R021,2005682800,https://www.loc.gov/pictures/item/2005682800/,https://www.loc.gov/pictures/item/2005682800/,United States,United States,United States,item.place[].title,LOC item.place=United States,pass_explicit_object_place
SURF-MC1930R023,MC1930R023,98515024,https://www.loc.gov/pictures/item/98515024/,https://www.loc.gov/pictures/item/98515024/,New York (State)--New York,United States — New York (State) — New York,United States,item.place[].title,LOC item.place=New York (State)--New York,pass_explicit_object_place
SURF-MC1930R024,MC1930R024,98515025,https://www.loc.gov/pictures/item/98515025/,https://www.loc.gov/pictures/item/98515025/,New York (State)--New York,United States — New York (State) — New York,United States,item.place[].title,LOC item.place=New York (State)--New York,pass_explicit_object_place
SURF-MC1930R025,MC1930R025,98515019,https://www.loc.gov/pictures/item/98515019/,https://www.loc.gov/pictures/item/98515019/,New York (State)--New York,United States — New York (State) — New York,United States,item.place[].title,LOC item.place=New York (State)--New York,pass_explicit_object_place
SURF-MC1930R029,MC1930R029,98517082,https://www.loc.gov/pictures/item/98517082/,https://www.loc.gov/pictures/item/98517082/,Ohio,United States — Ohio,United States,item.place[].title,LOC item.place=Ohio,pass_explicit_object_place
SURF-MC1930R031,MC1930R031,92510123,https://www.loc.gov/pictures/item/92510123/,https://www.loc.gov/pictures/item/92510123/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
SURF-MC1930R033,MC1930R033,98508979,https://www.loc.gov/pictures/item/98508979/,https://www.loc.gov/pictures/item/98508979/,Illinois,United States — Illinois,United States,item.place[].title,LOC item.place=Illinois,pass_explicit_object_place
SURF-MC1930R034,MC1930R034,98513244,https://www.loc.gov/pictures/item/98513244/,https://www.loc.gov/pictures/item/98513244/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
SURF-MC1930R035,MC1930R035,98513249,https://www.loc.gov/pictures/item/98513249/,https://www.loc.gov/pictures/item/98513249/,Massachusetts--Boston,United States — Massachusetts — Boston,United States,item.place[].title,LOC item.place=Massachusetts--Boston,pass_explicit_object_place
