capture_id,capture_file,source_title,object_year,exclusion_scope,reason,retain_as,source_record_url
CAW2026R03591,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,US Navy 070815-N-9860Y-002 A poster to remember members of Explosive Ordnance Disposal Mobile Unit (EODMU) 11 is displayed at a ceremony to rename drop zones in their honor.jpg,2007,primary_object_success,Event/photo/memory documentation supports research context but is not a primary design object.,card_only,https://commons.wikimedia.org/wiki/File:US_Navy_070815-N-9860Y-002_A_poster_to_remember_members_of_Explosive_Ordnance_Disposal_Mobile_Unit_(EODMU)_11_is_displayed_at_a_ceremony_to_rename_drop_zones_in_their_honor.jpg
CAW2026R03692,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,Stamp of Indonesia - 2010 - Colnect 379390 - Football World Cup Championship.jpeg,2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,https://commons.wikimedia.org/wiki/File:Stamp_of_Indonesia_-_2010_-_Colnect_379390_-_Football_World_Cup_Championship.jpeg
CAW2026R03693,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,Stamp of Indonesia - 2010 - Colnect 379392 - Football World Cup Championship.jpeg,2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,https://commons.wikimedia.org/wiki/File:Stamp_of_Indonesia_-_2010_-_Colnect_379392_-_Football_World_Cup_Championship.jpeg
CAW2026R03694,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,"Stamps of Indonesia, 010-10.jpg",2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,"https://commons.wikimedia.org/wiki/File:Stamps_of_Indonesia,_010-10.jpg"
CAW2026R03700,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,Uzb Stamp-2010-65 Let Pobedy.jpg,2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,https://commons.wikimedia.org/wiki/File:Uzb_Stamp-2010-65_Let_Pobedy.jpg
CAW2026R03707,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,Vladimir Yengibaryan 2010 post stamp.jpg,2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,https://commons.wikimedia.org/wiki/File:Vladimir_Yengibaryan_2010_post_stamp.jpg
CAW2026R03709,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,"Stamps of Azerbaijan, 2010-896-miniature sheet.jpg",2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,"https://commons.wikimedia.org/wiki/File:Stamps_of_Azerbaijan,_2010-896-miniature_sheet.jpg"
CAW2026R03712,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,"St. Jacob's Cathedral, Riga.jpg",2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,"https://commons.wikimedia.org/wiki/File:St._Jacob%27s_Cathedral,_Riga.jpg"
CAW2026R03713,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,"Stamps of Latvia, 2010-01.jpg",2010,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,"https://commons.wikimedia.org/wiki/File:Stamps_of_Latvia,_2010-01.jpg"
CAW2026R03745,capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,Stamp of Indonesia - 2011 - Colnect 732540 - Indonesia South Africa Joint Issue.jpeg,2011,primary_object_success,Post-2010 stamp/philatelic material can inflate contemporary design-object coverage.,card_or_appendix_if_research_relevant,https://commons.wikimedia.org/wiki/File:Stamp_of_Indonesia_-_2011_-_Colnect_732540_-_Indonesia_South_Africa_Joint_Issue.jpeg
