capture_id,source_id,source_name,source_identifier,source_record_url,source_title,macro_region,country_or_region,image_presence_code,image_url_detected,quality_score,design_signal_score,design_signal_terms,authority_score,authority_tier,authority_terms,text_evidence_chars,risk_flags,surface_readiness,recommended_action,rights_boundary
NMIIC2026R0001,NMSS2026R0105,Botswana Craft,Q111916004,https://botswanacraft.com/,Botswanacraft Marketing,Africa,Botswana,IMG02,https://img1.wsimg.com/isteam/ip/ed2191e3-85ed-4eaa-b8ad-c97407a3001c/Botswanacraft-Baskets-Website-Smaller.jpg,5,0,,3,museum,craft; museum,612,generic_non_design_source; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0003,NMSS2026R0573,Goodman Gallery,Q113331557,https://goodman-gallery.com/,Goodman Gallery,Africa,South Africa,IMG02,https://cdn.sanity.io/images/y2e3mw7a/production/15b26b7b65baa4d8968d71442aeb4b87e73acdba-1200x630.jpg?w=1200&h=630&fm=jpg&fit=crop,5,0,,1,gallery,gallery,677,missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0004,NMSS2026R0510,Centre For Black And African Arts And Civilization,Q111851020,https://pakisultra.org/,Agen Judi Bola Sbobet Resmi : Link SBOBET Mobile - Taruhan Judi Bola Online Resmi - Sbobet88,Africa,Nigeria,IMG02,https://pakisultra.org/img/agen-sbobet.webp,2,0,,3,museum,museum,861,spam_or_seo_pollution; missing_design_signal,quarantine_not_counted,exclude until source is replaced or manually repaired,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0013,NMSS2026R0245,Cafesjian Center for the Arts,Q4503989,https://cmf.am/en,Cafesjian Center for the Arts – Cafesjian Center for the Arts,Eastern Europe,Caucasus,IMG02,https://cmf.am/img/og-image.png,4,0,,2,cultural_center,cultural center,643,overbroad_country_or_region; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0043,NMSS2026R0430,Museum of Religious Art Bishop Fray José Antonio de San Alberto,Q6033737,https://es-la.facebook.com/museo.sanalberto/,Museo San Alberto | Córdoba,Latin America,Caribbean,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/350516187_649551237224436_7486437174791055422_n.jpg?stp=dst-jpg_tt6&cstp=mx899x890&ctp=s720x720&_nc_cat=111&ccb=1-7&_nc_sid=3ab345&_nc_ohc=V5s-rzaRO1wQ7kNvwF3YgXC&_nc_oc=AdpU3NGDr0xxUCM7riqaF1o94KA2abBj85gsKfc9RhLk8IWVgO-R4ebd0xN8hn-ZDbE&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=fk8-R_pPal1YXgOpA7WeJw&_nc_ss=7b20f&oh=00_Af-syheW_x2yjB6RwepIdISfiHgt5kA2I3KtjHFHrAsH8A&oe=6A28AB45,3,0,,3,museum,museum,801,overbroad_country_or_region; generic_non_design_source; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0047,NMSS2026R0539,Biblioteca Pública Municipal German Guzmán Campos,Q139921284,https://www.facebook.com/Bibliosanantonio/?fref=ts,"German Guzman Campos (@Bibliosanantonio) • Facebook, Connect with friends",Latin America,Caribbean,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/703677359_2861779200887427_748618911887295748_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1536&ctp=s960x960&_nc_cat=100&ccb=1-7&_nc_sid=3ab345&_nc_ohc=7gpojrXcOoQQ7kNvwHPSe3_&_nc_oc=AdrV0un7hlFzc3qwMHlzGjJ6xiOt5KVjr8UnWo6b00F_s8ZW0HzDEH624J75xPTKJxg&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=UbwOIjRxnOkUzc9S3oSX-g&_nc_ss=7b20f&oh=00_Af9SVuNmoNDHVHQiEOKFwr26D77oFBMnh_VzkDYrcgpMmw&oe=6A28B601,4,0,,2,library,library,870,overbroad_country_or_region; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0049,NMSS2026R0600,Biblioteca Pública Municipal Senderos del Saber,Q136089698,https://www.facebook.com/senderosdel.saber.5?fref=,"Senderos del Saber (@senderosdel.saber.5) • Facebook, Connect with friends",Africa,Uganda,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/435158585_3714537792152929_3302879647810406610_n.jpg?stp=dst-jpg_tt6&cstp=mx1500x667&ctp=s1500x667&_nc_cat=101&ccb=1-7&_nc_sid=3ab345&_nc_ohc=OJU0k_7d9i0Q7kNvwGpRraR&_nc_oc=AdoIW60pMazBpAivHZxus9JssWPKMG_H6faK3gqwGpXlXQgcqm3wU5kRp2TNgeqw0eQ&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=e44zwJvsHnPXaexUhHJqbA&_nc_ss=7b20f&oh=00_Af_yho_LtO3qqqTMbrqN4MrS-0EppZqemmSyj_8d_60d9Q&oe=6A28C6E8,6,0,,2,library,library,868,missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0050,NMSS2026R0589,Biblioteca Pública Municipal Prado Tolima,Q139805629,https://www.facebook.com/bibliotecaprado.matachin?_rdc=1&_rdr,"Bibliotecaprado Matachin (@bibliotecaprado.matachin) • Facebook, Connect with friends",Latin America,Caribbean,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/448047788_1584927472241038_7427580827471564948_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x1536&ctp=s720x720&_nc_cat=110&ccb=1-7&_nc_sid=3ab345&_nc_ohc=mNZWgZZMVn4Q7kNvwEKu36H&_nc_oc=Adrq9X-_HbQZPDhvzQiJ5Odh_qG9VlTJddICvS08Eihl0k5A8mE3BnfqaIE9d0EgZ18&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=1JOErrXU-xrQL3WNdqK4lA&_nc_ss=7b20f&oh=00_Af_Lbm3kEGU8G6pL7bwYhtJG0NYDJLczvUgxgvQS6pmGEg&oe=6A28CE2D,4,0,,2,library,library,888,overbroad_country_or_region; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0051,NMSS2026R0610,Biblioteca Pública Municipal de Macanal,Q140053324,https://www.facebook.com/BibliotecaPublicaMacanal/,Biblioteca Pública Municipal Raúl Rodríguez Perilla | Macanal,Africa,Zambia,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t39.30808-1/471507141_889419140018725_2790006427158708245_n.jpg?stp=dst-jpg_tt6&cstp=mx1004x1002&ctp=s720x720&_nc_cat=107&ccb=1-7&_nc_sid=3ab345&_nc_ohc=ceV0hcY02xkQ7kNvwH8r1cm&_nc_oc=AdoQhZJe8jl_uHqjeZbwe0cUDpSCRlDScUyeJmML6quVh4TsLUkh1-ClBXOWxa_QUhI&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=ywM1RVWu0aovy0llDANfzg&_nc_ss=7b20f&oh=00_Af_IMTXfLbWwuSaxpPQ7xQ26Ja48lUOkeUsBow8hs2i3Aw&oe=6A28C4A8,6,0,,2,library,library,823,missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0052,NMSS2026R0620,Biblioteca Pública Municipal de Pelaya,Q140043686,https://www.facebook.com/kim.brown.73157203/,"Kim Brown (@kim.brown.73157203) • Facebook, Connect with friends",Latin America,Caribbean,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t1.30497-1/453178253_471506465671661_2781666950760530985_n.png?stp=dst-jpg_tt6&cstp=mx2048x2048&ctp=s720x720&_nc_cat=1&ccb=1-7&_nc_sid=d00ff1&_nc_ohc=hvopk0jrVdcQ7kNvwEU3RHC&_nc_oc=AdpFDiuxHxx-w819gblo4baXtGrfxr6dtbd5D9GPxblJQrnTfxyZNtbKxVZxjTVGi4g&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_ss=7b20f&oh=00_Af_Ti6OaGHYwtexDmzdrr1rqdB-y-KYcPUodsdCn3S8FtQ&oe=6A4A53FA,4,0,,2,library,library,822,overbroad_country_or_region; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0053,NMSS2026R0611,"Biblioteca Pública Municipal de Malambo ""Pedro Dionicio Narvaez Miranda""",Q140053232,https://es-la.facebook.com/biblioteca.malambo,"Pedro Dionisio Narváez Miranda (@biblioteca.malambo) • Facebook, Connect with friends",Latin America,Caribbean,IMG02,https://scontent-syd2-1.xx.fbcdn.net/v/t1.6435-1/55807216_2105286959507215_8145826993544364032_n.jpg?stp=dst-jpg_tt6&cstp=mx847x495&ctp=s847x495&_nc_cat=103&ccb=1-7&_nc_sid=3ab345&_nc_ohc=PktwyK7N5DAQ7kNvwGl3OTW&_nc_oc=Adpu1E1prpnqGxOcDkS3t0-mNZzQAMp1M8VINf1lMBR31_LD2yhoAR5uwNIm6cpq6jA&_nc_zt=24&_nc_ht=scontent-syd2-1.xx&_nc_gid=7Po_hy3OC2oDFYIY4ZR_eA&_nc_ss=7b20f&oh=00_Af_3iyYh782ZOekQVgzCqt3sQiMxlIgSL8ijq8NtSgsaRA&oe=6A4A56D5,4,0,,2,library,library,935,overbroad_country_or_region; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
NMIIC2026R0054,NMSS2026R0834,Belgrade City Library,Q12748910,https://bgb.rs/,БГБ - БИБЛИОТЕКА ГРАДА БЕОГРАДА,Latin America,Caribbean,IMG02,https://bgb.rs/wp-content/uploads/2021/07/BGB-cvetna.jpg,4,0,,2,library,library,674,overbroad_country_or_region; missing_design_signal; low_surface_signal,quarantine_not_counted,do not count as successful source without stronger design evidence,IMG02 only; no image download; no IMG01/IMG03 upgrade
