fallback_stub_id,first_target_id,scope_cell_id,target_label,source_name,source_url_or_search_path,canonical_url,replacement_url,fallback_status,public_stub_policy,expected_image_zone,display_area_policy,not_ingested_reason,user_action_label,user_action_url,verification_decision,verified_at,verified_by,evidence_summary,required_action,blocking_reason
FSS002,FIT002,C01,Preliminary design for the Program of the State Bauhaus in Weimar,Harvard Art Museums,https://harvardartmuseums.org/art/219959,https://harvardartmuseums.org/art/219959,,browser_recheck_required,show_link_only_stub,IMG00,preserve_area_with_empty_frame,Exact record not confirmed by automated fetch,View at source,https://harvardartmuseums.org/art/219959,needs_browser_recheck,2026-05-30,Codex,Harvard target is plausible but direct fetch did not resolve in this pass,Recheck in browser or Harvard API before source-record creation,Exact record not confirmed by automated fetch
FSS004,FIT004,C01,Bauhaus founding chronology entry,Harvard Art Museums,https://harvardartmuseums.org/tour/325/slide/6338,https://harvardartmuseums.org/tour/325/slide/6338,,browser_recheck_required,show_link_only_stub,IMG04,preserve_text_stub_without_image_frame,Automated fetch did not confirm source page,View at source,https://harvardartmuseums.org/tour/325/slide/6338,needs_browser_recheck,2026-05-30,Codex,Harvard tour URL returned blocked or inaccessible in automated pass,Prefer accessible Harvard exhibition page if tour slide remains blocked,Automated fetch did not confirm source page
FSS015,FIT015,C05,Contra la dictadura pintaremos hasta el cielo,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/ > Archivo de la Grafica Chilena > exact title search,,,search_path_only,show_search_path_stub,IMG00,preserve_area_with_empty_frame,Exact source record missing,Search at source,https://www.bibliotecanacionaldigital.gob.cl/,search_path_only,2026-05-30,Codex,BND Chile remains deterministic search path not exact source record,Resolve exact BND item URL before ingest,Exact source record missing
FSS016,FIT016,C05,Contra el fraude 7 de abril,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/ > Archivo de la Grafica Chilena > exact title search,,,search_path_only,show_search_path_stub,IMG00,preserve_area_with_empty_frame,Exact source record missing,Search at source,https://www.bibliotecanacionaldigital.gob.cl/,search_path_only,2026-05-30,Codex,BND Chile remains deterministic search path not exact source record,Resolve exact BND item URL and creator relationship,Exact source record missing
FSS017,FIT017,C05,1971 BRP/MAC exhibition poster referenced by MMDH,Museo de la Memoria y los Derechos Humanos,site:mmdh.cl Mono Gonzalez Brigada Ramona Parra 1971 Museo de Arte Contemporaneo,,,search_path_only,show_search_path_stub,IMG00,preserve_area_with_empty_frame,Stable source record missing,Search at source,site:mmdh.cl Mono Gonzalez Brigada Ramona Parra 1971 Museo de Arte Contemporaneo,search_path_only,2026-05-30,Codex,MMDH target remains contextual search path,Find stable object or collection page or keep citation-only,Stable source record missing
FSS018,FIT018,C06,世界デザイン会議議事録,NDL Search,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,,browser_recheck_required,show_link_only_stub,IMG04,preserve_text_stub_without_image_frame,Automated fetch failed,View at source,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,needs_browser_recheck,2026-05-30,Codex,NDL exact URL is plausible but automated fetch failed,Recheck in browser or NDL API before source-record creation,Automated fetch failed
FSS019,FIT019,C06,世界デザイン会議報告,NDL Search,https://ndlsearch.ndl.go.jp/ > query 世界デザイン会議報告 > books > 1960,,,search_path_only,show_search_path_stub,IMG04,preserve_text_stub_without_image_frame,Exact source record missing,Search at source,https://ndlsearch.ndl.go.jp/,search_path_only,2026-05-30,Codex,NDL report remains search path,Capture exact NDL persistent record,Exact source record missing
FSS023,FIT023,C07,上海漫畫 issue 5 interior text page,Internet Archive,https://archive.org/details/shmh-1928.05.19 > BookReader/PDF page 7,https://archive.org/details/shmh-1928.05.19,,page_level_recheck_required,show_link_only_stub,IMG00,preserve_area_with_empty_frame,Page-level source not confirmed,View at source,https://archive.org/details/shmh-1928.05.19,needs_page_level_recheck,2026-05-30,Codex,Parent IA issue verified but page 7 role needs page-level confirmation,Verify exact page locator before child record creation,Page-level source not confirmed
FSS024,FIT024,C07,上海漫畫 issue 5 display-ad page,Internet Archive,https://archive.org/details/shmh-1928.05.19 > BookReader/PDF page 8,https://archive.org/details/shmh-1928.05.19,,page_level_recheck_required,show_link_only_stub,IMG00,preserve_area_with_empty_frame,Page-level source not confirmed,View at source,https://archive.org/details/shmh-1928.05.19,needs_page_level_recheck,2026-05-30,Codex,Parent IA issue verified but page 8 ad-page role needs page-level confirmation,Verify exact page locator before child record creation,Page-level source not confirmed
FSS026,FIT026,C08,한국민중판화모음전 포스터,OpenArchive,https://archives.kdemo.or.kr/isad/view/01015877,,https://sema.seoul.go.kr/semaaa/front/archive/view.do?iId=21227,replacement_recommended,show_replacement_link_only_stub,IMG00,preserve_area_with_empty_frame,Original exact source not confirmed,View at source,https://sema.seoul.go.kr/semaaa/front/archive/view.do?iId=21227,replace_target,2026-05-30,Codex,Original OpenArchive target not confirmed; SEMA has exact same poster with clearer metadata and copyright warning,Replace with SEMA record MA-06-00004326 before ingest,Original exact source not confirmed
FSS027,FIT027,C08,5.18 추모사진전 오월 그날이 다시 오면,OpenArchive,https://archives.kdemo.or.kr/isad/view/00976552,,,exact_link_unconfirmed,show_link_only_stub,IMG00,preserve_area_with_empty_frame,Exact source record missing,View at source,https://archives.kdemo.or.kr/isad/view/00976552,needs_exact_record_url,2026-05-30,Codex,Kdemo search results confirm title registration number 00976552 date and description,Resolve exact item page or stable search-result citation,Exact source record missing
FSS028,FIT028,C08,홍성담 oral archive page,OpenArchive,https://archives.kdemo.or.kr/oral-archives/view/1080,https://archives.kdemo.or.kr/oral-archives/view/1080,,browser_recheck_required,show_link_only_stub,IMG04,preserve_text_stub_without_image_frame,Automated fetch returned 404,View at source,https://archives.kdemo.or.kr/oral-archives/view/1080,needs_browser_recheck,2026-05-30,Codex,Kdemo search result confirms Hong Sung-dam oral archive content but direct automated page returned 404,Browser recheck required before ingest,Automated fetch returned 404
FSS030,FIT030,C09,DANGER KEEP OUT SIGN IN FOUR LANGUAGES,National Archives of Singapore,https://www.nas.gov.sg/archivesonline/photographs/record-details/85068ac5-1162-11e3-83d5-0050568939ad,https://www.nas.gov.sg/archivesonline/photographs/record-details/85068ac5-1162-11e3-83d5-0050568939ad,,browser_recheck_required,show_link_only_stub,IMG02,preserve_area_with_empty_frame,Automated fetch blocked,View at source,https://www.nas.gov.sg/archivesonline/photographs/record-details/85068ac5-1162-11e3-83d5-0050568939ad,needs_browser_recheck,2026-05-30,Codex,NAS target hit JavaScript anti-bot page in automated fetch,Browser recheck and keep IMG02 only if same access line appears,Automated fetch blocked
