surface_id,capture_id,packet_id,parent_anchor_surface_id,proposed_relation_role,before_publication_role,after_publication_role,before_surface_type,after_surface_type,before_template_id,after_template_id,before_image_state,after_image_state,delta_status,title,source_name
SURF-CAW2026R01266,CAW2026R01266,PRSP001,SURF-CAW2026R01209,sub_under_packet_candidate,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,Azul... (page 9 crop).jpg,Wikimedia Commons file source / Azul... (page 9 crop).jpg / page 112542639
SURF-CAW2026R01263,CAW2026R01263,PRSP001,SURF-CAW2026R01209,sub_under_packet_candidate,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,Azul... (page 59 crop).jpg,Wikimedia Commons file source / Azul... (page 59 crop).jpg / page 132389986
SURF-CAW2026R01258,CAW2026R01258,PRSP001,SURF-CAW2026R01209,sub_under_packet_candidate,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,Azul... (page 175 crop).jpg,Wikimedia Commons file source / Azul... (page 175 crop).jpg / page 132388144
SURF-CAW2026R01267,CAW2026R01267,PRSP001,SURF-CAW2026R01209,packet_member_review,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,Azul... (page 93 crop).jpg,Wikimedia Commons file source / Azul... (page 93 crop).jpg / page 132390610
SURF-CAW2026R01265,CAW2026R01265,PRSP001,SURF-CAW2026R01209,packet_member_review,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,Azul... (page 87 crop).jpg,Wikimedia Commons file source / Azul... (page 87 crop).jpg / page 132390500
SURF-CAW2026R00885,CAW2026R00885,PRSP002,SURF-CAW2026R00920,sub_under_packet_candidate,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif,Wikimedia Commons file source / A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.tif / page 67806973
SURF-CAW2026R00907,CAW2026R00907,PRSP002,SURF-CAW2026R00920,packet_member_review,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,As to China - J.S. Pughe. LCCN2010651571.tif,Wikimedia Commons file source / As to China - J.S. Pughe. LCCN2010651571.tif / page 67812345
SURF-CAW2026R00906,CAW2026R00906,PRSP002,SURF-CAW2026R00920,packet_member_review,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,As to China - J.S. Pughe. LCCN2010651571.jpg,Wikimedia Commons file source / As to China - J.S. Pughe. LCCN2010651571.jpg / page 67812310
SURF-CAW2026R00884,CAW2026R00884,PRSP002,SURF-CAW2026R00920,packet_member_review,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.jpg,Wikimedia Commons file source / A troublesome egg to hatch - J.S. Pughe. LCCN2010651397.jpg / page 67806952
SURF-CAW2026R00883,CAW2026R00883,PRSP002,SURF-CAW2026R00920,packet_member_review,main_sheet,support_packet_appendix_text,sheet,sheet,sheet.main.v0,sheet.main.v0,IMG03,IMG03,preview_disposition_applied,A disturbing possiblility in the east - Keppler. LCCN2010651460.tif,Wikimedia Commons file source / A disturbing possiblility in the east - Keppler. LCCN2010651460.tif / page 67809133
