source_file,capture_id,surface_id,year,current_region,place_text,source_subjects,source_name,title,source_url,repair_hint
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R040,SURF-MX1970R040,1931,Unresolved region,,,Internet Archive / text and periodical collections,commercial art and design,https://archive.org/details/commercialartdes0000rayj,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R026,SURF-MX1970R026,1936,Unresolved region,,,Internet Archive / text and periodical collections,Graphic Design,https://archive.org/details/bwb_S0-EBS-482,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R044,SURF-MX1970R044,1939,Unresolved region,,,Internet Archive / text and periodical collections,Commercial Art,https://archive.org/details/commercialart0000cewa,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R045,SURF-MX1970R045,1941,Unresolved region,,,Internet Archive / text and periodical collections,Cartooning and Commercial Art,https://archive.org/details/bwb_S0-DHV-277,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R046,SURF-MX1970R046,1949,Unresolved region,,,Internet Archive / text and periodical collections,TEACH YOURSELF COMMERCIAL ART.,https://archive.org/details/teachyourselfcom0000unse_h2p8,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R047,SURF-MX1970R047,1952,Unresolved region,,,Internet Archive / text and periodical collections,Commercial Art Techniques,https://archive.org/details/commercialarttec0000sral_y1y4,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R049,SURF-MX1970R049,1952,Unresolved region,,Commercial art,Internet Archive / text and periodical collections,Commercial art techniques : a practical self-instruction course and reference handbook. Over 500 illus. of methods and procedures,https://archive.org/details/commercialarttec00maur,review subjects: Commercial art
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R048,SURF-MX1970R048,1952,Unresolved region,,,Internet Archive / text and periodical collections,commercial art techniques,https://archive.org/details/commercialarttec0000unse_n1z9,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R050,SURF-MX1970R050,1952,Unresolved region,,,Internet Archive / text and periodical collections,commercial art techniques,https://archive.org/details/commercialarttec0000unse,manual geography review; unresolved candidate lacks controlled mapping
capture_batch_midcentury_expansion_1931_1970_records.csv,MX1970R027,SURF-MX1970R027,1954,Unresolved region,,,Internet Archive / text and periodical collections,"Graphic Design with special reference to Lettering, Typography and Illustration",https://archive.org/details/graphicdesignwit0000jlew,manual geography review; unresolved candidate lacks controlled mapping
