suggestion_id,surface_id,source_record_id,suggestion_type,current_label,suggested_label,suggested_region_id,suggested_geo_id,confidence_level,evidence_type,auto_apply_eligible,requires_date_check,external_validation_status,wikidata_country_found,suggested_action,years_found,risk_flags,review_priority,evidence,title,source_file
RGE-SCORE-00566,SURF-CGS2026R0466,CGS2026R0466,historical_split,France,France; wartime occupation/state-context review,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1939; 1943; 1945,historical_split_requires_taxonomy_support,historical_split_review,Ils donnent leur sang. Donnez votre travail pour sauver l'Europe du Bolchévisme - affiche.jpg 1943 placeText: Latin America / Brazil | sourceSubjects: Latin America; Brazil; propaganda poster; Category:Documents related to Nazi forced labor | title: Ils donnent leur sang. Donnez votre travail pour s,Ils donnent leur sang. Donnez votre travail pour sauver l'Europe du Bolchévisme - affiche.jpg,region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00564,SURF-CRG2026R0910,CRG2026R0910,historical_split,France,France; wartime occupation/state-context review,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1939; 1945,historical_split_requires_taxonomy_support,historical_split_review,102 Squadron Whitley aircrew in France WWII IWM C 837.jpg 1939 placeText: Global / release gate expansion | sourceSubjects: Global; release gate expansion; leaflet; Category:Air Ministry Second World War Official Collection Category:Armstrong Whitworth Whitley aircrew Category:Black and white photog,102 Squadron Whitley aircrew in France WWII IWM C 837.jpg,region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00563,SURF-GA1970R083,GA1970R083,historical_split,United States,France; wartime occupation/state-context review,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1937; 1939; 1940; 1945,historical_split_requires_taxonomy_support,historical_split_review,Archives de Julien Cain relatives à l'exposition internationale des Arts et des Techniques dans la Vie moderne de Paris (1937) - Classe 2 (Bibliothèques et manifestations littéraires) du groupe I (L'Expression de la Pensée) - Archives de Julien Cain relatives à l'exposition universelle de New York (,Archives de Julien Cain relatives à l'exposition internationale des Arts et des Techniques dans la Vie moderne de Paris (1937) - Classe 2 (Bibliothèques et manifestations littéraires) du groupe I (L'Expression de la Pensée) - Archives de Julien Cain relatives à l'exposition universelle de New York (1939-1940) - Groupe Lettres et section historique des rapports franco-américains. Exposition internationale de Paris (1937). Organisation et suivi administratif. Organisation et suivi administratif. Note relative au projet de création d'un musée du livre et des arts graphiques à l'exposition internationale de Paris de 1937.,region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00568,SURF-MC1930R056,MC1930R056,historical_split,United States,France; wartime occupation/state-context review,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1939; 1945,historical_split_requires_taxonomy_support,historical_split_review,"The Kiss (Poster for Man Ray exhibition, Julien Levy Gallery) April 1945 placeText: France | sourceSubjects: offset print; photomechanical process; photography; photograph | title: The Kiss (Poster for Man Ray exhibition, Julien Levy Gallery) | sourceDescription: The source does not provide extended","The Kiss (Poster for Man Ray exhibition, Julien Levy Gallery)",region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00569,SURF-GSU2026R005,GSU2026R005,historical_split,United States,Germany; East/West Germany review,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1949; 1965; 1966; 1967; 1968; 1969; 1970; 1971; 1972; 1973; 1974; 1975; 1990,historical_split_requires_taxonomy_support,historical_split_review,"American Association of University Women scrapbook 3, 1965-1975 1990 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1990 placeText: Georgia Atlanta (Ga.) Fulton County (Ga.) Brisbane (Qld.) Karlsruhe (Germany) Miami (Fla.) Portland (Or.) Philadelphia (Pa.) | sourceSubjects: Adult education o","American Association of University Women scrapbook 3, 1965-1975 1990",region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00343,SURF-CGS2026R0912,CGS2026R0912,historical_split,United States,Mexico; United States military occupation context,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1846; 1848,historical_split_requires_taxonomy_support,historical_split_review,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 1).jpg",region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00344,SURF-CGS2026R0913,CGS2026R0913,historical_split,United States,Mexico; United States military occupation context,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1846; 1848,historical_split_requires_taxonomy_support,historical_split_review,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 10, Ed. 1 Tuesday, July 7, 1846 - DPLA - 66d525b15cd45bc5d43bae195b676df5 (page 2).jpg",region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00345,SURF-CGS2026R0914,CGS2026R0914,historical_split,United States,Mexico; United States military occupation context,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1846; 1848,historical_split_requires_taxonomy_support,historical_split_review,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 3).jpg",region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00346,SURF-CGS2026R0915,CGS2026R0915,historical_split,United States,Mexico; United States military occupation context,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1846; 1848,historical_split_requires_taxonomy_support,historical_split_review,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mexi","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 14, Ed. 1 Sunday, July 19, 1846 - DPLA - 7b86f79ab4aafdfcbce6f37f89b624bc (page 4).jpg",region_conflict_historical_split_suggestions_v1.csv
RGE-SCORE-00347,SURF-CGS2026R0916,CGS2026R0916,historical_split,United States,Mexico; United States military occupation context,,,medium,historical_period_rule,false,true,unchecked,,split_by_date,1846; 1848,historical_split_requires_taxonomy_support,historical_split_review,"The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg 1846 placeText: Latin America / Mexico | sourceSubjects: Latin America; Mexico; advertising; | title: The American Flag. (Matamoros, Tamaulipas, Mex","The American Flag. (Matamoros, Tamaulipas, Mexico), Vol. 1, No. 15, Ed. 1 Tuesday, July 21, 1846 - DPLA - 7580cf140ca65afcd517a8b7f5d57646 (page 2).jpg",region_conflict_historical_split_suggestions_v1.csv
