metric,value,notes
surfaces,16175,Candidate surfaces scanned.
research_dossiers,16175,Research dossiers generated.
main_sheet_review_rows,13728,Main sheets with thin text or no subsheet relation.
main_with_compound_children,9,Main sheets with compoundChildren.
main_with_compound_children_gt2,9,Main sheets with more than two child records.
main_with_compound_children_gt5,4,Main sheets with more than five child records.
main_dossiers_with_subsheet_pages_gt2,0,Dossier page sequences with more than two subsheet pages.
main_dossiers_with_text_pages_gt5,0,Dossier page sequences with more than five text pages.
surface_type:sheet,14231,Surface type distribution.
surface_type:card,1944,Surface type distribution.
publication_role:main_sheet,13737,Publication role distribution.
publication_role:card,1943,Publication role distribution.
publication_role:support_packet_appendix_text,489,Publication role distribution.
publication_role:thin_visual_support_packet,3,Publication role distribution.
publication_role:,2,Publication role distribution.
publication_role:merge_candidate_support_packet,1,Publication role distribution.
dossier_anchor:main_sheet,13739,Research dossier anchor distribution.
dossier_anchor:card,1944,Research dossier anchor distribution.
dossier_anchor:subsheet,492,Research dossier anchor distribution.
dossier_page:text_page,14231,Research dossier page type distribution.
dossier_page:main_sheet,13739,Research dossier page type distribution.
dossier_page:appendix,3089,Research dossier page type distribution.
dossier_page:card,1944,Research dossier page type distribution.
dossier_page:subsheet,492,Research dossier page type distribution.
dossier_page:child_source_record,131,Research dossier page type distribution.
