surface_id,source_record_id,source_record_url,title,best_image_state,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,license_url_detected,license_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,image_url_detected_excerpt,rights_basis_excerpt,source_notes_excerpt
SURF-MX1970R032,graphic-design-1967,https://archive.org/details/graphic-design-1967,"graphic design, issue n°28, 1967 – ‘Franco Grignani and his experimental graphics’ by Katzumie Masaru",IMG02,0.45,true,MX1970R032,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,https://creativecommons.org/licenses/by-nc-nd/4.0/,blocking_noncommercial_or_noderivatives_url,blocked_by_noncommercial_or_noderivatives_license,keep_img02_pending_different_open_source,no_upgrade,false,https://archive.org/services/img/graphic-design-1967,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record. License URL: https://creativecommons.org/licenses/by-nc-nd/4.0/
SURF-MX1970R039,historyofdesignf0000fere_b7b5,https://archive.org/details/historyofdesignf0000fere_b7b5,"A history of design from the Victorian era to the present; a survey of the modern style in architecture, interior design, industrial design, graphic design, and photography",IMG02,0.45,true,MX1970R039,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/historyofdesignf0000fere_b7b5,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record.
SURF-MX1970R034,alphabetsdesignt0000mary,https://archive.org/details/alphabetsdesignt0000mary,Alphabets and design: a text for beginning students in graphic design,IMG02,0.45,true,MX1970R034,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/alphabetsdesignt0000mary,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record.
SURF-LPC2026R056,AnActivistsGuideToBasicFirstAid,https://archive.org/details/AnActivistsGuideToBasicFirstAid,An Activist's Guide to Basic First Aid,IMG02,0.45,true,LPC2026R056,data/capture_batch_late_period_coverage_1970_2026_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/AnActivistsGuideToBasicFirstAid,"Internet Archive exposes a source-hosted item thumbnail. This is treated as source-viewer evidence, not a local reusable image.","Internet Archive text record; use as source-return context and reading support, not as a definitive object-rights authority."
SURF-LPC2026R071,2017BlenderBasics,https://archive.org/details/2017BlenderBasics,Blender Basics: Classroom Tutorial Book,IMG02,0.45,true,LPC2026R071,data/capture_batch_late_period_coverage_1970_2026_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/2017BlenderBasics,"Internet Archive exposes a source-hosted item thumbnail. This is treated as source-viewer evidence, not a local reusable image.","Internet Archive text record; use as source-return context and reading support, not as a definitive object-rights authority."
SURF-LPC2026R072,CDVD1105,https://archive.org/details/CDVD1105,CHIP CD-ROM Romania November 2005,IMG02,0.45,true,LPC2026R072,data/capture_batch_late_period_coverage_1970_2026_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/CDVD1105,"Internet Archive exposes a source-hosted item thumbnail. This is treated as source-viewer evidence, not a local reusable image.","Internet Archive text record; use as source-return context and reading support, not as a definitive object-rights authority."
SURF-MX1970R045,bwb_S0-DHV-277,https://archive.org/details/bwb_S0-DHV-277,Cartooning and Commercial Art,IMG02,0.45,true,MX1970R045,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/bwb_S0-DHV-277,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record.
SURF-MX1970R044,commercialart0000cewa,https://archive.org/details/commercialart0000cewa,Commercial Art,IMG02,0.45,true,MX1970R044,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/commercialart0000cewa,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record.
SURF-MX1970R047,commercialarttec0000sral_y1y4,https://archive.org/details/commercialarttec0000sral_y1y4,Commercial Art Techniques,IMG02,0.45,true,MX1970R047,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/commercialarttec0000sral_y1y4,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record.
SURF-MX1970R043,commercialart0000wall,https://archive.org/details/commercialart0000wall,Commercial art,IMG02,0.45,true,MX1970R043,data/capture_batch_midcentury_expansion_1931_1970_records.csv,IMG02,true,,no_explicit_license_url,no_explicit_item_license_url,archive_item_license_probe_required,no_upgrade,false,https://archive.org/services/img/commercialart0000wall,"Internet Archive item is valuable for discovery/text, but item-level image reuse is mixed or unclear.",Internet Archive metadata record.
