metric,value,notes
aic_candidate_rows,36,AIC rows from image_rights_repair_candidates_v1.
local_records_found,36,Rows matched to existing local capture records.
raw_records_found,27,Rows with local raw AIC JSON found.
automatic_upgrade_allowed_rows,0,No automatic IMG03 upgrades are permitted by this preflight.
candidate_weighted_gap_points,36.00,Weighted-publication gap points represented by these candidates.
repair_family_img00_source_visible_repair,35,Original repair family.
repair_family_img04_text_state_review,1,Original repair family.
local_image_state_IMG00,35,Best matching local capture state.
local_image_state_IMG03,1,Best matching local capture state.
raw_rights_signal_raw_image_id_non_public_domain,26,Signal recovered from local raw AIC JSON.
raw_rights_signal_raw_record_missing,9,Signal recovered from local raw AIC JSON.
raw_rights_signal_raw_no_image_identifier,1,Signal recovered from local raw AIC JSON.
rights_signal_image_identifier_not_public_domain,26,Conservative rights-repair signal.
rights_signal_no_public_domain_image_evidence,10,Conservative rights-repair signal.
upgrade_recommendation_no_upgrade,36,36.00 weighted points.
