priority_id,region_id,source_need_type,priority,examples_to_research,reason,status
RSP0001,REG001,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0002,REG001,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0003,REG001,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0004,REG001,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0005,REG001,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0006,REG001,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0007,REG002,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0008,REG002,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0009,REG002,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0010,REG002,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0011,REG002,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0012,REG002,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0013,REG003,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0014,REG003,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0015,REG003,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0016,REG003,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0017,REG003,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0018,REG003,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0019,REG004,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0020,REG004,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0021,REG004,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0022,REG004,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0023,REG004,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0024,REG004,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0025,REG005,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0026,REG005,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0027,REG005,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0028,REG005,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0029,REG005,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0030,REG005,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0031,REG006,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0032,REG006,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0033,REG006,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0034,REG006,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0035,REG006,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0036,REG006,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0037,REG007,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0038,REG007,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0039,REG007,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0040,REG007,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0041,REG007,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0042,REG007,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0043,REG008,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0044,REG008,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0045,REG008,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0046,REG008,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0047,REG008,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0048,REG008,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0049,REG009,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0050,REG009,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0051,REG009,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0052,REG009,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
RSP0053,REG009,community_archive,Launch,,"Needed for protest graphics, underdocumented histories, zines, and counterpublics.",needs_research
RSP0054,REG009,web_archive,Launch,,"Needed for born-digital, interface, platform, and contemporary visual communication.",needs_research
RSP0055,REG010,national_library,Launch,,"Needed for books, periodicals, newspapers, bibliographic records, and public-domain material.",needs_research
RSP0056,REG010,museum_collection,Launch,,"Needed for posters, prints, design objects, exhibition histories, and institutional metadata.",needs_research
RSP0057,REG010,design_archive,Launch,,"Needed for designers, studios, schools, ephemera, and professional histories.",needs_research
RSP0058,REG010,periodical_newspaper_archive,Launch,,"Needed for advertising, editorial design, typography, and commercial print ecology.",needs_research
