regional_movement_id,name,alternate_names,region_id,geo_id,date_start,date_end,date_text,formation_type,related_node_ids,related_movement_ids,key_media,source_needs,rights_risk,status,notes,movement_mode,script_flags,collective_authorship,periodical_relevance,protocol_sensitive,source_priority_class
RM001,British Arts and Crafts book and private press reform,,REG001,GEO003,1860,1919,c.1860s-1910s,reform/publishing formation,HN006,MV001,books; type; ornaments; journals,design libraries; rare book collections; exhibition catalogues,medium,launch_scope,Tracks print reform as publishing practice rather than decorative style only.,,,,,,
RM002,French affiche and illustrated press culture,Belle Epoque poster culture,REG001,GEO005,1880,1914,c.1880s-1914,poster/periodical formation,HN004; HN005; HN006,MV002,lithographic posters; magazines; sheet music,poster museums; Gallica; museum print rooms,medium,launch_scope,Connects Art Nouveau with commercial lithographic mass culture.,,,,,,
RM003,German Jugendstil and Sachplakat,object poster,REG001,GEO006,1890,1914,c.1890s-1914,poster/commercial formation,HN005; HN006,MV002,posters; trademarks; packaging,poster archives; museum collections; trade press,medium,launch_scope,Requires separation between Jugendstil ornament and Sachplakat commercial simplification.,,,,,,
RM004,Vienna Secession publishing and exhibition graphics,,REG001,GEO008,1897,1918,1897-1918,movement/publishing formation,HN006,MV003,journals; posters; exhibition catalogues,museum collections; Ver Sacrum records,medium,launch_scope,"Use as a specific formation, not a generic Art Nouveau synonym.",,,,,,
RM005,Italian Futurist typographic experiment,parole in liberta,REG001,GEO011,1909,1939,1909-1930s,avant-garde formation,HN007,MV005,manifestos; books; experimental typography,avant-garde collections; periodical archives,medium,launch_scope,Important for nonlinear page structure and performance of text.,,,,,,
RM006,Dutch De Stijl publication and typographic systems,,REG001,GEO009,1917,1931,1917-1931,avant-garde/publishing formation,HN007; HN008,MV007,journals; manifestos; layouts,museum collections; periodical scans,medium,launch_scope,Track journal networks and international transmission.,,,,,,
RM007,Bauhaus typography and institutional graphics,,REG001,GEO006,1919,1933,1919-1933,school/design formation,HN008,MV011; MV012,stationery; posters; books; teaching material,Bauhaus archives; museum collections,medium,launch_scope,Canonical but must be linked outward to exile and reception routes.,,,,,,
RM008,Swiss International Typographic Style,Swiss Style,REG001,GEO007,1945,1975,c.1945-1975,typographic/systems formation,HN010,MV014,posters; grids; manuals; magazines,Swiss design archives; museum collections,medium,launch_scope,Must not become universal default grid history.,,,,,,
RM009,Ulm systems and information design,HfG Ulm,REG001,GEO006,1953,1968,1953-1968,school/systems formation,HN010; HN011,MV015; MV018,identity systems; pictograms; manuals,HfG archives; corporate archives; museum collections,medium,launch_scope,Central to systems design and method-oriented design history.,,,,,,
RM010,Polish poster school,Polska Szkola Plakatu,REG002,GEO018,1945,1989,c.1945-1989,poster formation,HN009; HN010; HN013,,posters; film posters; theatre posters,poster museums; national libraries; film archives,medium-high,launch_scope,Major non-Western-European canonical formation often under-integrated into global timelines.,,,,,,
