concentration_type,key,record_count,img03_count,img04_count,post_2010_stamp_or_event_count,sample_titles,recommendation
source_domain,commons.wikimedia.org,17697,17697,0,2582,DpedroI-brasil-full (cropped).jpg | DpedroI-brasil-full.jpg | DpedroI-brasil.png | Pedro I of Brazil 1830.jpg | Simplício Rodrigues de Sá - O Chalaça - Google Art Project.jpg,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,gallica.bnf.fr,241,226,0,0,"Théâtre dirigé par M. Dorsay ci-devant Mad.e Saqui Boulevard du Temple en face le jardin turc tous les jours, excepté le Dimanche, Jane Gray Drame historique en 3 actes et 5 tableaux de M. Leblanc, musique de M. Bellon, décors de M. Rascalon mise en scène de M. Dupuis : [estampe] | Agence de Publicité-Dollingen | Traité de géométrie pratique : comprenant les opérations graphiques, et de nombreuses applications aux travaux d'art et de construction... / par J.-J. Regnault,... | De la publicité des débats parlementaires | Publicité politique d'un ouvrier [Messan, sabotier]",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,collection.cooperhewitt.org,153,5,0,148,"Die Thierwelt (The Animal Kinggom) | Detmold Wald (Detmold Forest) | Package Design for National Dairy Ice Cream | Play between 6 and 12, The Bright Hours | Section Allemande (German Section), Exposition de la Société des Artistes Décorateurs (Exhibition of the Society of Decorative Arts), Grand Palais",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,collections.vam.ac.uk,90,0,48,1,Piper at the Gates of Dawn | Zimbabwe. One Enemy: Imperialism [verso] | There flows from Latin America | Picture Posters | Political Poster Show 1977,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,wellcomecollection.org,89,7,0,3,"A man happy to be returning to the factory after being cured of tuberculosis. Colour lithograph after W. Heaslip, 1931. | Publications about the Experiment (not by GSW or IHP, for which see sections D & E respectively) | A strong man supporting a weak and emaciated woman; representing the work of the Zonnestraal sanatorium for the tuberculous. Colour lithograph by A. Hahn, 1932. | Tuberculosis patients lying on their beds in a crowded tuberculosis hospital; advertising a tombola in aid of tuberculosis sufferers in L'Hérault, France. Colour lithograph, ca. 1933. | Birth Control advertisements 1934-1937",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,digitalcollections.library.gsu.edu,85,0,0,6,"Georgia Education Journal, 1931-04 | Georgia Education Journal, 1932-02 | Georgia Education Journal, 1932-03 | Georgia Education Journal, 1932-04 | Index card file for plants or locals in Washington, D.C., 1936",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,paperspast.natlib.govt.nz,80,80,0,0,"Untitled Illustration (Otago Daily Times, 15 August 1867) | Untitled Illustration (Otago Witness, 13 December 1879) | Untitled Illustration (Otago Witness, 13 December 1879) | Untitled Illustration (Otago Witness, 13 December 1879) | Untitled Illustration (Otago Witness, 13 December 1879)",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,archive.org,76,1,0,2,REVOLUTIONART issue 2 - international pdf magazine of graphics arts | REVOLUTIONART issue 3 - international pdf magazine of graphics arts | Design and evaluation of computer/human interfaces : issues for librarians and information scientists | REVOLUTIONART issue 4 (DIRT) - international pdf magazine of graphics arts | Revolution Art Magazine Issue 8,Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,loc.gov,68,20,21,3,"[Political posters related to issues in Pakistan and Afghanistan, some published in Quetta, Pakistan, including posters issued by the Taliban and Jamiat Ulema-e-Islam, posters in sympathy with the Northern alliance and other anti-Taliban movements in Afghanistan, posters supporting Ossama Bin Laden and Saddam Hussein, and posters about the separatist movement in Balochistan] | [Posters depicting Belize's People's United Party (PUP); Brazil: film posters, cultural issues, reproductive rights; Guyana: political posters, environmental issues; Suriname: bird-watching, environmental issues; French Guyana: environmental issues, Carnival, spaceport; Uruguay: film festival; AIDS awareness; disability awareness; indigenous cultures; cinema; travel; species extinction; cultural events; children's books; IBASE; and Coca-Cola themed posters] | [Polish posters: Ramayana exhibition poster by Stasis; Gamelan exhibition poster by Jerzy Czerniawski; Indonesia exhibition poster by Maria Janiga] | Production. The first of a series of production posters designed by the Office of Emergency Management for display in defense plants throughout the United States. The poster was designed for the OEM by Jean Carlu, eminent poster artist and graphic design expert. The poster measures 30 x 40 inches in size and was issued June 23, 1941 | Poster. Men working together. A defense production poster for display in industrial plants throughout the nation. The poster, which measures 30 x 40 inches was designed and distributed by the Division of Information of the Office of War Information (OWI). The poster was issued November 18, 1941",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
source_domain,artic.edu,60,12,1,1,"Buy a Little Present for the Kaiser | La Gismonda (Sarah Bernhardt) | Zodiaque (""La Plume"") | To the Amputees—Join the Workforce | Keep These Off the U.S.A.",Cap or sample this source family before further capture; audit risky rows before surface rebuild.
