metric,value,notes
candidate_surfaces_scanned,16175,Candidate surfaces scanned for promotion blockers.
promotion_blocker_rows,2463,Total blocker rows; a surface may have more than one blocker.
geo_repair_rows,133,Unresolved-region rows requiring geography repair.
exclusion_delta_rows,0,New P0 source_file + capture_id suggestions not already in current exclusion table.
severity:P1,2463,Promotion blocker severity.
blocker:event_photo_or_context_image,2149,Promotion blocker type.
blocker:source_visible_gap,181,Promotion blocker type.
blocker:unresolved_region,133,Promotion blocker type.
geo_source:Wellcome Collection Catalogue API,46,Top unresolved-region source names.
geo_source:Wikimedia Commons,34,Top unresolved-region source names.
geo_source:Internet Archive / text and periodical collections,19,Top unresolved-region source names.
geo_source:Library of Congress loc.gov API,17,Top unresolved-region source names.
geo_source:The Met Open Access,14,Top unresolved-region source names.
geo_source:V&A Collections API,3,Top unresolved-region source names.
