surface_id,capture_id,year,title,source_name,region,image_state,surface_type,publication_role,source_scope,source_reading_text_length,reading_text_length,compound_children,review_reason
SURF-CRB2026V2R0255,CRB2026V2R0255,1830,Augusta Bridge drawing from 1836.png,Wikimedia Commons file source / Augusta Bridge drawing from 1836.png / page 90705217,Georgia,IMG03,sheet,main_sheet,single_anchor_record,484,2620,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00001,CAW2026R00001,1830,DpedroI-brasil-full (cropped).jpg,Wikimedia Commons file source / DpedroI-brasil-full (cropped).jpg / page 180687833,Cape Verde,IMG03,sheet,main_sheet,single_anchor_record,345,2282,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00002,CAW2026R00002,1830,DpedroI-brasil-full.jpg,Wikimedia Commons file source / DpedroI-brasil-full.jpg / page 2050174,Cape Verde,IMG03,sheet,main_sheet,single_anchor_record,955,3353,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00003,CAW2026R00003,1830,DpedroI-brasil.png,Wikimedia Commons file source / DpedroI-brasil.png / page 2050058,Cape Verde,IMG03,sheet,main_sheet,single_anchor_record,652,2777,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00095,CAW2026R00095,1830,"Juan Manuel Blanes (1830-1901) - Yellow Fever in Buenos Aires, 1871 - 525072i - Wellcome Collection.jpg","Wikimedia Commons file source / Juan Manuel Blanes (1830-1901) - Yellow Fever in Buenos Aires, 1871 - 525072i - Wellcome Collection.jpg / page 164810058",Uruguay,IMG03,sheet,main_sheet,single_anchor_record,454,2388,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00089,CAW2026R00089,1830,"Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front (cropped).png","Wikimedia Commons file source / Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front (cropped).png / page 145766844",Lithuania,IMG03,sheet,main_sheet,single_anchor_record,902,2554,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00090,CAW2026R00090,1830,"Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front.png","Wikimedia Commons file source / Józef Sobolewski - Wykład wiary machometańskiej (1830, WBC) - cover (1) front.png / page 145765567",Lithuania,IMG03,sheet,main_sheet,single_anchor_record,892,2545,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00096,CAW2026R00096,1830,"Licenced victuallers (BM 1868,0808.12294 1).jpg","Wikimedia Commons file source / Licenced victuallers (BM 1868,0808.12294 1).jpg / page 90355904",Algeria,IMG03,sheet,main_sheet,single_anchor_record,1947,3105,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00097,CAW2026R00097,1830,"Licenced victuallers (BM 1868,0808.12294).jpg","Wikimedia Commons file source / Licenced victuallers (BM 1868,0808.12294).jpg / page 90355887",Algeria,IMG03,sheet,main_sheet,single_anchor_record,2228,3669,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00009,CAW2026R00009,1830,Marianne North (1830-1890) - 'Benares. India. Novr. 1878' - WD3233 - British Library.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - 'Benares. India. Novr. 1878' - WD3233 - British Library.jpg / page 164932284,United Kingdom,IMG03,sheet,main_sheet,single_anchor_record,406,2292,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00010,CAW2026R00010,1830,"Marianne North (1830-1890) - 'Boro Bodo, Java' - WD3215 - British Library.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - 'Boro Bodo, Java' - WD3215 - British Library.jpg / page 164730483",United Kingdom,IMG03,sheet,main_sheet,single_anchor_record,307,2227,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00011,CAW2026R00011,1830,Marianne North (1830-1890) - 'Street of Hunting Cheetahs and Lynx. Ulwar. India 1878' - WD3244 - British Library.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - 'Street of Hunting Cheetahs and Lynx. Ulwar. India 1878' - WD3244 - British Library.jpg / page 164486837,United Kingdom,IMG03,sheet,main_sheet,single_anchor_record,658,2463,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00012,CAW2026R00012,1830,Marianne North (1830-1890) - 'The Kutub. Delhi. India. Novr. 1878' - WD3239 - British Library.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - 'The Kutub. Delhi. India. Novr. 1878' - WD3239 - British Library.jpg / page 164816595,United Kingdom,IMG03,sheet,main_sheet,single_anchor_record,487,2340,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00013,CAW2026R00013,1830,Marianne North (1830-1890) - A Brazilian Climbing Shrub and Humming Birds - MN59 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - A Brazilian Climbing Shrub and Humming Birds - MN59 - Marianne North Gallery.jpg / page 164781958,Brazil,IMG03,sheet,main_sheet,single_anchor_record,550,2387,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00014,CAW2026R00014,1830,Marianne North (1830-1890) - A Brazilian Epiphytal Orchid - MN808 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - A Brazilian Epiphytal Orchid - MN808 - Marianne North Gallery.jpg / page 164417620,Brazil,IMG03,sheet,main_sheet,single_anchor_record,406,2289,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00015,CAW2026R00015,1830,"Marianne North (1830-1890) - A Cycad in Fruit in Mr Hill's Garden, Verulam, Natal - MN366 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - A Cycad in Fruit in Mr Hill's Garden, Verulam, Natal - MN366 - Marianne North Gallery.jpg / page 164190176",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,622,2441,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00016,CAW2026R00016,1830,Marianne North (1830-1890) - A South African Water-Plant in Flower and Fruit - MN420 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - A South African Water-Plant in Flower and Fruit - MN420 - Marianne North Gallery.jpg / page 164711083,South Africa / Botswana,IMG03,sheet,main_sheet,single_anchor_record,577,2407,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00017,CAW2026R00017,1830,Marianne North (1830-1890) - Abyssinian Ensete in a Garden in Teneriffe - MN516 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Abyssinian Ensete in a Garden in Teneriffe - MN516 - Marianne North Gallery.jpg / page 164627148,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,532,2381,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00018,CAW2026R00018,1830,Marianne North (1830-1890) - An Old Friend and Its Associates in South Africa - MN416 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - An Old Friend and Its Associates in South Africa - MN416 - Marianne North Gallery.jpg / page 164362471,South Africa / Botswana,IMG03,sheet,main_sheet,single_anchor_record,586,2412,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00006,CAW2026R00006,1830,Marianne North (1830-1890) - Angraecum and Urania Moth of Madagascar - MN356 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Angraecum and Urania Moth of Madagascar - MN356 - Marianne North Gallery.jpg / page 164204264,Madagascar,IMG03,sheet,main_sheet,single_anchor_record,505,2347,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00019,CAW2026R00019,1830,"Marianne North (1830-1890) - Avenue of Indian Rubber Trees at Peradeniya, Ceylon - MN260 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Avenue of Indian Rubber Trees at Peradeniya, Ceylon - MN260 - Marianne North Gallery.jpg / page 164947326",India,IMG03,sheet,main_sheet,single_anchor_record,613,2427,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00020,CAW2026R00020,1830,"Marianne North (1830-1890) - Bamboos, Cocoa Nut Trees and Other Vegetation in the Bath Valley, Jamaica - MN130 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Bamboos, Cocoa Nut Trees and Other Vegetation in the Bath Valley, Jamaica - MN130 - Marianne North Gallery.jpg / page 164729673",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,811,2567,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00021,CAW2026R00021,1830,"Marianne North (1830-1890) - Bananas and Orange Trees, a Palm and a Bush of Noche Buena in a Garden at Morro Velho, Brazil - MN120 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Bananas and Orange Trees, a Palm and a Bush of Noche Buena in a Garden at Morro Velho, Brazil - MN120 - Marianne North Gallery.jpg / page 164224345",Brazil,IMG03,sheet,main_sheet,single_anchor_record,991,2687,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00022,CAW2026R00022,1830,"Marianne North (1830-1890) - Banyan Tree at Passu Gulag near Diocio, Java - MN694 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Banyan Tree at Passu Gulag near Diocio, Java - MN694 - Marianne North Gallery.jpg / page 164184484",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,550,2380,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00023,CAW2026R00023,1830,"Marianne North (1830-1890) - Blue Poppy Growing on Mount Tonglo, Sikkim-Himalaya - MN252 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Blue Poppy Growing on Mount Tonglo, Sikkim-Himalaya - MN252 - Marianne North Gallery.jpg / page 164188124",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,613,2433,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00024,CAW2026R00024,1830,Marianne North (1830-1890) - Brazilian Wild Flowers - MN55 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Brazilian Wild Flowers - MN55 - Marianne North Gallery.jpg / page 164932693,Brazil,IMG03,sheet,main_sheet,single_anchor_record,352,2245,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00025,CAW2026R00025,1830,"Marianne North (1830-1890) - Cultivated Flowers, Painted in Jamaica - MN147 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Cultivated Flowers, Painted in Jamaica - MN147 - Marianne North Gallery.jpg / page 164290552",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,496,2357,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00026,CAW2026R00026,1830,"Marianne North (1830-1890) - Cycads, Screw-Pines and Bamboos with Durban in the Distance - MN389 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Cycads, Screw-Pines and Bamboos with Durban in the Distance - MN389 - Marianne North Gallery.jpg / page 164752838",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,685,2475,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00027,CAW2026R00027,1830,Marianne North (1830-1890) - Exotic Flowering Plant on a Black Background* - MN853 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Exotic Flowering Plant on a Black Background* - MN853 - Marianne North Gallery.jpg / page 164623483,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,559,2399,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00028,CAW2026R00028,1830,"Marianne North (1830-1890) - Fig-Tree Village and Its Big Godfather, Illawarra - MN788 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Fig-Tree Village and Its Big Godfather, Illawarra - MN788 - Marianne North Gallery.jpg / page 164848642",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,589,2416,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00029,CAW2026R00029,1830,"Marianne North (1830-1890) - Fishes - MNS45 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Fishes - MNS45 - Royal Botanic Gardens, Kew, Library, Art ^ Archives.jpg / page 164733100",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,202,2156,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00030,CAW2026R00030,1830,Marianne North (1830-1890) - Flowers of a Brazilian Forest Tree - MN88 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Flowers of a Brazilian Forest Tree - MN88 - Marianne North Gallery.jpg / page 164807218,Brazil,IMG03,sheet,main_sheet,single_anchor_record,460,2327,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00031,CAW2026R00031,1830,"Marianne North (1830-1890) - Flowers of a Twiner, Brazil - MN99 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Flowers of a Twiner, Brazil - MN99 - Marianne North Gallery.jpg / page 164776238",Brazil,IMG03,sheet,main_sheet,single_anchor_record,397,2291,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00032,CAW2026R00032,1830,"Marianne North (1830-1890) - Foliage and Flowers of a Climbing Plant with Royal Palms and Sugarloaf Mountain in the Background, Brazil - MN65 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Foliage and Flowers of a Climbing Plant with Royal Palms and Sugarloaf Mountain in the Background, Brazil - MN65 - Marianne North Gallery.jpg / page 164636460",Brazil,IMG03,sheet,main_sheet,single_anchor_record,1099,2757,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00033,CAW2026R00033,1830,"Marianne North (1830-1890) - Foliage and Flowers of the Blue Gum, and Diamond Birds, Tasmania - MN720 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Foliage and Flowers of the Blue Gum, and Diamond Birds, Tasmania - MN720 - Marianne North Gallery.jpg / page 164251594",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,724,2506,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00034,CAW2026R00034,1830,"Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Peruvian Bark Tree - MN587 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Peruvian Bark Tree - MN587 - Marianne North Gallery.jpg / page 164182942",Seychelles,IMG03,sheet,main_sheet,single_anchor_record,661,2458,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00035,CAW2026R00035,1830,"Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Rare West Australian Shrub - MN751 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Foliage, Flowers and Seed-Vessels of a Rare West Australian Shrub - MN751 - Marianne North Gallery.jpg / page 164725585",Australia / Indigenous,IMG03,sheet,main_sheet,single_anchor_record,733,2503,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00036,CAW2026R00036,1830,"Marianne North (1830-1890) - Gate of the Temple of Kobe, Japan and Wistaria - MN643 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Gate of the Temple of Kobe, Japan and Wistaria - MN643 - Marianne North Gallery.jpg / page 164615862",Japan,IMG03,sheet,main_sheet,single_anchor_record,568,2405,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00037,CAW2026R00037,1830,"Marianne North (1830-1890) - Glimpse of Mr Weilhorn's House at Petropolis, Brazil - MN90 - Marianne North Gallery.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - Glimpse of Mr Weilhorn's House at Petropolis, Brazil - MN90 - Marianne North Gallery.jpg / page 164691300",Brazil,IMG03,sheet,main_sheet,single_anchor_record,622,2439,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00038,CAW2026R00038,1830,Marianne North (1830-1890) - Group of Natal Flowers - MN371 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Group of Natal Flowers - MN371 - Marianne North Gallery.jpg / page 164319284,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,352,2260,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00039,CAW2026R00039,1830,Marianne North (1830-1890) - Himalayan Flowers Embedded in Maidenhair Fern - MN274 - Marianne North Gallery.jpg,Wikimedia Commons file source / Marianne North (1830-1890) - Himalayan Flowers Embedded in Maidenhair Fern - MN274 - Marianne North Gallery.jpg / page 164768423,Seychelles,IMG03,sheet,main_sheet,single_anchor_record,559,2394,0,single_anchor_no_subsheet_relation
SURF-CAW2026R00040,CAW2026R00040,1830,"Marianne North (1830-1890) - In the Kylas, Ellora, India, March 1878 - MNS104 - Herbarium Complex, Royal Botanic Gardens, Kew.jpg","Wikimedia Commons file source / Marianne North (1830-1890) - In the Kylas, Ellora, India, March 1878 - MNS104 - Herbarium Complex, Royal Botanic Gardens, Kew.jpg / page 97436721",India,IMG03,sheet,main_sheet,single_anchor_record,505,2359,0,single_anchor_no_subsheet_relation
