candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,adapter_hint,recommended_image_policy_next,recommended_text_policy_next,rights_risk,capture_priority_next,probe_status,failure_reason,raw_probe_path,access_date,notes
CSS0001,Another Graphic,Global,Independent web,Transnational,independent design archive / publication,independent,Static JS App / HTML,https://anothergraphic.org/,200,https://anothergraphic.org/,text/html; charset=UTF-8,180000,Another Graphic | Archive of graphic design focused on typographic treatment,Archive of graphic design focused on typographic treatment. Find your graphic design & typography inspiration.,RSS/Atom;JSON-LD;WordPress REST;Static JS App,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json;Static JS App:window.__,wordpress_rest_or_html_adapter,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,essay and project text extraction after source terms review,manual_rights_review,P1 text/source enrichment,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0001.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0002,It's Nice That,Global,Independent web,United Kingdom / transnational,design media,independent media,WordPress REST / HTML,https://www.itsnicethat.com/,200,https://www.itsnicethat.com/,text/html; charset=utf-8,180000,It's Nice That,Inspiring Creativity,IIIF;RSS/Atom;WordPress REST,"IIIF:rel=""manifest"";RSS/Atom:application/atom+xml;WordPress REST:wordpress",iiif_manifest_adapter,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,article text snippets and cited designer/source extraction,iiif_is_viewer_not_reuse,P1 adapter build,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0002.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0003,AIGA Eye on Design,Global,Independent web,United States / transnational,design media,professional association media,WordPress REST / HTML,https://eyeondesign.aiga.org/,,,,,,,,,manual_review_or_alternate_endpoint,IMG00 until source endpoint and item rights are verified,manual context only,standard_rights_review,P2 retry/manual verification,failed,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)>,,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0004,Slanted,Global,Independent web,Germany / transnational,design publication / type culture,independent media,HTML / WordPress-like,https://www.slanted.de/,200,https://www.slanted.de/,text/html; charset=UTF-8,180000,"Slanted.de by Slanted Publishers - Design-News, Publisher, Shop - slanted",The daily blog highlights events and news from an international design scene and showcases inspiring portfolios from all over the world.,RSS/Atom;JSON-LD;WordPress REST;Static JS App,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json;Static JS App:vite,wordpress_rest_or_html_adapter,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,article text and issue metadata,standard_rights_review,P1 adapter build,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0004.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0005,The Brand Identity,Global,Independent web,United Kingdom / transnational,branding archive / media,independent media,Static JS App / HTML,https://the-brandidentity.com/,200,https://the-brandidentity.com/,text/html; charset=utf-8,180000,The Brand Identity – Home of the Greatest in Graphic & Brand Design,"A curated platform for the world's best brand and graphic design, since 2015. Read case studies and interviews, shop premium design assets, and find your next job role. Seen and shared 20 million times a month.",IIIF;GraphQL;Static JS App,"IIIF:rel=""manifest"";GraphQL:__typename;Static JS App:window.__",iiif_manifest_adapter,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,project text and studio/source extraction,iiif_is_viewer_not_reuse,P1 adapter build,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0005.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0006,BP&O,Global,Independent web,United Kingdom / transnational,branding archive / review,independent media,WordPress REST / HTML,https://bpando.org/,200,https://bpando.org/,text/html; charset=UTF-8,124906,"BP&O - Branding, Packaging and Opinion","Logo, brand identity, packaging and graphic design blog, daily design inspiration, review, news and opinion from Richard Baird.",JSON-LD;WordPress REST,JSON-LD:application/ld+json;WordPress REST:wp-content,wordpress_rest_or_html_adapter,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,project summary and outbound link extraction,standard_rights_review,P1 adapter build,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0006.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0007,Fonts In Use,Global,Typography,Transnational,typography database,community database,Static JS App / HTML,https://fontsinuse.com/,200,https://fontsinuse.com/,text/html; charset=UTF-8,180000,Fonts In Use - Fonts In Use,"A searchable archive of typographic design, indexed by typeface, format, and topic.",RSS/Atom,RSS/Atom:application/rss+xml,rss_atom_source_adapter,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,title/typeface/industry/source metadata,standard_rights_review,P1 text/source enrichment,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0007.html.txt,2026-06-05,"Useful authority-like typography context, but not an image-rights authority."
CSS0008,People's Graphic Design Archive,Global,Community archive,United States / transnational,community archive,community,Static JS App / API-like,https://peoplesgdarchive.org/,200,https://peoplesgdarchive.org/,text/html; charset=UTF-8,125076,People’s Graphic Design Archive,A virtual design archive built by everyone about everyone for everyone.,IIIF;RSS/Atom;PDF,IIIF:manifest.json;RSS/Atom:application/rss+xml;PDF:.pdf,iiif_manifest_adapter,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,metadata and citation enrichment,community_or_cultural_review;iiif_is_viewer_not_reuse,P1 adapter build,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0008.html.txt,2026-06-05,Important non-museum comparator; not a replacement source.
CSS0009,Design Reviewed,Europe,Independent archive,United Kingdom,private design archive / publication,independent,WordPress REST / HTML,https://designreviewed.com/,200,https://designreviewed.com/,text/html; charset=UTF-8,180000,Design Reviewed — Graphic Design History Archive,"Design Reviewed, a personal project dedicated to digitally preserving graphic design history and documenting the visual culture from the last century.",RSS/Atom;JSON-LD;WordPress REST;Static JS App,RSS/Atom:application/rss+xml;JSON-LD:application/ld+json;WordPress REST:wp-json;Static JS App:vite,wordpress_rest_or_html_adapter,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,post text and tags,standard_rights_review,P1 text/source enrichment,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0009.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0010,Letterform Archive Blog,North America,Independent archive,United States,typography archive / institution,nonprofit archive,WordPress REST / HTML,https://letterformarchive.org/news/,200,https://letterformarchive.org/news/,text/html; charset=UTF-8,180000,News | Letterform Archive,"A nonprofit center for inspiration, education, and community in the graphic arts.",JSON-LD;WordPress REST;Static JS App;PDF,JSON-LD:application/ld+json;WordPress REST:wp-json;Static JS App:vite;PDF:.pdf,wordpress_rest_or_html_adapter,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,article text; collection references,standard_rights_review,P1 adapter build,ok,,data/contemporary_source_scan_probe_1990_2026_v2_raw/CSS0010.html.txt,2026-06-05,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
