bin_start,bin_end,object_dated_records,expected_equalized_count,share_of_expected,priority,recommended_capture_focus
2025,2026,336,739.7,0.454,severe_gap,targeted object-dated records with explicit source year and source-visible image evidence
1980,1984,345,739.7,0.466,severe_gap,"1980s posters, record sleeves, magazine covers, identity systems, political/cultural graphics"
2000,2004,372,739.7,0.503,severe_gap,"2000-2004 studio/platform projects, early web visual communication, art-school/community posters"
1985,1989,374,739.7,0.506,severe_gap,"1980s posters, record sleeves, magazine covers, identity systems, political/cultural graphics"
1955,1959,385,739.7,0.520,severe_gap,"late-1950s/early-1960s institutional posters, book covers, labels, advertising, design-school records"
1960,1964,446,739.7,0.603,moderate_gap,"late-1950s/early-1960s institutional posters, book covers, labels, advertising, design-school records"
1990,1994,468,739.7,0.633,moderate_gap,"1990s early web/platform graphics, studio projects, posters, magazines, cultural identity systems"
1995,1999,500,739.7,0.676,moderate_gap,"1990s early web/platform graphics, studio projects, posters, magazines, cultural identity systems"
1945,1949,545,739.7,0.737,moderate_gap,targeted object-dated records with explicit source year and source-visible image evidence
2020,2024,1140,739.7,1.541,recent_overfull_review,targeted object-dated records with explicit source year and source-visible image evidence
