event_node_id,event_name,event_type,region_id,geo_id,date_start,date_end,date_text,related_node_ids,related_regional_movement_ids,source_need,rights_risk,status,notes,event_date_start,event_date_end,date_precision,anchor_strength,source_record_required,browse_priority,web_archive_relevant
REN001,Lithography enters industrial public display and poster culture,technology/circulation node,REG001,GEO002,1796,1914,c.1796-1914,HN004; HN005,RM002; RM003,poster archives; print histories; museum records,medium,launch_scope,Technical node that links Europe to later global poster cultures.,,,,,,,
REN002,Arts and Crafts and private press reform becomes a graphic design precursor,movement node,REG001,GEO003,1860,1919,c.1860s-1910s,HN006,RM001,rare book collections; design libraries,medium,launch_scope,Treat as pre-professional graphic design evidence.,,,,,,,
REN003,Art Nouveau/Jugendstil/Secession graphic systems spread through posters and magazines,movement/circulation node,REG001,GEO002,1880,1914,c.1880s-1914,HN006,RM002; RM003; RM004,poster collections; periodicals,medium,launch_scope,"Multi-country formation, not a single style label.",,,,,,,
REN004,Avant-garde journals and manifestos reshape page space,publication node,REG001,GEO002,1909,1935,1909-1935,HN007,RM005; RM006,avant-garde periodicals; manifesto collections,medium,launch_scope,"Connects Futurism, Dada, De Stijl, and related print experiments.",,,,,,,
REN005,Bauhaus institutional graphic identity and New Typography transmission,school/transmission node,REG001,GEO006,1919,1938,1919-1938,HN008,RM007,school archives; modernist publishing records,medium,launch_scope,Must index exile and reception routes.,,,,,,,
REN006,Postwar Swiss/Ulm systems become a global reference for grids and information design,systems node,REG001,GEO007,1945,1975,c.1945-1975,HN010,RM008; RM009,design archives; transit/civic archives,medium,launch_scope,Use as one route among many systems histories.,,,,,,,
REN007,"Russian Revolution, Constructivism, and Soviet agitational print converge",political/avant-garde node,REG002,GEO016,1917,1939,1917-1930s,HN007; HN009,RM011,museum collections; periodicals; state archives,medium,launch_scope,Separate documented networks from aesthetic resemblance.,,,,,,,
REN008,Central/Eastern European avant-garde publishing and photomontage networks,publication/transnational node,REG002,GEO015,1920,1939,1920s-1930s,HN007; HN008,RM012; RM013,national libraries; university collections,medium,launch_scope,Important for non-Western-European modernism.,,,,,,,
REN009,Postwar Polish poster school and socialist-era poster cultures,poster node,REG002,GEO018,1945,1989,c.1945-1989,HN009; HN013,RM010,poster museums; film/theatre archives,medium-high,launch_scope,"Track cultural posters, film posters, and state/cultural institutions.",,,,,,,
REN010,Yugoslav non-aligned visual culture and tourism/state design,state/commercial node,REG002,GEO023,1945,1991,1945-1991,HN010; HN011,RM014,national libraries; tourism archives,medium-high,launch_scope,Prevents socialist design from being USSR-only.,,,,,,,
REN011,"U.S. advertising, editorial design, and corporate identity professionalization",professionalization node,REG003,GEO025,1920,1989,c.1920s-1980s,HN005; HN011,RM015; RM016,trade press; company archives; periodicals,high,launch_scope,High digitization should not overdetermine global importance.,,,,,,,
REN012,"Civil rights, feminist, queer, labor, and Black press graphics expand the archive",counterpublic node,REG003,GEO025,1900,,20th c.-present,HN012; HN013,RM017,community archives; newspapers; zine archives,high,launch_scope,Counterpublic and community sources are launch-structural.,,,,,,,
REN013,"Canadian identity, public information, and cultural design contexts",public/cultural node,REG003,GEO026,1950,1999,c.1950s-1990s,HN010; HN011,RM018,national archives; museums; design centers,medium,launch_scope,Separates Canadian design history from U.S. frameworks.,,,,,,,
REN014,Mexican revolutionary/post-revolutionary print and Olympic identity routes,political/systems node,REG004,GEO027,1920,1968,c.1920-1968,HN009; HN010; HN011; HN012,RM019,national libraries; Olympic archives; poster collections,medium-high,launch_scope,"Important crossroad for print, national identity, and systems design.",,,,,,,
REN015,"Cuban film, revolutionary, and solidarity poster production",poster/political node,REG004,GEO029,1959,1999,c.1959-1990s,HN009; HN012; HN013,RM020,poster archives; film institutes,high,launch_scope,Rights-sensitive and often internationally circulated.,,,,,,,
REN016,"Brazilian concrete/modernist graphics link typography, visual poetry, and identity",modernist/typographic node,REG004,GEO030,1950,1989,c.1950s-1980s,HN010; HN011; HN013,RM021,museum collections; periodicals,medium,launch_scope,Important non-Euro-American modernist route.,,,,,,,
REN017,"Latin American anti-dictatorship, exile, and solidarity graphics",counterpublic/transnational node,REG004,GEO028,1960,1990,c.1960s-1990s,HN009; HN012,RM022,political archives; community collections,high,launch_scope,Separate local production from exile/international solidarity circulation.,,,,,,,
REN018,"Japanese postwar poster, corporate, packaging, and multiscript design",commercial/typographic node,REG005,GEO036,1945,1999,postwar-1990s,HN010; HN011; HN014,RM023; RM024,design archives; museum collections; trade journals,high,launch_scope,"Japan must be a core structure, not a case study.",,,,,,,
REN019,"Japanese digital, game, interface, and platform visual culture",digital node,REG005,GEO036,1980,,c.1980s-present,HN014; HN015,RM025,web archives; software archives; company documentation,very high,launch_scope,Requires born-digital capture rules.,,,,,,,
REN020,Hangul typography and Korean print modernization,typographic node,REG006,GEO037,1900,1989,20th c.,HN005; HN014,RM026,national libraries; typography archives,medium-high,launch_scope,Script-specific design history must be first-class.,,,,,,,
REN021,"South Korean corporate, publishing, protest, and platform graphics",commercial/digital node,REG006,GEO038,1960,,c.1960s-present,HN011; HN012; HN015,RM027,design archives; web archives; community archives,high,launch_scope,Connects print modernization to platform visual culture.,,,,,,,
REN022,Republican Shanghai commercial print and magazine culture,commercial/periodical node,REG008,GEO040,1912,1949,1912-1949,HN005; HN007,RM028,periodicals; libraries; poster collections,high,launch_scope,Core for Chinese modern graphic design beyond propaganda.,,,,,,,
REN023,"PRC socialist visual communication, public campaigns, and propaganda",state communication node,REG008,GEO040,1949,1978,1949-1978,HN009,RM029,poster collections; newspapers; state publications,high,launch_scope,Rights and political context must be explicit.,,,,,,,
REN024,"Chinese reform-era commercial design, design education, and brand systems",commercial/professional node,REG008,GEO040,1978,2010,c.1978-2010,HN011; HN014,RM030,design annuals; periodicals; company records,high,launch_scope,Connects market reform to graphic design professionalization.,,,,,,,
REN025,"Chinese platform-native interface, social, and algorithmic visual communication",platform node,REG008,GEO040,2010,,c.2010s-present,HN015,RM031,web archives; app captures; source links,very high,launch_scope,Metadata-first indexing; avoid copying platform content.,,,,,,,
REN026,"Hong Kong bilingual film, advertising, and protest graphic cultures",bilingual/local media node,REG009,GEO041,1950,,c.1950s-present,HN011; HN012; HN013; HN015,RM032; RM033,film archives; university archives; community/web archives,very high,launch_scope,Local context is not reducible to China/UK frameworks.,,,,,,,
REN027,"Taiwan postwar, democratization, and contemporary graphic design",publishing/political/digital node,REG010,GEO042,1945,,1945-present,HN009; HN012; HN014; HN015,RM034; RM035,national libraries; periodicals; web archives,high,launch_scope,"Requires Japanese colonial, postwar, and contemporary layers.",,,,,,,
REN028,"Southeast Asian colonial print, independence, and multilingual public graphics",regional print/state node,REG011,GEO043,1900,,20th c.-present,HN005; HN009; HN012; HN015,RM036; RM037; RM038; RM039; RM040,national libraries; colonial archives; community archives,high,launch_scope,This node exists to prevent Southeast Asia from being a later add-on.,,,,,,,
