metric,value
records_captured,300
distinct_active_source_names,276
target_rows,5000
target_met,false
query_failures,13
year_2026_count,8
year_2026_rate,2.67
period:2000_2026,136
period:pre_1940,71
period:1970_2000,57
period:1940_1970,36
macro:Middle East and North Africa,68
macro:Latin America,65
macro:Oceania,48
macro:Southeast Asia,32
macro:South Asia,31
macro:Africa,22
macro:Eastern Europe,17
macro:East Asia,15
macro:Central Asia,2
object_family:label_packaging,78
object_family:typography_identity,55
object_family:book_cover,40
object_family:brochure_pamphlet,31
object_family:advertising_trade,30
object_family:magazine_cover,21
object_family:poster,18
object_family:film_poster,12
object_family:postage_stamp,9
object_family:political_poster,5
object_family:travel_poster,1
country:Middle East and North Africa / Turkey,52
country:Oceania / Pacific / Aotearoa New Zealand,40
country:South Asia / India,24
country:Latin America / Mexico,14
country:Southeast Asia / Indonesia,14
country:Latin America / Caribbean / Uruguay,12
country:East Asia / China,11
country:Latin America / Caribbean / Venezuela,11
country:Latin America / Caribbean / Peru,9
country:Southeast Asia / Philippines,9
country:Oceania / Pacific / Papua New Guinea,8
country:Middle East and North Africa / Iran,7
country:Latin America / Caribbean / Guatemala,5
country:Middle East and North Africa / Palestine,4
country:Latin America / Brazil,4
country:Eastern Europe / Caucasus / Ukraine,4
country:South Asia / Nepal,4
country:Latin America / Caribbean / Dominican Republic,3
country:Latin America / Caribbean / Puerto Rico,3
country:Africa / Angola,3
country:Southeast Asia / Malaysia,3
country:Africa / Tanzania,3
country:Africa / Namibia,3
country:Africa / Nigeria,3
country:Africa / Uganda,3
country:Eastern Europe / Caucasus / Lithuania,2
country:East Asia / Korea,2
country:Eastern Europe / Caucasus / Romania,2
country:Southeast Asia / Vietnam,2
country:Eastern Europe / Caucasus / Bulgaria,2
country:Africa / South Africa,2
country:Eastern Europe / Caucasus / Croatia,2
country:South Asia / Bangladesh,2
country:Central Asia / Kazakhstan,1
country:Middle East and North Africa / Egypt,1
country:Southeast Asia / Cambodia,1
country:East Asia / Taiwan,1
country:Africa / Mozambique,1
country:Latin America / Caribbean / Trinidad and Tobago,1
country:Middle East and North Africa / Jordan,1
reject:base_filter,16626
reject:duplicate,358
