metric,value,count,notes
candidate_sources_from_wikidata,all,2600,New candidate official source sites after existing-source dedupe.
successful_new_sources_available,all,1024,Official source URLs that returned successful source metadata.
successful_new_sources_selected,all,500,Balanced non-mainstream source successes written to the registry.
macro_region_distribution,Africa,92,Selected successful source registry rows.
macro_region_distribution,Latin America / Caribbean,91,Selected successful source registry rows.
macro_region_distribution,MENA,90,Selected successful source registry rows.
macro_region_distribution,Southeast Asia,80,Selected successful source registry rows.
macro_region_distribution,Eastern Europe / Caucasus,70,Selected successful source registry rows.
macro_region_distribution,South Asia,44,Selected successful source registry rows.
macro_region_distribution,Central Asia,22,Selected successful source registry rows.
macro_region_distribution,East Asia,10,Selected successful source registry rows.
macro_region_distribution,Oceania / Indigenous,1,Selected successful source registry rows.
source_class_distribution,museum,282,Selected successful source registry rows.
source_class_distribution,library,143,Selected successful source registry rows.
source_class_distribution,cultural center,37,Selected successful source registry rows.
source_class_distribution,archives,21,Selected successful source registry rows.
source_class_distribution,art gallery,17,Selected successful source registry rows.
protocol_distribution,(none detected),143,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST,82,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST,40,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;PDF,26,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD,23,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App,22,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom,20,Detected protocol hints only; not rights clearance.
protocol_distribution,PDF,20,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF,12,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD,11,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App,11,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App,10,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;PDF,8,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST,8,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;PDF,6,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;PDF,5,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;PDF,5,Detected protocol hints only; not rights clearance.
protocol_distribution,Static JS App;PDF,4,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;Static JS App,4,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;PDF,4,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;WordPress REST,4,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF,3,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST,3,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD,3,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App,3,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;Static JS App,3,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;Static JS App,2,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom,2,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;WordPress REST;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,WordPress REST;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;Static JS App,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,JSON-LD;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,Omeka;RSS/Atom;JSON-LD;WordPress REST,1,Detected protocol hints only; not rights clearance.
protocol_distribution,RSS/Atom;JSON-LD;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,DSpace;RSS/Atom;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;WordPress REST;PDF,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;JSON-LD;WordPress REST,1,Detected protocol hints only; not rights clearance.
protocol_distribution,IIIF;RSS/Atom;JSON-LD;Static JS App;PDF,1,Detected protocol hints only; not rights clearance.
next_item_capture_priority,P1 item/source adapter,275,Internal triage for later item/image capture.
next_item_capture_priority,P1 manual item capture,113,Internal triage for later item/image capture.
next_item_capture_priority,P2 source enrichment,76,Internal triage for later item/image capture.
next_item_capture_priority,P0 item/image adapter,36,Internal triage for later item/image capture.
