metric,value,notes
scope,non_mutating_research_packet_structure_requirements,"No rebuild, role override, image download, or rights/image-state change."
packet_requirement_rows,2088,Cluster-level packet structure requirements.
reading_note_requirement_rows,2088,Curated reading-note requirement rows.
packet_scale:single_or_micro,886,Packet scale distribution.
packet_scale:small,766,Packet scale distribution.
packet_scale:medium,245,Packet scale distribution.
packet_scale:large,191,Packet scale distribution.
cover_main:cover_main_optional,825,Cover main requirement distribution.
cover_main:cover_main_recommended,699,Cover main requirement distribution.
cover_main:cover_main_required,564,Cover main requirement distribution.
editorial:optional_editorial_page,1099,Editorial page requirement distribution.
editorial:recommended_editorial_page,553,Editorial page requirement distribution.
editorial:mandatory_editorial_page,436,Editorial page requirement distribution.
global_scope_policy:region_specific_or_not_global,1907,Global scope policy distribution.
global_scope_policy:global_host_requires_scope_review,168,Global scope policy distribution.
global_scope_policy:global_scope_manual_review,9,Global scope policy distribution.
global_scope_policy:global_site_acceptable_with_relation_review,4,Global scope policy distribution.
minimum_text_pages_total,6508,Estimated minimum text pages across requirement rows.
