source_expansion_id,source_name,region,source_type,url,access_method,api_iiif_oai_data,likely_record_types,graphic_design_relevance,rights_clarity,stable_identifier_quality,automation_feasibility,default_image_zone,recommended_use,evidence
GSE001,Europeana,Western/Central Europe,Metadata aggregator,https://www.europeana.eu/,API + web,Search/Record APIs,Aggregated museum/library/archive records,"Cross-border discovery; posters, books, magazines, prints",Med,High,High,IMG00,launch,[5]
GSE002,Europeana Search API,Western/Central Europe,API endpoint,https://pro.europeana.eu/page/search,API,Search API,Item/entity metadata,Best as broad discovery and link graph,Med,High,High,IMG00,launch,[5]
GSE003,Gallica,Western/Central Europe,National library portal,https://gallica.bnf.fr/,Web + API,Search/document API + IIIF,"Books, periodicals, posters, prints, illustrated matter","Very strong for print culture, posters, magazines",High,High,High,IMG03,launch,[6]
GSE004,Gallica Document API,Western/Central Europe,API endpoint,https://api.bnf.fr/fr/api-document-de-gallica,API,API + IIIF,"Record metadata, page/image assets",Excellent for structured harvesting of periodicals/graphics,High,High,High,IMG03,launch,[6]
GSE005,Rijksmuseum Collection Online,Western/Central Europe,Museum collection,https://www.rijksmuseum.nl/en/collection,API + web,API; open high-res image program,"Art + design objects, prints, books, posters","Strong for design objects, prints, typography-adjacent artifacts",High,High,High,IMG04,launch,[7]
GSE006,V&A Collections,Western/Central Europe,Museum collection,https://www.vam.ac.uk/collections,API + web,Search API; IIIF infrastructure,"Design objects, posters, textiles, books, ephemera",Core design-history source,Med,High,High,IMG02,launch,[8]
GSE007,Deutsche Digitale Bibliothek,Western/Central Europe,National aggregator,https://www.deutsche-digitale-bibliothek.de/,API + web,REST API,"Multi-institution metadata, images, texts","Very good for posters, museum graphics, periodicals",High,High,High,IMG00,launch,[9]
GSE008,German Newspaper Portal,Western/Central Europe,Newspaper subportal,https://www.deutsche-digitale-bibliothek.de/newspaper,API + web,DDB API,"Newspapers, issues, pages, OCR/full text","Strong for advertising, layout, print culture",High,High,High,IMG02,launch,[10]
GSE009,Archive Portal-D,Western/Central Europe,Archival subportal,https://www.archivportal-d.de/,API + web,DDB-linked,"Archival descriptions, collections","Good contextual layer for institutions, printers, agencies",Med,High,High,IMG00,authority only,[11]
GSE010,Delpher,Western/Central Europe,National library portal,https://www.delpher.nl/,Web + datasets,OAI-PMH + SRU (access-controlled manuals),"Newspapers, magazines, books","Excellent for periodicals, ads, layout, typography history",Med,High,Med,IMG02,launch,[12]
GSE011,Delpher Newspapers dataset,Western/Central Europe,Dataset,https://www.kb.nl/en/research-find/datasets/delpher-newspapers,Dataset + API,OAI-PMH + SRU,Newspapers,High-value ad and printed communication corpus,Med,High,High,IMG02,launch,[13]
GSE012,Delpher Magazines dataset,Western/Central Europe,Dataset,https://www.kb.nl/en/research-find/datasets/delpher-magazines,Dataset,KB dataset,Magazines,Strong for editorial and layout history,Med,High,High,IMG02,launch,[14]
GSE013,bavarikon,Western/Central Europe,Regional aggregator,https://www.bavarikon.de/,Web,Stable object pages; portal partner model,"Museum, archive, library objects","Good for print, graphics, local poster/ephemera trails",Med,Med,Med,IMG02,backup,[15]
GSE014,e-rara,Western/Central Europe,Swiss digital library,https://www.e-rara.ch/,OAI + web,OAI-PMH; image delivery,"Rare books, maps, illustrated material","Excellent for type specimens, illustrated print, book design prehistories",High,High,High,IMG03,launch,[16]
GSE015,e-manuscripta,Western/Central Europe,Swiss digital library,https://www.e-manuscripta.ch/,OAI + IIIF + web,OAI-PMH + IIIF manifests,"Manuscripts, albums, graphic material","Good for design context, sketchbooks, archives",High,High,High,IMG03,launch,[17]
GSE016,Wellcome Collection Catalogue API,Western/Central Europe,Museum/library API,https://developers.wellcomecollection.org/docs/catalogue,API,Catalogue API + IIIF links,"Works, archives, pictures, manuscripts","Strong for posters, printed health graphics, public communication design",High,High,High,IMG03,launch,[18]
GSE017,Wellcome IIIF,Western/Central Europe,Image infrastructure,https://developers.wellcomecollection.org/docs/iiif,IIIF,IIIF Image API,Digitised works and images,Excellent image-service layer once rights pass,High,High,High,IMG04,launch,[19]
GSE018,ETH E-Pics,Western/Central Europe,University image archive,https://e-pics.ethz.ch/,Web,Stable record pages; record-level rights,"Photographs, postcards, institutional images",Useful for Swiss graphic/print and visual culture context,Med,Med,Med,IMG02,backup,[20]
GSE019,ÖNB Digital,Western/Central Europe,National library portal,https://www.onb.ac.at/en/digital-offers,Web,Digital portal,Multi-collection digital objects,"Good for print, image archive, posters, postcards",Med,Med,Med,IMG02,backup,[21]
GSE020,ANNO,Western/Central Europe,Newspaper portal,https://anno.onb.ac.at/,Web,Stable portal pages,Historical newspapers and magazines,Strong for print culture and ads in Central Europe,Med,Med,Med,IMG02,backup,[22]
GSE021,POLONA,Eastern Europe,National library portal,https://polona.pl/,Web,IIIF-oriented practice via labs,"Books, magazines, graphics, posters",Major Polish print and poster corpus,Med,High,High,IMG03,launch,[23]
GSE022,POLONA Labs,Eastern Europe,Labs/docs layer,https://labs.polona.pl/,Web,IIIF + API discussion,Technical and access layer,Helpful for implementation certainty,Med,Med,Med,IMG00,authority only,[24]
GSE023,Szukaj w Archiwach,Eastern Europe,National archives portal,https://www.szukajwarchiwach.gov.pl/,Web,Large scan + description portal,"Archival files, photographs, posters, leaflets","High for institutional, propaganda, poster, leaflet context",Med,Med,Med,IMG02,backup,[25]
GSE024,Czech Digital Library,Eastern Europe,National portal,https://ceskadigitalniknihovna.cz/,Web,Kramerius-based,"Newspapers, books, graphics",Strong for periodicals and print culture,Med,Med,Med,IMG02,launch,[26]
GSE025,Kramerius,Eastern Europe,Open-source digital library platform,https://system-kramerius.cz/en/,OAI + web,OAI-PMH; API ecosystem,"Periodicals, maps, sheet music, prints",Important because many Czech/Slovak portals run on it,Med,High,High,IMG02,launch,[27]
GSE026,dLib.si,Eastern Europe,National digital library,https://www.dlib.si/,OAI + web,OAI-PMH; EDM exposure,"Periodicals, books, images",Strong for Slovene periodical and print studies,Med,High,High,IMG02,launch,[28]
GSE027,DIGAR,Eastern Europe,National digital archive/library,https://www.digar.ee/,Web,Open data note; stable record URLs,"Books, journals, graphics, maps",Useful for Estonian print and poster context,Low-Med,Med,Med,IMG02,backup,[29]
GSE028,Periodika.lv,Eastern Europe,Periodical portal,https://periodika.lv/,Web,Portal pages,"Newspapers, periodicals",Valuable for Baltic print and ad history,Low,Med,Low-Med,IMG01,backup,[30]
GSE029,Slovakiana,Eastern Europe,National cultural portal,https://www.slovakiana.sk/,Web,Record-level URN:NBN pages,"Cultural objects, periodicals, articles",Very useful for object-level rights and identifiers,High,High,Med,IMG02,backup,[31]
GSE030,Arcanum Digitheca,Eastern Europe,Commercial portal,https://adt.arcanum.com/,Web,Search portal,"Newspapers, journals, books","Huge periodical value, but subscription friction",Low,Med,Low,IMG01,avoid,[32]
GSE031,ePaveldas,Eastern Europe,National digital heritage portal,https://www.epaveldas.lt/,Web + downloadable metadata endpoints,RightsStatements/CC markers in records,"Periodicals, images, documents",Good for Baltic print/design history where item rights are exposed,Med-High,Med,Med,IMG03,backup,[33]
GSE032,DPLA,North America,Metadata aggregator,https://dp.la/,API,JSON-LD API; CC0 metadata,Cross-institution records,Excellent discovery layer; not for image hosting,High for metadata; item rights vary,High,High,IMG00,launch,[34]
GSE033,Library of Congress,North America,National library portal,https://www.loc.gov/,API + web,JSON/YAML API,Multi-format library/archive/museum material,"Massive print, poster, book, periodical relevance",Med,High,High,IMG00,launch,[35]
GSE034,LoC Prints & Photographs API,North America,Specialized API,https://www.loc.gov/pictures/api,API,PPOC JSON,"Posters, prints, photographs",Very strong poster/print source,Med,High,High,IMG03,launch,[36]
GSE035,Smithsonian Open Access,North America,Open collection platform,https://www.si.edu/openaccess,API + bulk + web,Open Access API; CC0,Museum/library/archive objects,"Strong design, advertising, print, industrial and cultural history",High,High,High,IMG04,launch,[37]
GSE036,NYPL Digital Collections,North America,Library portal,https://digitalcollections.nypl.org/,Web,Stable platform; IIIF shift,"Prints, photographs, maps, manuscripts, video","Core source for posters, menus, ephemera, magazines",Med,High,High,IMG02,launch,[38]
GSE037,NYPL API,North America,API,https://api.repo.nypl.org/,API,Repository API with rights fields,Capture-level metadata and rights,Excellent metadata-first ingest,High,High,High,IMG02,launch,[39]
GSE038,Cooper Hewitt Collection,North America,Museum collection/API,https://collection.cooperhewitt.org/,API + web + CSV,Public API; CC0 data,"Design objects, wallpapers, posters, type-related objects",One of the best design-specific sources,High for metadata; images mixed,High,High,IMG00,launch,[40]
GSE039,Art Institute of Chicago API,North America,Museum API,https://api.artic.edu/,API,JSON API + IIIF manifests,"Artworks, prints, posters, publications",Strong for poster and print history,High,High,High,IMG04,launch,[41]
GSE040,Getty Museum Collection API,North America,Museum API,https://data.getty.edu/museum/collection/docs/,API,Linked/open collection API; rights fields,"Artworks, holdings metadata",Good for design-adjacent material and linked-data modeling,High,High,High,IMG03,launch,[42]
GSE041,Harvard Art Museums API,North America,Museum API,https://harvardartmuseums.org/collections/api,API,REST API + IIIF manifests,"Objects, exhibitions, people, places","Strong for posters, prints, books, object relations",Med,High,High,IMG02,launch,[43]
GSE042,Yale LUX,North America,Cross-collection linked-data portal,https://lux.collections.yale.edu/,Web + linked open data,Linked Open Data / Linked Art,"Museum, archive, library entities and works",Excellent graph backbone for people/works/institutions relations,High for metadata,High,High,IMG00,launch,[44]
GSE043,Internet Archive Metadata API,North America / Global digital,Repository,https://archive.org/,API + web,MDAPI; public item metadata,"Magazines, books, ephemera, web-born records",Huge periodical and digitized print reservoir; rights highly mixed,Low-Med,High,High,IMG01,backup,[45]
GSE044,The Met Collection API,North America,Museum API,https://metmuseum.github.io/,API,REST JSON; Open Access images,"Artworks, prints, decorative arts",Good for design-adjacent objects and prints,High,High,High,IMG04,backup,[46]
GSE045,National Gallery of Art Open Data,North America,Museum data portal,https://www.nga.gov/artworks/free-images-and-open-access,Web + dataset,Public-domain dataset via GitHub,Artworks and artist records,Good for prints and open-image enrichment,High,High,High,IMG04,backup,[47]
GSE046,Digital Commonwealth API,North America,Regional aggregator,https://www.digitalcommonwealth.org/api,API,API for metadata and image content,"Photos, manuscripts, maps, other heritage objects",Useful backup for local print/ephemera connections,Med,Med,Med,IMG02,backup,[48]
GSE047,BNDigital,Latin America,National library portal,https://bndigital.bn.gov.br/,Web,Portal with rights statement,"Books, images, periodicals, maps",High relevance for Brazilian print culture and visual communication,Med,Med,Med,IMG03,backup,[49]
GSE048,Hemeroteca Digital Brasileira,Latin America,Newspaper portal,https://bndigital.bn.gov.br/hemeroteca-digital/,Web,Portal currently unstable,"Newspapers, magazines",High historical value; fragile current access,Low,Low,Low,IMG01,avoid,[50]
