geo_id,name,parent_geo_id,region_id,geo_type,iso_code,language_scope,script_scope,date_scope,notes
GEO001,Global / transnational,,,transnational_context,,multiple,multiple,all periods,Use for cross-border circulation; must be paired with specific geographies when known.
GEO002,Western and Central Europe,,REG001,macro_region,,multiple European languages,Latin,modern,Parent context for Western/Central European records.
GEO003,United Kingdom,GEO002,REG001,country_context,GB,English; Welsh; Scots Gaelic; others,Latin,modern,"Includes British print, advertising, publishing, punk, and design education contexts."
GEO004,Ireland,GEO002,REG001,country_context,IE,English; Irish,Latin,modern,Track separately from UK contexts.
GEO005,France,GEO002,REG001,country_context,FR,French,Latin,modern,"Important for poster, magazine, avant-garde, state and commercial graphics."
GEO006,Germany,GEO002,REG001,country_context,DE,German,Latin,modern,"Includes reform, Bauhaus, New Typography, Ulm, corporate systems, and publishing."
GEO007,Switzerland,GEO002,REG001,country_context,CH,German; French; Italian; Romansh,Latin,modern,Important for International Typographic Style and information systems.
GEO008,Austria,GEO002,REG001,country_context,AT,German,Latin,modern,Includes Vienna Secession and modern publishing contexts.
GEO009,Netherlands,GEO002,REG001,country_context,NL,Dutch,Latin,modern,"Includes De Stijl, modern publishing, and public information design."
GEO010,Belgium,GEO002,REG001,country_context,BE,Dutch; French; German,Latin,modern,Important for Art Nouveau and poster/print cultures.
GEO011,Italy,GEO002,REG001,country_context,IT,Italian,Latin,modern,"Includes Futurism, Milan systems, publishing, and corporate design."
GEO012,Spain,GEO002,REG001,country_context,ES,Spanish; Catalan; Basque; Galician,Latin,modern,"Includes Catalan modernisme, civil-war graphics, posters, and publishing."
GEO013,Portugal,GEO002,REG001,country_context,PT,Portuguese,Latin,modern,"Includes print, political graphics, publishing, and colonial/postcolonial links."
GEO014,Nordic countries,GEO002,REG001,regional_context,,Danish; Swedish; Norwegian; Finnish; Icelandic; Sami languages,Latin,modern,Use with country-specific rows where known.
GEO015,"Eastern Europe, Balkans, and socialist contexts",,REG002,macro_region,,multiple,Latin; Cyrillic,modern,Parent context for Central/Eastern Europe and socialist/non-aligned design histories.
GEO016,Russia / USSR contexts,GEO015,REG002,historical_context,RU,Russian; Soviet republic languages,Cyrillic; Latin; others,1917-1991; modern,"Use carefully to distinguish Russian, Soviet, and republic-specific contexts."
GEO017,Ukraine,GEO015,REG002,country_context,UA,Ukrainian; Russian; others,Cyrillic; Latin,modern,Do not collapse into USSR/Russia.
GEO018,Poland,GEO015,REG002,country_context,PL,Polish,Latin,modern,"Important for poster school, publishing, and post-socialist design."
GEO019,Czech and Slovak contexts,GEO015,REG002,regional_context,,Czech; Slovak,Latin,modern,"Includes Czechoslovak design, typography, posters, and publishing."
GEO020,Hungary,GEO015,REG002,country_context,HU,Hungarian,Latin,modern,"Includes avant-garde, poster, and socialist-era graphic design."
GEO021,Romania,GEO015,REG002,country_context,RO,Romanian,Latin,modern,"Important for poster, publishing, and state design contexts."
GEO022,Bulgaria,GEO015,REG002,country_context,BG,Bulgarian,Cyrillic,modern,Important for socialist graphics and posters.
GEO023,Former Yugoslav contexts,GEO015,REG002,historical_context,,Serbo-Croatian; Slovenian; Macedonian; others,Latin; Cyrillic,modern,"Includes non-aligned socialist design, tourism graphics, and poster cultures."
GEO024,North America,,REG003,macro_region,,English; French; Spanish; Indigenous languages,Latin; Indigenous scripts,modern,"Parent context for U.S., Canada, Mexico, and Indigenous/transborder histories."
GEO025,United States,GEO024,REG003,country_context,US,English; Spanish; Indigenous languages; others,Latin; Indigenous scripts,modern,"Advertising, corporate identity, editorial, protest, digital, and community archives."
GEO026,Canada,GEO024,REG003,country_context,CA,English; French; Indigenous languages,Latin; Indigenous scripts,modern,Track separately from U.S. design history.
GEO027,Mexico,GEO024,REG004,country_context,MX,Spanish; Indigenous languages,Latin; Indigenous scripts,modern,"Bridge North American and Latin American histories; posters, print, publishing, Olympics identity."
GEO028,Latin America and the Caribbean,,REG004,macro_region,,Spanish; Portuguese; French; English; Indigenous languages; creoles,Latin; Indigenous scripts,modern,Parent context; must be decomposed by country/region when possible.
GEO029,Cuba,GEO028,REG004,country_context,CU,Spanish,Latin,modern,"Political posters, film posters, solidarity graphics, publishing."
GEO030,Brazil,GEO028,REG004,country_context,BR,Portuguese; Indigenous languages,Latin; Indigenous scripts,modern,"Modernism, concrete art/design, typography, editorial, identity, digital culture."
GEO031,Argentina,GEO028,REG004,country_context,AR,Spanish,Latin,modern,"Publishing, posters, modernism, political graphics, design education."
GEO032,Chile,GEO028,REG004,country_context,CL,Spanish; Indigenous languages,Latin; Indigenous scripts,modern,"Political posters, publishing, socialist/solidarity graphics, contemporary design."
GEO033,Colombia and Andean contexts,GEO028,REG004,regional_context,,Spanish; Indigenous languages,Latin; Indigenous scripts,modern,"Use for Colombia, Peru, Ecuador, Bolivia, and related Andean source discovery."
GEO034,Caribbean contexts,GEO028,REG004,regional_context,,Spanish; English; French; Dutch; creoles,Latin,modern,Supports island-specific and diaspora visual communication.
GEO035,East Asia,,REG007,macro_region,,Chinese; Japanese; Korean; others,Han; Kana; Hangul; Latin,modern,Parent context only; avoid flattening.
GEO036,Japan,GEO035,REG005,country_context,JP,Japanese; English,Kanji; Hiragana; Katakana; Latin,modern,"Posters, magazines, typography, corporate identity, packaging, interface/game/platform cultures."
GEO037,Korean Peninsula,GEO035,REG006,regional_context,,Korean,Hangul; Hanja; Latin,modern,Use when source scope predates or crosses North/South Korean division.
GEO038,South Korea,GEO037,REG006,country_context,KR,Korean; English,Hangul; Hanja; Latin,modern,"Hangul typography, print, corporate identity, political graphics, digital platforms."
GEO039,North Korea,GEO037,REG006,country_context,KP,Korean,Hangul; Hanja,modern,State visual communication and posters; rights/source access constraints are high.
GEO040,Mainland China,GEO035,REG008,country_context,CN,Chinese; minority languages; English,Simplified Chinese; Traditional Chinese historical; Latin; others,modern,"Late Qing print, Republican Shanghai, socialist design, reform-era branding, platform culture."
GEO041,Hong Kong,GEO035,REG009,city/territory_context,HK,Chinese; Cantonese; English,Traditional Chinese; Latin,modern,"Bilingual typography, film/poster graphics, publishing, advertising, protest graphics."
GEO042,Taiwan,GEO035,REG010,country/territory_context,TW,Chinese; Taiwanese Hokkien; Japanese historical; English,Traditional Chinese; Kana historical; Latin,modern,"Japanese colonial, postwar, democratization, publishing, identity, digital culture."
GEO043,Southeast Asia,,REG011,macro_region,,multiple,Latin; Thai; Khmer; Burmese; Han; Arabic-derived scripts,modern,Parent context; must be decomposed country by country.
GEO044,Indonesia,GEO043,REG011,country_context,ID,Indonesian; regional languages; Dutch historical,Latin; Javanese; others,modern,"Colonial print, independence graphics, advertising, contemporary digital."
GEO045,Malaysia and Singapore,GEO043,REG011,regional_context,,Malay; English; Chinese; Tamil,Latin; Han; Tamil; Arabic-derived Jawi,modern,"Multilingual typography, advertising, publishing, state campaigns."
GEO046,Thailand,GEO043,REG011,country_context,TH,Thai; English,Thai; Latin,modern,"Thai typography, advertising, posters, publishing, digital culture."
GEO047,Vietnam,GEO043,REG011,country_context,VN,Vietnamese; French; Chinese historical,Latin; Han/Nom historical,modern,"Colonial print, propaganda, publishing, poster culture."
GEO048,Philippines,GEO043,REG011,country_context,PH,Filipino; English; Spanish historical; regional languages,Latin; Baybayin revival contexts,modern,"Colonial print, advertising, political graphics, popular media."
GEO049,Mainland Southeast Asia contexts,GEO043,REG011,regional_context,,Khmer; Burmese; Lao; English; French,Khmer; Burmese; Lao; Latin,modern,"Cambodia, Myanmar, Laos; under-digitized sources need explicit tracking."
GEO050,South Asia,,REG012,macro_region,,multiple South Asian languages; English,Devanagari; Bengali; Perso-Arabic; Tamil; Telugu; Malayalam; Sinhala; Latin; others,modern,Parent context for multilingual type and print histories.
GEO051,India,GEO050,REG012,country_context,IN,Hindi; Bengali; Tamil; Telugu; Malayalam; Marathi; English; others,multiple Indic scripts; Latin,modern,"Publishing, film graphics, political posters, state design, type design, digital."
GEO052,Pakistan,GEO050,REG012,country_context,PK,Urdu; English; Punjabi; Sindhi; Pashto; others,Perso-Arabic; Latin,modern,"Urdu typography, publishing, posters, state and commercial graphics."
GEO053,Bangladesh,GEO050,REG012,country_context,BD,Bengali; English,Bengali; Latin,modern,"Language movement visual culture, publishing, posters, typography."
GEO054,Sri Lanka,GEO050,REG012,country_context,LK,Sinhala; Tamil; English,Sinhala; Tamil; Latin,modern,"Multilingual state, publishing, poster, and commercial print contexts."
GEO055,Middle East and North Africa,,REG013,macro_region,,Arabic; Persian; Hebrew; Turkish; French; English; others,Arabic; Hebrew; Latin,modern,Parent context; requires right-to-left support later.
GEO056,Egypt,GEO055,REG013,country_context,EG,Arabic; English; French historical,Arabic; Latin,modern,"Publishing, film posters, political graphics, Arabic typography."
GEO057,Iran,GEO055,REG013,country_context,IR,Persian; Azerbaijani; Kurdish; others,Arabic-derived Persian; Latin,modern,"Persian typography, revolutionary posters, publishing, contemporary design."
GEO058,Turkey,GEO055,REG013,country_context,TR,Turkish; Kurdish; others,Latin; Arabic historical,modern,"Script reform, publishing, state modernization, poster and identity design."
GEO059,Levant contexts,GEO055,REG013,regional_context,,Arabic; Hebrew; French; English; Armenian; others,Arabic; Hebrew; Latin; Armenian,modern,"Lebanon, Palestine, Israel, Syria, Jordan; political, publishing, and multilingual typography."
GEO060,Maghreb contexts,GEO055,REG013,regional_context,,Arabic; French; Tamazight; others,Arabic; Latin; Tifinagh,modern,"Morocco, Algeria, Tunisia; postcolonial print, posters, publishing."
GEO061,Africa,,REG014,macro_region,,multiple,Latin; Arabic; Ethiopic; others,modern,Parent context; avoid continent-only categorization.
GEO062,South Africa,GEO061,REG014,country_context,ZA,English; Afrikaans; Zulu; Xhosa; others,Latin; others,modern,"Anti-apartheid graphics, publishing, advertising, contemporary design."
GEO063,Nigeria,GEO061,REG014,country_context,NG,English; Yoruba; Hausa; Igbo; others,Latin; Arabic-derived Ajami; others,modern,"Publishing, advertising, film/Nollywood graphics, digital culture."
GEO064,Ghana,GEO061,REG014,country_context,GH,English; Akan; Ewe; others,Latin; others,modern,"Independence-era graphics, publishing, sign painting, contemporary design."
