first_target_id,target_number,scope_cell_id,target_label,source_name,source_url_or_search_path,record_family,region,date_text,creator_or_institution,why_selected,expected_image_zone,rights_risk,target_status,manual_rights_review_required,source_terms_review_required,required_citation,fallback_target,ingest_order,notes
FIT001,1,C01,Program of the State Bauhaus in Weimar,Harvard Art Museums,https://harvardartmuseums.org/art/223124,museum object,Germany / US holding,1919,Lyonel Feininger; Walter Gropius,Founding manifesto object record for Bauhaus source/authority linkage,IMG00,High,exact_record,true,false,Harvard object record,FIT002,3,Keep link-only unless permissions are reviewed
FIT002,2,C01,Preliminary design for the Program of the State Bauhaus in Weimar,Harvard Art Museums,https://harvardartmuseums.org/art/219959,museum object,Germany / US holding,1919,Lyonel Feininger,Variant-state relation and pre-publication object logic,IMG00,High,exact_record,true,false,Harvard object record with rights note,FIT001,3,Keep link-only unless permissions are reviewed
FIT003,3,C01,Walter Gropius authority record,Getty ULAN,https://www.getty.edu/vow/ULANFullDisplay?subjectid=500028112,authority record,Germany / US,1883-1969,Walter Gropius,Authority-only normalization target,IMG04,Low,exact_record,false,false,Getty ULAN person record,Bauhaus authority cluster,1,
FIT004,4,C01,Bauhaus founding chronology entry,Harvard Art Museums,https://harvardartmuseums.org/tour/325/slide/6338,institutional page,Germany / US exposition,1919,Harvard Art Museums; Bauhaus,Event/institution anchor for founding context,IMG04,Low,exact_record,false,false,Harvard chronology entry,The Bauhaus and Harvard tour,1,
FIT005,5,C02,Wizyta Starszej Pani,MoMA,https://www.moma.org/collection/works/8726,museum object,Poland / US holding,1958,Jan Lenica,Polish Poster School object and title-translation test,IMG00,High,exact_record,true,false,MoMA collection object record,Another Jan Lenica or Henryk Tomaszewski poster,3,
FIT006,6,C02,Moda Polska,MoMA,https://www.moma.org/collection/works/6300,museum object,Poland / US holding,1965,Roman Cieslewicz,Corporate/fashion poster branch within Polish poster practice,IMG00,High,exact_record,true,false,MoMA collection object record,Another Roman Cieslewicz poster,3,
FIT007,7,C03,IBM Design Program history page,IBM,https://www.ibm.com/history/design-program,institutional page,United States,1956 onward,IBM; Eliot Noyes,Institutional record for corporate design system,IMG04,Low,exact_record,false,false,IBM corporate history page,IBM design archive landing page,1,
FIT008,8,C03,The IBM logo history page,IBM,https://www.ibm.com/history/logo,institutional page,United States,1947 onward,IBM; Paul Rand,Logo-system record and institutional identity normalization,IMG04,Low,exact_record,false,false,IBM logo history page,IBM brand history page,1,
FIT009,9,C03,IBM Latin America: Vision; Mission; Goals,MoMA,https://www.moma.org/collection/works/290152,museum object,United States / Latin America,1990,Paul Rand,Corporate identity poster/public-communication object,IMG00,High,exact_record,true,false,MoMA collection object record,Another Paul Rand IBM poster,3,
FIT010,10,C03,Executary Transcribing Machine model 272,MoMA,https://www.moma.org/collection/works/3346,museum object,United States,1966,Eliot Noyes and Associates,Corporate design system beyond graphic objects,IMG00,High,exact_record,true,false,MoMA collection object record,Another IBM-designed machine/object,3,
FIT011,11,C04,Exposicion Litografias Taller de Grafica Popular,MoMA,https://www.moma.org/collection/works/7938,museum object,Mexico,c. 1940s,Francisco Dosamantes,Collective/poster record for TGP workshop context,IMG00,High,exact_record,true,false,MoMA collection object record,Pancho Mora or other TGP poster,3,
FIT012,12,C04,Dia internacional de la mujer,Library of Congress,https://www.loc.gov/pictures/item/2004665907/,poster archive item,Mexico / US holding,1960,Mercedes Quevedo; Taller de Grafica Popular,Metadata-rich poster with creator collective date subjects and summary,IMG00,High,exact_record,true,false,Library of Congress item record,Another LOC TGP poster record,3,Rights not evaluated by source
FIT013,13,C04,El sinarquismo,Getty CONA,https://www.getty.edu/cona/CONAFullSubject.aspx?subid=700000944,poster archive item,Mexico / US holding,1960,Arturo Garcia Bustos; Taller de Grafica Popular,Component-level record linking work publisher subject and holding institution,IMG00,High,exact_record,true,false,Getty CONA full record,Another Getty TGP component record,3,
FIT014,14,C04,El Nazismo 9a conferencia: Razas de 1a y de 2a classe,MoMA,https://www.moma.org/collection/works/72588,museum object,Mexico,1938,Angel Bracho; Taller de Grafica Popular,Anti-fascist political print context within TGP,IMG00,High,exact_record,true,false,MoMA collection object record,FIT013,3,
FIT015,15,C05,Contra la dictadura pintaremos hasta el cielo,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/ > Archivo de la Grafica Chilena > exact title search,poster archive item,Chile,1980s? verify,Brigada Ramona Parra? verify,Deterministic national archive search path for BRP poster,IMG00,High,search_path_only,true,true,BND search result showing BRP poster presence,FIT016,5,Verify exact item page date and attribution
FIT016,16,C05,Contra el fraude 7 de abril,Biblioteca Nacional Digital de Chile,https://www.bibliotecanacionaldigital.gob.cl/ > Archivo de la Grafica Chilena > exact title search,poster archive item,Chile,1980s? verify,Brigada Ramona Parra? verify,Second BRP search path testing collective/implicit authorship,IMG00,High,search_path_only,true,true,BND result list,FIT015,5,Verify creator versus subject relation
FIT017,17,C05,1971 BRP/MAC exhibition poster referenced by MMDH,Museo de la Memoria y los Derechos Humanos,site:mmdh.cl Mono Gonzalez Brigada Ramona Parra 1971 Museo de Arte Contemporaneo,source-only citation record,Chile,1971,Alejandro Mono Gonzalez; BRP; MAC Santiago,Contextual source path for poster not yet stable as object page,IMG00,High,search_path_only,true,true,MMDH article noting the 1971 poster,BRP mural-related record in MMDH,5,Find stable object or collection record before ingest
FIT018,18,C06,世界デザイン会議議事録,NDL Search,https://ndlsearch.ndl.go.jp/en/books/R100000002-I000001036466,book/catalogue/text,Japan,1960,World Design Conference Japan Organizing Committee,Conference proceedings anchor for Japanese professionalization,IMG04,Low,exact_record,false,false,NDL Search record,FIT019,1,
FIT019,19,C06,世界デザイン会議報告,NDL Search,https://ndlsearch.ndl.go.jp/ > query 世界デザイン会議報告 > books > 1960,book/catalogue/text,Japan,1960,World Design Conference Japan Organizing Committee,Companion report target for conference-document clustering,IMG04,Low,search_path_only,false,true,NDL related-item note,Conference program or bulletin in NDL,1,Capture direct persistent URL before ingest
FIT020,20,C06,戦後デザイン運動の原点 デザインコミッティーの人々とその軌跡,museum.or.jp,https://www.museum.or.jp/event/104047,event page,Japan,2020 exhibition on 1950s-1960s history,Japanese Design Committee; exhibition organizers,Event record linking Design Committee and World Design Conference context,IMG04,Low,exact_record,false,false,museum.or.jp event page,Related exhibition report page,1,
FIT021,21,C06,JAGDA history page,JAGDA,https://www.jagda.or.jp/about/org/history/,institutional page,Japan,1978 onward,JAGDA,Organizational professionalization and institutional authority page,IMG04,Low,exact_record,false,false,JAGDA history page,Kamekura award biography page,1,
FIT022,22,C07,上海漫畫 1928.05.19 第五期,Internet Archive,https://archive.org/details/shmh-1928.05.19,periodical issue,China / web holding,1928-05-19,上海漫畫,Issue-level parent for periodical chain,IMG00,Medium-high,exact_record,true,false,Internet Archive issue page,Issue 17 or issue 31,4,
FIT023,23,C07,上海漫畫 issue 5 interior text page,Internet Archive,https://archive.org/details/shmh-1928.05.19 > BookReader/PDF page 7,periodical page,China / web holding,1928-05-19,上海漫畫,Child page target for issue to page/article relation,IMG00,Medium-high,search_path_only,true,false,Issue-level source record,Page 6 or page 2 text page,4,Verify page role manually
FIT024,24,C07,上海漫畫 issue 5 display-ad page,Internet Archive,https://archive.org/details/shmh-1928.05.19 > BookReader/PDF page 8,periodical page,China / web holding,1928-05-19,上海漫畫,Child page target for issue to ad-page relation,IMG00,Medium-high,search_path_only,true,false,Issue-level source record,Page 4 ad-heavy page,4,Verify ad-page classification manually
FIT025,25,C07,Calendar poster Shanghai 上海日曆海報,University of Hong Kong Libraries,https://digitalrepository.lib.hku.hk/catalog/x346kb50k,poster archive item,China / Hong Kong holding,early 20th c.,Xie Zhiguang,Strong yuefenpai record with bilingual title and artist attribution,IMG00,High,exact_record,true,false,HKU digital repository record,British Museum yuefenpai record,3,
FIT026,26,C08,한국민중판화모음전 포스터,OpenArchive,https://archives.kdemo.or.kr/isad/view/01015877,poster archive item,South Korea,date unknown; verify,OpenArchive donor record,Minjung print-culture poster anchor,IMG00,High,exact_record,true,false,OpenArchive item record,5월 광주 poster target,3,
FIT027,27,C08,5.18 추모사진전 오월 그날이 다시 오면,OpenArchive,https://archives.kdemo.or.kr/isad/view/00976552,poster archive item,South Korea,1987-05-16,천주교 광주대교구 정의평화위원회,Kwangju commemorative poster with producer donor date and description,IMG00,High,exact_record,true,false,OpenArchive item record,광주의거자료집2 record,3,
FIT028,28,C08,홍성담 oral archive page,OpenArchive,https://archives.kdemo.or.kr/oral-archives/view/1080,authority record,South Korea,record contemporary / activity 1980s onward,홍성담,Person authority cluster for print poster banner and May-series production,IMG04,Low,exact_record,false,false,OpenArchive oral archive entry,김윤수 oral archive,1,
FIT029,29,C09,NO TRESPASSING SIGN IN FOUR LANGUAGES,National Archives of Singapore,https://www.nas.gov.sg/archivesonline/photographs/record-details/8632b1ef-1162-11e3-83d5-0050568939ad,poster archive item,Singapore,1983-05-01,Ronni Pinsler Collection / NAS,Viewer-only multilingual sign metadata test,IMG02,Medium,exact_record,true,false,NAS record with access and reproduction terms,FIT030,2,Viewing permitted; reproduction requires permission
FIT030,30,C09,DANGER KEEP OUT SIGN IN FOUR LANGUAGES,National Archives of Singapore,https://www.nas.gov.sg/archivesonline/photographs/record-details/85068ac5-1162-11e3-83d5-0050568939ad,poster archive item,Singapore,1980,Ronni Pinsler Collection / NAS,Second viewer-only multilingual sign case,IMG02,Medium,exact_record,true,false,NAS record with access and reproduction terms,FIT029,2,Viewing permitted; reproduction requires permission
FIT031,31,C09,STAMP DESIGN COMMITTEE file,National Archives of Singapore,https://www.nas.gov.sg/archivesonline/government_records/record-details/9933da1b-1159-11e3-83d5-0050568939ad,institutional page,Singapore,1960s-1970s file context,Stamp Design Committee,Publicity/logotype system evidence and four-language poster note,IMG04,Low,exact_record,false,false,NAS government record,Crime Prevention poster competition file,1,
FIT032,32,C10,History of NID,National Institute of Design,https://www.nid.edu/about/history-of-nid,institutional page,India,1961 onward,National Institute of Design,Institutional-history anchor for postcolonial design education,IMG04,Low,exact_record,false,false,NID history page,NID home page,1,
FIT033,33,C10,The India Report,National Institute of Design,https://www.nid.edu/Userfiles/Eames_India_Report_NID.pdf,book/catalogue/text,India,1958 report / current NID-hosted PDF,Charles and Ray Eames; Government of India,Foundational design-in-development text node,IMG04,Low,exact_record,false,false,Eames India Report,Annual report excerpt on social communication,1,
FIT034,34,C10,Vaani Arora Young Designers 07 project,National Institute of Design,https://www.nid.edu/youngdesigners07/fvc1.html,source-only citation record,India,2007,Vaani Arora,Development communication project example used by UNFPA India,IMG00,Medium,exact_record,true,true,Young Designers project page,FVC programme page,5,Confirm project image/still rights before display
FIT035,35,C11,Morteza Momayez receives Icograda Lifetime Achievement Award,ICOD,https://www.theicod.org/resources/news-archive/morteza-momayez-receives-icograda-lifetime-achievement-award,authority record,Iran,2004 event; designer active earlier,Morteza Momayez; Tehran International Poster Biennial,Authority/event node for Iranian poster design,IMG04,Low,exact_record,false,false,ICOD news archive,Encyclopaedia Iranica Posters in Iran,1,
