path	bytes	sha256	role
00_EXECUTIVE_RECEIPT.md	2816	e0acbc45d3bcec126b809a5a9dd5bab6b756e53bcaf71db5d9172dda94fade87	executive receipt
01_CONTEXT_REHEARSAL_VALIDATION.md	1722	76d57095aee7d68c2ca0f6c865d7d76f26b44384c350ff56731e0ebdf7f2ed1e	Context runtime rehearsal validation
02_GEOGRAPHY_VALIDATION.md	2179	ea581e896b535df99185c0fd3ba21cfc100a90e77f5d1e1936f7c9ead71f363c	geography validation
03_TEMPORAL_VALIDATION.md	1580	552272c149e01be235c5deaf7a06aea12265b3107514594df9c1f2af7ec7c72e	temporal validation
04_GEOMETRY_VALIDATION.md	1544	2bd706bd6474673d63d583b4513808c8350f6432856a5a53baa4f12166f24ca0	geometry validation
05_MAP_FUNCTION_VALIDATION.md	2712	05c1d073ef0ae2a6637d687ac6b94a4c6cb72493b98457054821775e96e77282	map-function validation
06_TEXTURE_BENCHMARK.md	1583	1ba6fc557132296cfb03c495be2e27885d714f4908ea89a7202767137b15c8e7	texture benchmark
07_PERFORMANCE.md	1809	d2a95c41874799b5ecb814af0a1b8dce7d4fb7bd4451962801d1617c4aa335e4	performance validation
08_SECURITY_BOUNDARY.md	2078	0e83a3ac8443ae027f4a85df5cc459e34ddf34aee1eae75378b3e62b00f5d452	security boundary validation
09_CHANGED_FILES.md	7149	1b14dab885e414e02f464eed3cf2f3e634fdf07d44a3b4b7565422434e77ef55	changed-file inventory
raw/context-runtime-rehearsal-summary.json	3335	230eca49057e90882e45eae6771e0929444d95f01ed40bd96752cad32c523d72	final sanitized Context rehearsal summary
raw/spacetime-functional-benchmark-summary.json	1947	19a172bd05da6ef3b1595ebbd22e112598d0ec220c3adc68486d8527821071ca	final sanitized functional benchmark
raw/spacetime-geography-summary.json	1063	d280c27d8fbfd6cc1e4ba8f206dab8a3fa13abc082a681a66bb1f69803e98b10	sanitized geography summary
raw/spacetime-geometry-summary.json	1726	54813bf4488fef27833891af5b3b3f0847045b7efaa5a916fdc42842c6f193f8	sanitized geometry manifest summary
raw/spacetime-gis-benchmark-summary.json	9104	0a11bb45b7d937ea47f3ec0d5683f70ca75fa4c3c346fbd66d3132e245c9fe6e	final sanitized GIS and texture benchmark
raw/spacetime-integration-gates.json	2289	7c847de81ecb24bcfa126f623eed63e0334053f05fcec3242b275b2e8aa5f32b	final integrated gate and bundle receipt
raw/spacetime-projection-summary.json	2536	2addd8b0798afa6f07029f5257ff85dbe51167ccae67863b22edc37b64615a4b	sanitized public projection summary
raw/spacetime-temporal-summary.json	908	6968d6288057441465c8549c9cd1a9f6780cf85c0427db0c8d6674a2da5bc362	sanitized temporal summary
