sha256,byte_size,file_count,paths
008c1766279a2bd286e699075623bf31a6af663cb85a92d19ef8591d32be7d18,65,4,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-schema-hash-final.txt"",""docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-schema-hash.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/schema/fresh-a-schema.sha256"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/schema/fresh-b-schema.sha256""]"
01ac7dbf498e38f38eb1d8fbba6188722f7f56f390e38c04f00b1a183e0974b8,3240896,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/fresh-a-stable-ids.tsv"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/fresh-b-stable-ids.tsv""]"
02657af1434ee983f03fce78ae44b48a204beebc111f4e6868efff2abbf7a147,6921,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O555939.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O555939.json""]"
06aeb240a167d3fe0d6b6a09f89c52af93d1ecae5d32a18d9eecdf0969fcd33b,299853,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/source-mismatch-a.tsv"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/source-mismatch-b.tsv""]"
077abe284f3a1a5c4cf39f427c1de30ec74a741c2ec9c90e25d35c2804c1a2fe,13003,2,"[""data/contemporary_source_scan_probe_1990_2026_v1_raw/CSS0019.html.txt"",""data/global_edge_discovery_probe_v1_raw/GED0021.html.txt""]"
0a5151a2d17423f9f12b5d38877bce354cb45dc50c469937eea5d7012d9f83a9,7816,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O90294.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O90294.json""]"
0b1254704dd3935a26bc5b24ad1ea67cd4220eb7ecbe8932306bad7e60ddca32,180000,2,"[""data/contemporary_source_scan_probe_1990_2026_v1_raw/CSS0043.html.txt"",""data/global_edge_discovery_probe_v1_raw/GED0046.html.txt""]"
0d23c4f7ba7374295e47901664957e9db7c98d34893c93ddb24cc0265ae367b2,930,2,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/reconciliation/reconciliation-summary.json"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/reconciliation/reconciliation-summary.json""]"
0e6b7655b2bc67975af97e9677db79583bea5d7362a3abafbffbc99935fe02ed,2261,2,"[""data/capture_batch_image_ready_1931_1970_raw/met_object_841368.json"",""data/capture_batch_midcentury_1930_1970_raw/met_object_841368.json""]"
0f86f85d0991c5bbe097e0281d915055926e3c4bdab1716e02b37c8ba991654e,52462,2,"[""data/capture_batch_edge_wordpress_1970_2026_raw/another_graphic_product_identity.json"",""data/capture_batch_independent_asia_1990_2026_raw/another_graphic_product.json""]"
11c757bd4cac5a0997edbe23d9ce256036d36830eb435ecbf002389a981aaef0,3481,2,"[""data/capture_batch_image_ready_1931_1970_raw/met_search_poster.json"",""data/capture_batch_midcentury_1930_1970_raw/met_search_poster.json""]"
1439bf75b0f39dfc29ed714f3dba873edc07f19cd4e7a15d384ebae5ba9a1ce8,24110,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/current-leaf/current-leaf-final.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-33e6bed/current-leaf/current-leaf-final.txt""]"
1dadb5f0e0735df4b4b98ad75bf2de0004379ba07d90bc7e0e7baaa7843f592a,79,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/performance/scale-32-fixture.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/performance/scale-32-timed-fixture.txt""]"
1f2814385d55830eb33cecf5118fe1dc4f8eece6354f0fe810246de2ddcadeda,4357,3,"[""data/global_edge_discovery_probe_v1_raw/GED0015.html.txt"",""data/source_candidate_probe_v1_raw/ESC050.html.txt"",""data/source_candidate_probe_v1_raw/SEM062.html.txt""]"
22613862c5b92e7fb607d3a488b6ac17f6c32f61e1739d8d0886e2dbe4f72801,4827,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O1023219.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O1023219.json""]"
27efe9650156e168f40cf833de3fe9b895a4155d03ca80fdfce0ccab5e77ffc2,6368,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O693304.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O693304.json""]"
2c846f73c722411e4acfecd0545fe19f318e98b71dad4c8d2d436f71c15c93ff,4483,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O550920.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O550920.json""]"
2d134caf4e745b90f1c989884bd3f46463c4ae2b49efea35867e7563c4e5d49f,6856,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O590954.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O590954.json""]"
2f14d1de56986aa6b9d66c539dd427652cab6d0aea5c5d218cfb5401b18896d3,6202,2,"[""data/capture_batch_image_ready_1931_1970_raw/vam_object_O578579.json"",""data/capture_batch_midcentury_1930_1970_raw/vam_object_O578579.json""]"
322c26aff112b7eeebf879df604f3e31a8d89713504960bc9e572711101313e6,179707,2,"[""data/contemporary_source_scan_probe_1990_2026_v1_raw/CSS0012.html.txt"",""data/global_edge_discovery_probe_v1_raw/GED0077.html.txt""]"
331a7c5a37d8e913173830ac7a758ec238682a16afd9bc93aefa1573ab3bd513,76445,2,"[""data/contemporary_source_scan_probe_1990_2026_v1_raw/CSS0054.html.txt"",""data/global_edge_discovery_probe_v1_raw/GED0037.html.txt""]"
358726c9a92a66456d177764a64d38796165a3c9138b9c4141e4f550d3ae3503,22526,2,"[""data/capture_batch_gsu_contentdm_image_ready_1830_1970_raw/gsu_civil_rights_visual_material_search_1.json"",""data/capture_batch_gsu_contentdm_image_ready_1830_1970_raw/gsu_civil_rights_visual_material_search_2.json""]"
