path,category,current_runtime_required,current_api_required,current_database_required,current_ci_required,retained_audit_role,decision
scripts/apply_commons_open_source_cleaning_2026_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/apply_first_ingest_scope_seed.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/apply_loc_manual_img03_records_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/assign_capture_batch_cells.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_active_source_success_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_aic_rights_repair_preflight_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_appendix_generation_rules_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_capture_rights_rule_hardening_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_commons_open_source_cleaning_2026_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_contemporary_noise_filter_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_cooperhewitt_rights_repair_preflight_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_gsu_rights_repair_preflight_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_image_release_gate.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_image_rights_repair_queue_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_img_state_contract.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_internet_archive_rights_repair_preflight_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_layered_image_source_metrics_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_loc_manual_img03_apply_postcheck_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_loc_rights_repair_preflight_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
scripts/audit_main_sheet_research_value_v1.py,AUDIT_PROVENANCE_REPRODUCTION,False,False,False,False,True,DOCUMENTED_ALLOWLIST
