branch,tip_sha,tip_tree,local_present,remote,remote_present,remote_divergence,worktree,open_pr,merged_to_main,ancestor_of_release_anchor,unique_commit_count,unique_file_count,recovery_value,decision,archive_tag,deletion_result
chore/v49-phase2b-evidence-repair-20260815,60329e8ec713221bbf42318a4f4c7477e6eb5a72,d01da6d83a3705e2a2a65fbe343617ecde57e930,True,origin/chore/v49-phase2b-evidence-repair-20260815,True,0/0,/private/tmp/graphic_design_archive_v49_phase2b_evidence_repair,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
chore/v49-phase2b-promotion-20260815,11e7b82d27b2774273d2f0d68904632246dabd37,363e611a490dc103ffa79e8eb7157beda57f2a84,True,,False,N/A,/private/tmp/graphic_design_archive_v49_phase2b_promotion,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
chore/v49-repository-hygiene-database-freeze-20260821,3eb26f8333ee6db1f7021c2eab959389a1b297b3,fec75607649b03d1c563f02a29f53e20f8caf3dc,True,,False,N/A,/private/tmp/graphic_design_archive_v49_repository_hygiene,[],False,False,2,2184,current hygiene feature branch,RETAIN_ACTIVE,,NOT_DELETED_SAFETY
codex/v47-data-expansion,f2cf492b480139776ae674d5c26ccfd845e45e45,98561ed33553f5414ee31e5cdc60e4265be2a1d4,True,origin/codex/v47-data-expansion,True,0/0,/private/tmp/modern-gd-v47-data-expansion,[],False,False,5,70,unique or divergent history retained conservatively,KEEP_BLOCKED,,NOT_DELETED_SAFETY
codex/v48-freeze-staging,f2cf492b480139776ae674d5c26ccfd845e45e45,98561ed33553f5414ee31e5cdc60e4265be2a1d4,True,,False,N/A,/private/tmp/modern-gd-v48-freeze-clean,[],False,False,5,70,unique or divergent history retained conservatively,KEEP_BLOCKED,,NOT_DELETED_SAFETY
codex/v48-main-transfer,592c765d0af5bf15b1666784dce784ac8e22624d,63103084e4011db246a30f71c107368cf1d02fd8,True,,False,N/A,/private/tmp/modern-gd-v48-main-transfer,[],True,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
codex/v48-trace-visualization,6b4a60ec11f303a0d1c04a735daf9f2818939c0f,d3e4ffb5b912246978752524cf743d339a032d5c,True,origin/codex/v48-trace-visualization,True,0/0,/private/tmp/modern-gd-v48-trace-visualization,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
codex/v48-trace-visualization-round2,6b4a60ec11f303a0d1c04a735daf9f2818939c0f,d3e4ffb5b912246978752524cf743d339a032d5c,True,,False,N/A,/private/tmp/modern-gd-v48-trace-round2,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
codex/v48-visual-analytics,35969e54fd2fbf9c1e40e0d35d7650c4cac4847c,365428b4e70b40b3ab1afeb9ba240d39afd03bd6,True,origin/codex/v48-visual-analytics,True,0/0,,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
feat/v49-read-platform,6e66186f2626bd10272b3cd408778f2ac091a598,970c56d33895b1a1fea370d6753c9680f0a9ed11,True,origin/feat/v49-read-platform,True,0/0,/private/tmp/graphic_design_archive_v49_read_platform,[],False,True,0,0,tip reachable from immutable v49-data-api-closure-20260821,RETAIN_ANCHORED,v49-data-api-closure-20260821,NOT_DELETED_SAFETY
