query_id	split	category	query	expected_record_ids	old_top10	new_top10	old_rank	new_rank	old_success	new_success	old_count	new_count	old_ms	new_ms	notes
Q001	held_out	exact_title	Nous faisons confiance au Parti Communiste Francais pour l'union populaire et la victoire du programme commun	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999	SURF-LOCTRACE2026R01999	1	1	true	true	1	1	0.398	42.490	none
Q002	tuning	exact_title	[Remember June 25th, work hard to re-construct the country!]	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739	SURF-LOCTRACE2026I6D03759D157739	1	1	true	true	1	1	0.368	45.194	none
Q003	tuning	exact_title	O1167650	SURF-VAM20K-01983	SURF-VAM20K-01983	SURF-VAM20K-01983	1	1	true	true	1	1	0.686	18.727	none
Q004	held_out	exact_title	The Brazilian in The Very merry mariner LCCN2014637100	SURF-CGS2026R0670	SURF-CGS2026R0670	SURF-CGS2026R0670	1	1	true	true	1	1	0.443	29.083	none
Q005	held_out	exact_title	Frohe Festtage und ein weiteres gutes Jahr! ... Der osterreichische Weg	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25	SURF-LOCTRACE2026I79FFABC798DD25	1	1	true	true	1	1	0.469	41.741	none
Q006	tuning	exact_title	O1168631	SURF-VAM20K-00605	SURF-VAM20K-00605	SURF-VAM20K-00605	1	1	true	true	1	1	0.814	18.826	none
Q007	held_out	exact_title	Levi's, The Strongest Thread	SURF-CHWCONTEMP2026V1R0078	SURF-CHWCONTEMP2026V1R0078	SURF-CHWCONTEMP2026V1R0078	1	1	true	true	1	1	0.539	42.011	none
Q008	held_out	exact_title	O1162014	SURF-VAM20K-02878	SURF-VAM20K-02878	SURF-VAM20K-02878	1	1	true	true	1	1	0.683	18.719	none
Q009	tuning	exact_title	Technique of working on small forms	SURF-NMKTRACE2026R00308	SURF-NMKTRACE2026R00308	SURF-NMKTRACE2026R00308	1	1	true	true	1	1	0.534	57.463	none
Q010	held_out	exact_title	O1166981	SURF-VAM20K-01477	SURF-VAM20K-01477	SURF-VAM20K-01477	1	1	true	true	1	1	0.804	18.719	none
Q011	held_out	exact_title	Narod i armiia nepobedimy!	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	SURF-LOCTRACE2026R01574	1	1	true	true	1	1	0.566	43.025	none
Q012	held_out	exact_title	O1164376	SURF-VAM20K-02432	SURF-VAM20K-02432	SURF-VAM20K-02432	1	1	true	true	1	1	0.777	18.550	none
Q013	tuning	exact_title	The Owl and the Pussycat went to see...	SURF-VAM20K-01317	SURF-VAM20K-01317	SURF-VAM20K-01317	1	1	true	true	1	1	0.548	18.116	none
Q014	tuning	exact_title	Peace with honour? There can never be dishonour in peace! : Jim Larkin, 1876-1947	SURF-LOCTRACE2026R00949	SURF-LOCTRACE2026R00949	SURF-LOCTRACE2026R00949	1	1	true	true	1	1	0.462	43.604	none
Q015	held_out	exact_title	It's his oil : So why are 40,000 Scots kids on part-time education?...	SURF-LOCTRACE2026I9C6425222950E8	SURF-LOCTRACE2026I9C6425222950E8	SURF-LOCTRACE2026I9C6425222950E8	1	1	true	true	1	1	0.479	16.254	none
