exception_id	exception_class	source_label	governed_display_label	governed_geography_id	geography_class	mapping_state	mapping_decision	geometry_target_ids	affected_assignment_count	object_coordinate_claim	resolution	rationale	review_status
GEO-EXC-001	NO_POINT_GOVERNANCE	Angers, France	Angers, France	SPTGEO:768960d2a9a1578f1aec5688cef0795b54b1bc0387e43968bfb5af7a08de0145	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		1	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Angers, France has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-002	NO_POINT_GOVERNANCE	Australia / Indigenous	Australia / Indigenous	SPTGEO:6478ebe466d1f7931c6ec1a3f4eda30f8ecabca927714781d2f543c0de9f31e5	broad_region	aggregate_only	AGGREGATE_WITHOUT_POINT		1	none	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Australia / Indigenous is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT
GEO-EXC-003	NO_POINT_GOVERNANCE	Bordeaux, France	Bordeaux, France	SPTGEO:4892a45bd0f99c9bb8d5def621d7d5b06e76b3ee22698d6ee967d6110ca26da5	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		1	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Bordeaux, France has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-004	NO_POINT_GOVERNANCE	Boston, United States	Boston, United States	SPTGEO:a193438dad2d0ba329f70537a2b2ba54cfc0bdae64a6e4b7bd05380a36df0938	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		2	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Boston, United States has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-005	MULTI_GEOMETRY	China / Hong Kong	China / Hong Kong	SPTGEO:38b90fc6afc90269586919bdf81cf0a84109a64b1fabb4efe98b105bf187a824	transnational	mapped	MAP_TO_EXPLICIT_MULTI_GEOMETRY	CHN|HKG	163	none	Explicit multi-geometry world-map aggregate; the combined source label remains visible and is not normalized to one polity.	China / Hong Kong is explicitly represented by the listed pinned geometries; no single-country substitution is made.	REVIEWED_EXPLICIT
GEO-EXC-006	MAP_UNIT	Cook Islands	Cook Islands	SPTGEO:6881e1c18b705e1b91367de42838d3aee9d32ebc2054a1962fd68f282cdc62e4	territory	mapped	MAP_TO_MAP_UNIT	COK	12	none	Mapped to the explicitly reviewed Natural Earth map unit; no object coordinate is asserted.	Cook Islands is an explicitly reviewed territory/map-unit label mapped to its pinned Natural Earth unit.	REVIEWED_EXPLICIT
GEO-EXC-007	NO_POINT_GOVERNANCE	Cuba / transnational	Cuba / transnational	SPTGEO:6fccb8054d254f1ff993c0f884105d432cadfe70b595117d46ac535b0287cbe2	transnational	aggregate_only	AGGREGATE_WITHOUT_POINT		76	none	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Cuba / transnational is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT
GEO-EXC-008	AMBIGUITY_REVIEW	Georgia	Georgia	SPTGEO:cf7b981e9e9790c419db0607e6503bc6c8266539ed91ac169fc9f6c641548b27	country	mapped	MAP_TO_ADMIN0	GEO	2	none	Explicitly reviewed as the country-level controlled region label and mapped to Natural Earth GEO; not inferred as the U.S. state.	Georgia is an explicitly reviewed country-level label mapped to one pinned Natural Earth Admin-0 geometry.	REVIEWED_EXPLICIT
GEO-EXC-009	NO_POINT_GOVERNANCE	Global / transnational	Global / transnational	SPTGEO:eeb9639cd23888a9604e7dd1615f50181e69dbef72fbc0efd02c7ea29ba956a3	broad_region	aggregate_only	AGGREGATE_WITHOUT_POINT		97	none	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Global / transnational is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT
GEO-EXC-010	NO_POINT_GOVERNANCE	Hawaii	Hawaii	SPTGEO:0b8b82d6fcb8ef782591e4305c259e7bd4427e1d29212120a45ccee1040fa5fd	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		1	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Hawaii has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-011	MULTI_GEOMETRY	Israel / Palestine	Israel / Palestine	SPTGEO:b0f75ffbbaec68b620b1a85df45938c1a4d052d5e8ffe6ff97d59c399f4125cb	transnational	mapped	MAP_TO_EXPLICIT_MULTI_GEOMETRY	ISR|PSX	31	none	Explicit multi-geometry world-map aggregate; the combined source label remains visible and is not normalized to one polity.	Israel / Palestine is explicitly represented by the listed pinned geometries; no single-country substitution is made.	REVIEWED_EXPLICIT
GEO-EXC-012	MULTI_GEOMETRY	Korean Peninsula	Korean Peninsula	SPTGEO:f47cc869fdb67249b797b76586ad8ec15bef1fd725ecf97f9b8d42fd3c6f8885	transnational	mapped	MAP_TO_EXPLICIT_MULTI_GEOMETRY	KOR|PRK	13	none	Explicit multi-geometry world-map aggregate; the combined source label remains visible and is not normalized to one polity.	Korean Peninsula is explicitly represented by the listed pinned geometries; no single-country substitution is made.	REVIEWED_EXPLICIT
GEO-EXC-013	MAP_UNIT	New Caledonia	New Caledonia	SPTGEO:f06733e7002b3b8561e6e03d62e85c0ad875ef4409eeef55fb5e8700a81a5327	territory	mapped	MAP_TO_MAP_UNIT	NCL	9	none	Mapped to the explicitly reviewed Natural Earth map unit; no object coordinate is asserted.	New Caledonia is an explicitly reviewed territory/map-unit label mapped to its pinned Natural Earth unit.	REVIEWED_EXPLICIT
GEO-EXC-014	NO_POINT_GOVERNANCE	New York, United States	New York, United States	SPTGEO:47441e66dbbfc9e21f2dd9ab546f8fcdc2cf3e26a50d6f7569662bda90599db9	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		1	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	New York, United States has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-015	MAP_UNIT	Niue	Niue	SPTGEO:ea9d4a35c72ba23d47c1850db1ebccc6906b97b311aab7a0750d94213b60e9d8	territory	mapped	MAP_TO_MAP_UNIT	NIU	4	none	Mapped to the explicitly reviewed Natural Earth map unit; no object coordinate is asserted.	Niue is an explicitly reviewed territory/map-unit label mapped to its pinned Natural Earth unit.	REVIEWED_EXPLICIT
GEO-EXC-016	NO_POINT_GOVERNANCE	Palestine / transnational	Palestine / transnational	SPTGEO:8b1c39e4bd024f7201df51af49300cd81ca33bc3363559022a2df4fd5d5d8839	transnational	aggregate_only	AGGREGATE_WITHOUT_POINT		8	none	The broad or transnational source scope cannot be represented by one current polygon or point without overclaiming.	Palestine / transnational is broad or transnational and remains visible in aggregates without an invented point or silent modern-country normalization.	REVIEWED_EXPLICIT
GEO-EXC-017	NO_POINT_GOVERNANCE	Paris, France	Paris, France	SPTGEO:a58a099f7c46341acdf2d964bf062c1029c3a6b343483c18d876c6c34c0e628c	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		5	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Paris, France has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-018	NO_POINT_GOVERNANCE	Port-au-Prince, Haiti	Port-au-Prince, Haiti	SPTGEO:828cd1a771076bdd0d689d8eccce4dd8b9a44b589975248f53021b7182ea9a98	subnational	aggregate_only	AGGREGATE_WITHOUT_POINT		1	none	No evidence-backed subnational geometry or representative point is present in the frozen release; retain as an aggregate-only row.	Port-au-Prince, Haiti has no governed subnational geometry or evidence-backed point in v1 and remains visible without a map position.	REVIEWED_EXPLICIT
GEO-EXC-019	MAP_UNIT	Puerto Rico	Puerto Rico	SPTGEO:51268f609ed188f7ccefc97d4985d4869b1b071750f50019e36193884475e521	territory	mapped	MAP_TO_MAP_UNIT	PRI	1	none	Mapped to the explicitly reviewed Natural Earth map unit; no object coordinate is asserted.	Puerto Rico is an explicitly reviewed territory/map-unit label mapped to its pinned Natural Earth unit.	REVIEWED_EXPLICIT
GEO-EXC-020	GEOMETRY_UNAVAILABLE	Tokelau	Tokelau	SPTGEO:5a8be824027bd87c00d7cdbbe910b38a8e53efa687bcca5f4384ead5d035d541	territory	unmapped	DISPLAY_UNMAPPED		1	none	The pinned Natural Earth 50m artifact has no matching governed map-unit geometry; retain the record in explicit unmapped counts without inventing a point or parent-country substitute.	Tokelau has no matching feature in the pinned Natural Earth 50m artifact and remains visibly unmapped without a parent-country substitution.	REVIEWED_EXPLICIT
GEO-EXC-021	MAP_UNIT	Wallis and Futuna	Wallis and Futuna	SPTGEO:22e6b81248a8ec90e55ee82b37265228b7c9da14869b0d55dd8bc9461586ba0c	territory	mapped	MAP_TO_MAP_UNIT	WLF	37	none	Mapped to the explicitly reviewed Natural Earth map unit; no object coordinate is asserted.	Wallis and Futuna is an explicitly reviewed territory/map-unit label mapped to its pinned Natural Earth unit.	REVIEWED_EXPLICIT
GEO-EXC-022	RAW_TYPED_DIAGNOSTIC_DIFFERENCE	Mexico City	Mexico	SPTGEO:3c420e26303316e935ce7757e5f7aafb2ab513325b4c16a811e8b09fc36b4d2c	country	mapped	USE_TYPED_GOVERNED_ASSIGNMENT_PRESERVE_RAW_AS_DIAGNOSTIC	MEX	1	none	The frozen typed assignment governs; the raw label is retained only as a release diagnostic.	No city coordinate is inferred and the diagnostic does not create a second geography assignment.	REVIEWED_EXPLICIT
