period_id	label	start_year_inclusive	end_year_exclusive	record_count	mapped_record_count	unmapped_record_count	precision_day	precision_month	precision_year	precision_range	precision_approximate	precision_unknown	membership_policy	bucket_policy	is_default
SPT-PERIOD-1800-1810	1800s	1800	1810	12	7	5	0	0	10	0	2	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1810-1820	1810s	1810	1820	6	2	4	0	0	6	0	0	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1820-1830	1820s	1820	1830	10	8	2	0	0	10	0	0	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1830-1840	1830s	1830	1840	16	16	0	3	0	12	1	0	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1840-1850	1840s	1840	1850	26	26	0	0	0	20	3	3	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1850-1860	1850s	1850	1860	49	49	0	0	0	46	3	0	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1860-1870	1860s	1860	1870	79	79	0	0	0	67	3	9	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1870-1880	1870s	1870	1880	61	61	0	0	0	54	3	4	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1880-1890	1880s	1880	1890	48	48	0	0	0	39	4	5	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1890-1900	1890s	1890	1900	211	211	0	0	5	187	4	15	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1900-1910	1900s	1900	1910	164	164	0	0	0	153	4	7	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1910-1920	1910s	1910	1920	188	183	5	7	0	170	4	7	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1920-1930	1920s	1920	1930	257	257	0	29	2	207	4	15	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1930-1940	1930s	1930	1940	265	264	1	1	0	233	2	29	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1940-1950	1940s	1940	1950	270	268	2	26	5	219	2	18	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1950-1960	1950s	1950	1960	383	383	0	6	1	353	1	22	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1960-1970	1960s	1960	1970	1397	1308	89	0	0	1380	3	14	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1970-1980	1970s	1970	1980	1096	1015	81	2	3	1065	9	17	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-1980-1990	1980s	1980	1990	1898	1894	4	3	2	1755	18	120	0	INTERVAL_OVERLAP	DECADE	true
SPT-PERIOD-1990-2000	1990s	1990	2000	441	441	0	1	1	424	2	13	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-2000-2010	2000s	2000	2010	646	645	1	0	0	642	1	3	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-2010-2020	2010s	2010	2020	351	350	1	0	8	341	0	2	0	INTERVAL_OVERLAP	DECADE	false
SPT-PERIOD-2020-2030	2020s	2020	2030	159	159	0	0	0	159	0	0	0	INTERVAL_OVERLAP	DECADE	false
