table_schema	table_name	catalog_kind	constraint_name	definition	columns	referenced_schema	referenced_table	referenced_columns	deferrable	initially_deferred	trigger_function	trigger_events	expected_event_count	table_indexes	referenced_indexes	child_fk_leading_index_covered	pre_remediation_complexity	risk_priority
rights	delivery_assessment	CONSTRAINT_TRIGGER	delivery_assessment_validation	CREATE CONSTRAINT TRIGGER delivery_assessment_validation AFTER INSERT OR DELETE OR UPDATE ON rights.delivery_assessment DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION rights.enforce_delivery_assessment()					t	t	rights.enforce_delivery_assessment()	INSERT,UPDATE,DELETE	15788	CREATE UNIQUE INDEX delivery_assessment_pkey ON rights.delivery_assessment USING btree (delivery_assessment_id) || CREATE UNIQUE INDEX delivery_assessment_supersedes_delivery_assessment_id_key ON rights.delivery_assessment USING btree (supersedes_delivery_assessment_id) || CREATE INDEX delivery_assessment_reference_idx ON rights.delivery_assessment USING btree (object_visual_reference_id, assessed_at DESC) || CREATE INDEX delivery_assessment_mode_idx ON rights.delivery_assessment USING btree (delivery_mode, assessed_at DESC)			THETA_N_SQUARED	P0
rights	delivery_policy_evaluation	CONSTRAINT_TRIGGER	delivery_policy_validation	CREATE CONSTRAINT TRIGGER delivery_policy_validation AFTER INSERT OR DELETE OR UPDATE ON rights.delivery_policy_evaluation DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION rights.enforce_delivery_assessment()					t	t	rights.enforce_delivery_assessment()	INSERT,UPDATE,DELETE	15788	CREATE UNIQUE INDEX delivery_policy_evaluation_pkey ON rights.delivery_policy_evaluation USING btree (delivery_assessment_id, provider_policy_evaluation_id)			THETA_N_SQUARED	P0
rights	delivery_rights_assessment	CONSTRAINT_TRIGGER	delivery_rights_validation	CREATE CONSTRAINT TRIGGER delivery_rights_validation AFTER INSERT OR DELETE OR UPDATE ON rights.delivery_rights_assessment DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION rights.enforce_delivery_assessment()					t	t	rights.enforce_delivery_assessment()	INSERT,UPDATE,DELETE	15788	CREATE UNIQUE INDEX delivery_rights_assessment_pkey ON rights.delivery_rights_assessment USING btree (delivery_assessment_id, rights_assessment_id, evidence_role)			THETA_N_SQUARED	P0
rights	rights_assessment	CONSTRAINT_TRIGGER	rights_assessment_one_current_leaf	CREATE CONSTRAINT TRIGGER rights_assessment_one_current_leaf AFTER INSERT ON rights.rights_assessment DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION rights.enforce_one_current_history_leaf()					t	t	rights.enforce_one_current_history_leaf()	INSERT	15788	CREATE UNIQUE INDEX rights_assessment_pkey ON rights.rights_assessment USING btree (rights_assessment_id) || CREATE UNIQUE INDEX rights_assessment_supersedes_rights_assessment_id_key ON rights.rights_assessment USING btree (supersedes_rights_assessment_id) || CREATE INDEX rights_assessment_state_idx ON rights.rights_assessment USING btree (subject_kind, assessed_state, assessed_at DESC)			THETA_N_SQUARED	P0
core	archive_object	CONSTRAINT_TRIGGER	archive_object_surface_reciprocal	CREATE CONSTRAINT TRIGGER archive_object_surface_reciprocal AFTER INSERT OR DELETE OR UPDATE ON core.archive_object DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION raw.enforce_archive_object_surface_reciprocal()					t	t	raw.enforce_archive_object_surface_reciprocal()	INSERT,UPDATE,DELETE	15923	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)			ROW_EVENT_FUNCTION	P1
core	archive_object	CONSTRAINT_TRIGGER	entity_subtype_from_archive_object	CREATE CONSTRAINT TRIGGER entity_subtype_from_archive_object AFTER INSERT OR DELETE OR UPDATE ON core.archive_object DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION core.enforce_entity_subtype()					t	t	core.enforce_entity_subtype()	INSERT,UPDATE,DELETE	15923	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)			ROW_EVENT_FUNCTION	P1
core	archive_object	FOREIGN_KEY	archive_object_archive_object_id_fkey	FOREIGN KEY (archive_object_id) REFERENCES core.entity(entity_id) ON DELETE RESTRICT	archive_object_id	core	entity	entity_id	f	f		INSERT,UPDATE	15923	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	CREATE UNIQUE INDEX entity_pkey ON core.entity USING btree (entity_id) || CREATE INDEX entity_kind_state_idx ON core.entity USING btree (entity_kind, lifecycle_state)	t	INDEX_PROBE	P1
core	archive_object	FOREIGN_KEY	archive_object_surface_ledger_fk	FOREIGN KEY (created_from_surface_ledger_id) REFERENCES raw.legacy_surface_ledger(legacy_surface_ledger_id) ON DELETE RESTRICT DEFERRABLE INITIALLY DEFERRED	created_from_surface_ledger_id	raw	legacy_surface_ledger	legacy_surface_ledger_id	t	t		INSERT,UPDATE	15923	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	CREATE UNIQUE INDEX legacy_surface_ledger_pkey ON raw.legacy_surface_ledger USING btree (legacy_surface_ledger_id) || CREATE UNIQUE INDEX legacy_surface_batch_ordinal_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, input_ordinal) || CREATE UNIQUE INDEX legacy_surface_batch_surface_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, surface_id) || CREATE UNIQUE INDEX legacy_surface_batch_source_occurrence_unique ON raw.legacy_surface_ledger USING btree (migration_batch_id, source_record_id) || CREATE INDEX legacy_surface_source_record_idx ON raw.legacy_surface_ledger USING btree (source_record_id) || CREATE INDEX legacy_surface_archive_object_idx ON raw.legacy_surface_ledger USING btree (archive_object_id) || CREATE INDEX legacy_surface_disposition_idx ON raw.legacy_surface_ledger USING btree (migration_batch_id, import_disposition) || CREATE INDEX legacy_surface_fingerprint_idx ON raw.legacy_surface_ledger USING btree (source_fingerprint)	f	INDEX_PROBE	P1
core	entity	CONSTRAINT_TRIGGER	entity_subtype_from_entity	CREATE CONSTRAINT TRIGGER entity_subtype_from_entity AFTER INSERT OR DELETE OR UPDATE ON core.entity DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION core.enforce_entity_subtype()					t	t	core.enforce_entity_subtype()	INSERT,UPDATE,DELETE	15923	CREATE UNIQUE INDEX entity_pkey ON core.entity USING btree (entity_id) || CREATE INDEX entity_kind_state_idx ON core.entity USING btree (entity_kind, lifecycle_state)			ROW_EVENT_FUNCTION	P1
provenance	assignment_folder_membership	CONSTRAINT_TRIGGER	assignment_shape_from_folder	CREATE CONSTRAINT TRIGGER assignment_shape_from_folder AFTER INSERT OR DELETE OR UPDATE ON provenance.assignment_folder_membership DEFERRABLE INITIALLY DEFERRED FOR EACH ROW EXECUTE FUNCTION provenance.enforce_assignment_shape_and_support()					t	t	provenance.enforce_assignment_shape_and_support()	INSERT,UPDATE,DELETE	47982	CREATE UNIQUE INDEX assignment_folder_membership_pkey ON provenance.assignment_folder_membership USING btree (canonical_assignment_id) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_archive_object_id_me_key ON provenance.assignment_folder_membership USING btree (folder_id, archive_object_id, membership_role) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_membership_role_memb_key ON provenance.assignment_folder_membership USING btree (folder_id, membership_role, member_ordinal)			ROW_EVENT_FUNCTION	P1
provenance	assignment_folder_membership	FOREIGN_KEY	assignment_folder_membership_archive_object_id_fkey	FOREIGN KEY (archive_object_id) REFERENCES core.archive_object(archive_object_id) ON DELETE RESTRICT	archive_object_id	core	archive_object	archive_object_id	f	f		INSERT,UPDATE	47982	CREATE UNIQUE INDEX assignment_folder_membership_pkey ON provenance.assignment_folder_membership USING btree (canonical_assignment_id) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_archive_object_id_me_key ON provenance.assignment_folder_membership USING btree (folder_id, archive_object_id, membership_role) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_membership_role_memb_key ON provenance.assignment_folder_membership USING btree (folder_id, membership_role, member_ordinal)	CREATE UNIQUE INDEX archive_object_pkey ON core.archive_object USING btree (archive_object_id) || CREATE UNIQUE INDEX archive_object_urn_uidx ON core.archive_object USING btree (object_urn)	f	INDEX_PROBE	P1
provenance	assignment_folder_membership	FOREIGN_KEY	assignment_folder_membership_canonical_assignment_id_fkey	FOREIGN KEY (canonical_assignment_id) REFERENCES provenance.canonical_assignment(canonical_assignment_id) ON DELETE RESTRICT	canonical_assignment_id	provenance	canonical_assignment	canonical_assignment_id	f	f		INSERT,UPDATE	47982	CREATE UNIQUE INDEX assignment_folder_membership_pkey ON provenance.assignment_folder_membership USING btree (canonical_assignment_id) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_archive_object_id_me_key ON provenance.assignment_folder_membership USING btree (folder_id, archive_object_id, membership_role) || CREATE UNIQUE INDEX assignment_folder_membership_folder_id_membership_role_memb_key ON provenance.assignment_folder_membership USING btree (folder_id, membership_role, member_ordinal)	CREATE UNIQUE INDEX canonical_assignment_pkey ON provenance.canonical_assignment USING btree (canonical_assignment_id) || CREATE INDEX canonical_assignment_kind_status_idx ON provenance.canonical_assignment USING btree (assignment_kind, status, created_at)	t	INDEX_PROBE	P1
