scope	path	tracked_status	ignored_status	size_bytes	mtime_utc	mime_or_signature	source_owner	authority_role	recovery_reference	classification	reason	proposed_action	duplicate_group	content_identity_basis	sha256_if_confirmed_candidate	deletion_risk
PROTECTED_DIRTY_MAIN	Archive/AI/README.md	UNTRACKED	NO	658	2026-07-28T04:33:47.121960Z	extension:text/markdown	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement				HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/probes/probe-qwen35-generation.mjs	UNTRACKED	NO	14078	2026-07-28T04:40:30.215556Z	extension:text/javascript	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement	SHA256DUP-0039	sha256:6beeae595eff4e200cca082557443393d3794f2d6f62b6590f901535c5965616; from SIZECAND-0170	6beeae595eff4e200cca082557443393d3794f2d6f62b6590f901535c5965616	HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/probes/probe-qwen35-rag-policy.js	UNTRACKED	NO	5046	2026-07-28T04:40:30.215859Z	extension:text/javascript	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement	SHA256DUP-0150	sha256:9951d67c86aab508ad378dbdde7c442f6d0ddefe89a070bbccffcd6e9e557f79; from SIZECAND-1148	9951d67c86aab508ad378dbdde7c442f6d0ddefe89a070bbccffcd6e9e557f79	HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/probes/probe-qwen35-runtime.mjs	UNTRACKED	NO	6372	2026-07-28T04:40:30.216117Z	extension:text/javascript	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement	SHA256DUP-0087	sha256:4c1cd1ca7e219d2a4ea4c0634474bda37bd1a3aa1985acf6cc9c18537300bda7; from SIZECAND-0816	4c1cd1ca7e219d2a4ea4c0634474bda37bd1a3aa1985acf6cc9c18537300bda7	HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/product-prototype/ArchiveShell.tsx	UNTRACKED	NO	15522	2026-07-28T04:30:23.690121Z	extension:text/tsx	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement				HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/product-prototype/Reader.tsx	UNTRACKED	NO	30272	2026-07-28T04:30:23.690455Z	extension:text/tsx	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement	SHA256DUP-0016	sha256:32bc8e6eb3948795e28f6a466c40cef1d7df9cc087e08dbd7f38acb08f7bc2de; from SIZECAND-0035	32bc8e6eb3948795e28f6a466c40cef1d7df9cc087e08dbd7f38acb08f7bc2de	HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/product-prototype/assistant-memory.ts	UNTRACKED	NO	3937	2026-07-28T04:28:53.507484Z	extension:text/typescript	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement	SHA256DUP-0157	sha256:b952a8779006228fbab2e62ac3f0cba859524a15b1a23d60baad7a917f888454; from SIZECAND-1232	b952a8779006228fbab2e62ac3f0cba859524a15b1a23d60baad7a917f888454	HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/product-prototype/assistant-retrieval.ts	UNTRACKED	NO	22232	2026-07-28T04:28:53.508150Z	extension:text/typescript	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement	SHA256DUP-0030	sha256:5eb6330f27b08983b1706e2ffd95c38b24f684039d87451d8759077f8db6c0c6; from SIZECAND-0073	5eb6330f27b08983b1706e2ffd95c38b24f684039d87451d8759077f8db6c0c6	HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/product-prototype/qwen35-adapter.ts	UNTRACKED	NO	12840	2026-07-28T04:28:53.506770Z	extension:text/typescript	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement				HIGH
PROTECTED_DIRTY_MAIN	Archive/AI/product-prototype/search.tsx	UNTRACKED	NO	19292	2026-07-28T04:28:53.508483Z	extension:text/tsx	research/design owner	UNTRACKED_RESEARCH_DESIGN_EVIDENCE	protected-main baseline 2026-08-10; no tracked recovery proven	ARCHIVE_READ_ONLY	untracked artifact has potential evidentiary value	manifest and assign ownership before archival movement				HIGH
