input_ordinal	surface_id	legacy_surface_ledger_id	source_record_id	archive_object_id	import_disposition	reason_code	corpus_disposition	fail_closed_delta_id
0	SURF-CSPTRACE2026R0093	f9330a9a-b0e6-5cb6-9d70-900585fa7cf6	35cee30f-f7e8-589f-9ec9-610c2bceeb5d	f6cd2d9b-5225-541e-93e1-2e24debdd11b	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	25291f68-499e-56d8-bacb-cb625a97451a
1	SURF-CSPTRACE2026R0094	7704b082-dd8e-541d-834c-e22dc3f42787	0ca0b177-d100-5c00-a1df-d49059a89329	df896bd4-c4c4-5849-94ca-08145174ca4b	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	ede7b957-fdd3-5cbe-83bc-6c2d44eeb496
11	SURF-YRGAP-YEAR-0046	f4d7caed-7717-5e03-9fbe-86758f281bc3	a763917a-67fa-5e06-adc3-6ef3cd550a01	b8af62fd-560e-5af6-b6e5-41bb509ccd10	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	d89937af-d806-593e-b059-77f8adb94451
12	SURF-CSPTRACE2026R0102	4913b5d9-720a-52a5-b4aa-e392f7f6930c	99256c58-6d5f-5fec-a989-b899c378f906	d7498657-1d9e-5b85-8fc2-34523f473983	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	5ec8e168-4671-5f77-8549-2573e2a87325
14	SURF-YRGAP-YEAR-0057	bd4dd3f8-9104-5dc7-be94-038ea1fb86d6	899657d1-31ee-517b-9eaf-a8f3f752734c	30d56592-329e-5f4d-942f-74eaa66c79ac	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	52384546-9305-5bfd-bff7-7ce9af0241c2
15	SURF-YRGAP-YEAR-0058	8a813c6a-3139-504a-971c-d58e969f6cc0	cca129bf-f31d-5082-ab0c-228a7f27aaf1	4ce9c041-17f8-568e-8d06-d496215871bd	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	309b827a-6597-5ded-aeed-ba916a24415d
16	SURF-CSPTRACE2026R0111	91c7388f-d4f1-598c-a7b7-e7e496eabab9	61cde037-d987-5495-be6a-ac0c1209ec44	ba66ee19-f314-5f92-88fe-4a18cc43600f	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	d2b36c5f-4db9-5fa9-b0f1-3311dbc6ef24
19	SURF-YRGAP-YEAR-0069	01482762-98c7-52ba-af26-6867456acd7d	a373184d-ffd2-532a-a67a-dafca6d8fdfc	90075446-0279-5fb9-ab8a-d905de82e175	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	ac1b96c3-08b0-588c-9535-9ead750bf1b4
20	SURF-YRGAP-YEAR-0074	d741729f-cea3-53c9-9d63-de571409c7f2	a162b877-a049-5f72-8482-0da1f2aeb432	1252da08-41e5-5daf-929c-b8e016b28a69	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	37a32e55-280b-5b92-acd3-cb9435cdfb24
21	SURF-YRGAP-YEAR-0077	786ee0e8-9085-5d4b-8f93-d112e8ae7b81	a1f6a0ad-820a-560a-96a0-65c91b7d823f	f60ab2a4-db09-50f9-8c6e-c0d13647b709	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	b439fa4a-fc03-56d3-994b-119d594ec8de
22	SURF-YRGAP-YEAR-0078	081ecec4-d32e-575d-a0c8-01dcdc58a9d8	c56d1c04-485a-5b49-b793-946467d6d37d	0968b80e-1409-57f1-8e46-8703fba75c1d	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	215d1ddf-6afe-5720-a0f5-0e9a3f9eecaa
23	SURF-YRGAP-YEAR-0079	36910480-1825-5886-a453-c37a378c3a84	b3c5ebc3-37e0-5c64-9365-ad04ab79a80a	8c10ef66-d70e-539c-a5a5-f584ba6612dc	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	f18968da-d07a-52cb-8340-f4670a587bbd
24	SURF-YRGAP-YEAR-0080	7a93ca5f-a1b9-5136-9f1c-e3907cfa0001	7d4c5227-9120-51bf-85ef-8798f5a43708	6d28fed5-ce81-5aec-9ac7-5b104a1fe66c	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	330cc9c2-ef88-5cb8-9fe5-be20fe25aaeb
25	SURF-YRGAP-YEAR-0081	27200ed4-eaf0-593a-ab46-a2354e66e5ec	547abe1a-628e-5ea9-b012-f4cda80f31e9	a09e396d-0440-5403-b8fb-98e61a431df1	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	000f670d-369e-51ab-841a-cbd6009d23db
26	SURF-YRGAP-YEAR-0082	07369fb3-9b11-550f-ac0f-8e1aef0d63d0	507a065f-a139-5141-9a84-10da9f794000	d300175c-572b-53ac-b114-cbf038712096	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	2d17d5d4-f2b2-507d-b149-3ed9816c109d
29	SURF-CSPTRACE2026R0115	29eed6d2-7cb3-54ad-b615-c7e64a1d4ee0	0e0c6584-dc21-5692-b392-550a3628b211	e9248306-f184-5064-bf36-733107e6c2ef	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	7290560c-503a-57ce-9d58-ecba49fb1966
30	SURF-YRGAP-YEAR-0094	d6b2c0f2-7b70-57ed-abe8-370489e90f60	0013462d-09ca-5e96-b024-28c185c402e4	4cea557b-4b30-594f-b534-659e11ac38b2	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	edaaf057-4376-5657-8685-33a6b93cc6dd
32	SURF-YRGAP-YEAR-0098	a4cf62da-73a1-5f72-9df0-b431851d20d5	6e702070-e89c-5661-8ba0-a41732124299	e2fa096f-622e-5a1d-96ac-a1953f5d925a	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	bda475f2-3bf9-50db-b9fd-4f15ecb1448a
33	SURF-YRGAP-YEAR-0099	f8bbd5ac-f995-5436-a14e-f5a881bf1fb2	60a0cca2-9cb1-56ed-9ac2-b3470b58aa77	8a472966-68f1-54bf-8d54-d856c314b314	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	8f7032a0-0be7-54e7-bbd1-9fe4ddaa76b8
34	SURF-YRGAP-YEAR-0103	4f518889-0915-5f7b-a3e8-caecf19b66e1	c8f1a6c1-6f36-5df7-b6f2-40c5a6a614b6	420f936f-1a8f-5432-b107-94183942f3cf	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	e1211988-f571-5be4-ab90-228ba6a90593
37	SURF-YRGAP-YEAR-0111	c15f3dfd-ae8e-53e9-ba8c-6eee77715310	9ad35f74-8b7b-5e07-b8a5-8ba58788db82	e9ab365a-1c25-5fcc-a941-b1e98c5e46cd	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	b757919c-0b89-5ffa-85e2-eb0e771d25b0
38	SURF-CSPTRACE2026R0076	6f177929-c3f1-5f96-adcb-3eeb49f03f95	714fc256-585f-54e1-88ce-7fea9f1d5335	a954deb0-76f8-5cbb-abd7-3e4af1687600	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	18682f50-e14c-5ed5-99d5-e18e951623a1
42	SURF-CSPTRACE2026R0058	946d6cae-1b69-58cc-a431-01346fbde7a9	571dd9c5-92dd-5188-b9b0-c89bf6f507b2	7f8d938d-5a34-5aa9-a150-369fd2e463b2	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	47e8f7b8-9314-56b4-b3e8-061af50a91af
45	SURF-YRGAP-YEAR-0134	0e6bd3ec-623c-5b52-b2b6-b9abd586a6ac	ef57269a-a5c7-535e-a132-f2959724d34e	00cfdbd1-a941-5481-8d5a-10e803b52c6d	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	a3b75569-4a2e-51b5-96d9-ac926ac5edf8
46	SURF-CSPTRACE2026R0119	34c0f6cc-d54f-5d57-9645-c094a88fa95f	ffba5262-6feb-5fc4-9ae9-afb4462c96a9	8e404ddd-0533-524c-9594-5f38ed9eec8e	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	4b8516ed-76ea-5443-a543-dd52bead38b1
47	SURF-YRGAP-YEAR-0139	2166ef55-67ba-5f5f-8852-96d274e03830	9042791b-fe30-5e98-aa33-2d021b013ea6	55d71da3-169d-559e-9846-7f8a537a9244	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	ec5360e8-ca6b-5e35-b217-bc237fab4349
50	SURF-YRGAP-YEAR-0156	3854055c-d60d-58b5-8285-06616092b0ae	50b486d0-dbab-5b8b-8cd6-9c005d69e01e	fee6302e-cddd-58de-b281-0c11f3656b2b	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	175567ed-3e33-54f6-a137-d2a80a53c26d
53	SURF-YRGAP-YEAR-0159	19048aa1-e726-5936-9d91-81aa7a5c5e1f	ae9af0fc-8347-5bd4-b1ac-b25688f7ea4e	4b30cb63-253b-536d-a2b5-73fc9d8bece0	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	03322439-e95e-5a79-949d-e69a47308fa3
54	SURF-YRGAP-YEAR-0161	ccc3133d-850e-547e-86c7-be36c94d48c8	f595e14c-5c8b-529f-bed6-5e181783a4b5	71199d08-b2d6-5d9f-aeb6-134181e4fcd1	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	914b945c-3db7-5e95-9e21-c21c1b42365a
57	SURF-YRGAP-YEAR-0165	ff0c3946-6f17-5328-8c72-0d490f9ee2da	0f835698-82ba-5fb7-9c84-0f172aae71a5	0d9bc1fe-7fff-58b4-a1e2-6de473495583	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	fa2e4fea-90bc-5885-aed9-b0db83b90304
58	SURF-CAW2026R00088	2906e673-01d4-5460-82b7-ccce199541e7	f154733f-af8d-5d68-bdba-72cce7966eda	7b61785f-d3b6-5b7a-9b9d-c6df4de30bcd	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	296b88f7-cb9a-5e43-a3b6-a856e0f8a06e
59	SURF-CHW2026R001	ec6388e0-7b97-50d5-9c11-498cbf1e4abe	f19045f7-5702-50be-ba6f-1f5a29858466	4e6300e0-90d5-5554-83cc-f262a26c2ada	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	9281cb83-011d-5af8-8fd5-d4ed94ad90ca
61	SURF-GAX1970R001	bf71db06-7aa5-510d-a6e8-4c2c5918c05e	ff549bae-f57a-5345-82d3-19f2fbe038d4	c09f2d27-88a2-5c2e-a192-a7901f6b1b3b	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	7ee0dd16-9a31-5284-b349-15bc68a8b07f
62	SURF-SI1970R001	7d458425-ec13-5235-9edb-c597ae1b6f3c	94686a26-c821-57ed-83b5-4b0c3a0f19f4	0be96eac-4c6e-5efc-9c9c-474d202a32fa	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	d6ade41e-8f66-5f5b-bc58-029721fd449a
64	SURF-CAW2026R00104	b3cffba2-8f97-5c49-87f0-a369fe3e093d	28f82f01-b3eb-5f5f-acc4-624091df794d	802505f0-b3ca-5c1e-8d7f-649d9f682cc4	held	METADATA_SUPPORTED_BELOW_STRICT_EVIDENCE_THRESHOLD	held	90613f8f-bf1f-5e25-b56b-adc29452bb7f
69	SURF-CCE2026R00001	65e5900e-6ae3-51b7-92e8-833feb19d532	9ba8e430-c379-51de-aaef-9105b3bc59a8	0f9fbbc4-ee76-59c3-8e60-69e2e7b9ff86	held	MISSING_EXPLICIT_EVIDENCE_TIER	held	4150610a-1b22-5061-8fd3-58770f3aeaf1
