category_entry_id	category_entry_hash	category_id	category_label	composition_id	topology_composition_hash	node_ids	association_ids	seed_variant_ids	production_composition_ids	initial_state_id	database_authority
R16A-ENTRY-1922FEE2B602A64A22A0	1922fee2b602a64a22a09af4bd54ee555ee83795bd3fee8e599ceb50d6889ce1	region	Region	R16A-TOPO-1418F4F9E09532A6D5BB	1418f4f9e09532a6d5bbeb02cc4142a9ba939d054b093a8564ee68aaeda23ece	"[""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f""]"	"[""R16A-SEED-822F738B6DC92D47C986"",""R16A-SEED-AF3F35E29AE9877A546A""]"	"[""R16A-PCOMP-CCA7DE5535D0FC0A9367"",""R16A-PCOMP-2D86E815DA0086ED7575""]"	R16A-STATE-F4A04631C88F9D54F9BE2C7C	database:object_folder_refs:region
R16A-ENTRY-1A99F275E5E5043703C2	1a99f275e5e5043703c2e48c921b49b19cd30276e00d870f3160576c75feaaa0	region	Region	R16A-TOPO-E1333D8D6786C082790C	e1333d8d6786c082790cc4272c857315a8e1b637c73005db82ee030cbde6567f	"[""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:591aa3897c3e0e455ef4bc05b36550f3d010af9e84be8a08c199676025fdeb04""]"	"[""R16A-SEED-26381608A6E03BF2075C"",""R16A-SEED-6D975EF090DB821D0EE9""]"	"[""R16A-PCOMP-51A298827C427152D14F"",""R16A-PCOMP-766FC8DD7D1FAA8FD7CB""]"	R16A-STATE-7A3740CA4A65916620A9A668	database:object_folder_refs:region
R16A-ENTRY-1D7017FE8F52F80A5CB0	1d7017fe8f52f80a5cb027d8c6c1457015808d97f167757f8ac267cd48cf8e9f	region	Region	R16A-TOPO-148BECCBEBCA23C54624	148beccbebca23c546243b992ccbfda310f49bac8d56b595be8f8dfafc68451e	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a"",""R16A-PAIR:c58fe913fc06f2896c1022f7ccc0e9de1b0f7f1121f09c7d18162d40fe764cf9""]"	"[""R16A-SEED-99E80B3AFC4A46B78863"",""R16A-SEED-112A08B6B412ACA3BFA2"",""R16A-SEED-5FA23BDA68282517FC59""]"	"[""R16A-PCOMP-5DC1F64A3B6B558406C8"",""R16A-PCOMP-9D01A6B08F7E9BE1FB81"",""R16A-PCOMP-5A55C3636BF464793711""]"	R16A-STATE-A745BC72BF6192FB8A386258	database:object_folder_refs:region
R16A-ENTRY-1DE2FF3D67B53BD7BBE5	1de2ff3d67b53bd7bbe54fc08d054aa0bef67315b11c959fd818ead4b8b5671e	region	Region	R16A-TOPO-1B6CF9621277BC103BB2	1b6cf9621277bc103bb226c81abef7fb6b4137ec6d3e8e711d7447f126487297	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e""]"	"[""R16A-SEED-09930AFCAF2A0AA1FD88"",""R16A-SEED-454F211E9344171CE198"",""R16A-SEED-FEE3B57F413296934559""]"	"[""R16A-PCOMP-1C62D22FA8AA031AC810"",""R16A-PCOMP-A4BDE85A7EED89E9194D"",""R16A-PCOMP-6A6E782EE110FEFBD6CE""]"	R16A-STATE-82ABE4A2D184C9769173A0B6	database:object_folder_refs:region
R16A-ENTRY-1E4A3BE36F4CFF335A70	1e4a3be36f4cff335a708bf520345d9c7a1e771814a81025965cd5c5007e45bc	region	Region	R16A-TOPO-2B3B8D7C5AF03B42652B	2b3b8d7c5af03b42652bbbaa4fc47fe1c2f88e4408a9f030bfd11d1a1cbf1616	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a"",""R16A-PAIR:c58fe913fc06f2896c1022f7ccc0e9de1b0f7f1121f09c7d18162d40fe764cf9""]"	"[""R16A-SEED-82DD5AFC5B686E41A12B"",""R16A-SEED-410F8C83D0DD0A3AF8C5"",""R16A-SEED-86110B2DDFD2D34B634F""]"	"[""R16A-PCOMP-3DEA2876DDC4F4C2F03B"",""R16A-PCOMP-1ED3A4B1C37BA32AA5E1"",""R16A-PCOMP-9727C78F3674778FFC42""]"	R16A-STATE-D3D74A66B17D7E04CBBB77F9	database:object_folder_refs:region
R16A-ENTRY-21BCDB22B7FF410947C5	21bcdb22b7ff410947c5809e527204cc27ed3d69180a6a4133efb49c29f904cc	region	Region	R16A-TOPO-33575B9AB35D02E19D8F	33575b9ab35d02e19d8f1e551f0fa9c00e291c86db3280033fcddf9ff809d63e	"[""TRV:628bbc2d6553accb5320993afff75b39993c7ae9514d1f39d8a28834bfaf8170"",""TRV:b57559d1d19ef1967b6015fa23577c3fac4b79ae3ca54ef4eb760e18300875a3""]"	"[""R16A-PAIR:85e32fbf7d295e72068df767318096879ed6af2c4af16cadd1313e3fca88fa26""]"	"[""R16A-SEED-EBF92BBE526796267883"",""R16A-SEED-917CF9E7BE49A25B456A""]"	"[""R16A-PCOMP-38D47020F69FA0C39B90"",""R16A-PCOMP-91EB791E43E94F17129E""]"	R16A-STATE-4EDDA73745FB0250B3DE6E90	database:object_folder_refs:region
R16A-ENTRY-25942392D2D1D97CC5B9	25942392d2d1d97cc5b9c1c44c05919eee9b7455f6a4522b062e64f65b85efca	region	Region	R16A-TOPO-C7F0E661F303DDE5467B	c7f0e661f303dde5467b0d6dd6155e93966b66aeb0fad6d6f68c44964ea671b1	"[""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c"",""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc"",""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""]"	"[""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	"[""R16A-SEED-ADEA52FB1004F7A22535"",""R16A-SEED-71576072822BDBC56FD3"",""R16A-SEED-15FA6E80672CC2F72E38""]"	"[""R16A-PCOMP-E72AF8553AA8614E2682"",""R16A-PCOMP-77FCA98DEAB5817F6781"",""R16A-PCOMP-18CCA5FDE75FB01FEBAC""]"	R16A-STATE-8CB0E1D4B601A929B8376D17	database:object_folder_refs:region
R16A-ENTRY-2DC92F43571CF5579451	2dc92f43571cf5579451a6b0940d8000d0896df64adae2b81e175ab24f56df3d	region	Region	R16A-TOPO-46DEED5C98FE35DE83D6	46deed5c98fe35de83d67478c9b684fb02b55059ddc4e093214abf2511daafc6	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:591aa3897c3e0e455ef4bc05b36550f3d010af9e84be8a08c199676025fdeb04"",""R16A-PAIR:c58fe913fc06f2896c1022f7ccc0e9de1b0f7f1121f09c7d18162d40fe764cf9""]"	"[""R16A-SEED-3A64209B26438B97C77B"",""R16A-SEED-F60BCBDE7CA73ABDB152"",""R16A-SEED-D532B8938426577473F8""]"	"[""R16A-PCOMP-70F983A52DBC9C82EC04"",""R16A-PCOMP-6C4BADB4498053DF8BB9"",""R16A-PCOMP-F977A00A83E2973B80F7""]"	R16A-STATE-545E8E5C6AE2AB58A656F723	database:object_folder_refs:region
R16A-ENTRY-2E25F921A6B607F45ADA	2e25f921a6b607f45adab0c06dce55af85a6f819ecefb36d9ffd53c65ec8dab5	region	Region	R16A-TOPO-56748CC23F16FE87E427	56748cc23f16fe87e427f1582f5b4ebb6ecae663a1d050cc0acfa585c8132644	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a"",""R16A-PAIR:c58fe913fc06f2896c1022f7ccc0e9de1b0f7f1121f09c7d18162d40fe764cf9""]"	"[""R16A-SEED-591FA94E63CCFC066A39"",""R16A-SEED-6FB2D4FB4E30EBDD77A1"",""R16A-SEED-BF0BF472EB979E15D3F6""]"	"[""R16A-PCOMP-EC272F6D6B96A0F25F62"",""R16A-PCOMP-933FC0AE97A433065CB9"",""R16A-PCOMP-CEC6FF399BE7CB57A893""]"	R16A-STATE-955AE72BD1EE7B95540455F7	database:object_folder_refs:region
R16A-ENTRY-49EFB16A742B1F13E7CC	49efb16a742b1f13e7cc5e4ed190c1ec68d3ce20409384b72ecaea8d7246c9f1	region	Region	R16A-TOPO-6A0E215F1FF7924B4169	6a0e215f1ff7924b4169681dce4e2cd4ed29eaff0192dc5733b9a532cbdac825	"[""TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0"",""TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed"",""TRV:fd793986cd6d45968d3c7103e778813542e6a9979a85e9cf512450307c9f7342""]"	"[""R16A-PAIR:4cf124f8588611ba0a2f76bce26ab0b5890dcfcf71d9283888d62d58bcdb974a"",""R16A-PAIR:591aa3897c3e0e455ef4bc05b36550f3d010af9e84be8a08c199676025fdeb04""]"	"[""R16A-SEED-BE313A9E04E1D8E0341D"",""R16A-SEED-6029728116DD5C9E0394"",""R16A-SEED-181C6E61B97EA5C3AB3B""]"	"[""R16A-PCOMP-EC8BF4D73663AFD0BE83"",""R16A-PCOMP-0CA416B8A56B0BCCD5E4"",""R16A-PCOMP-F5587A147A768401ACA9""]"	R16A-STATE-69C80977DE7BED00ADDE3981	database:object_folder_refs:region
