vocabulary_candidate_id	canonical_label	normalized_label	status	governed_reason	research_gate	decision_refs_json	provenance_rounds_json	universe_hash
R16A-VOCAB-CAND:a0561fd649cdb6baa784055f051bad796ea0afef17fca38219549deeba4e8c1a	access	access	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SINGLE_ATTESTATION: One explicitly relational but generic use was verified.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0015""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:7f9d535b249b8d3bdd7b9cbde8795580a5dc1e82c55805a11ab9b356f338506d	appropriation	appropriation	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SEMANTIC_AMBIGUITY: Selective local incorporation and colonial extraction require separate senses and further evidence.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0003""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:70f1947047c98353bf96a2de497e42d63f247d0fcce230ed83d3c6f201040bc3	circulation	circulation	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SEMANTIC_AMBIGUITY: Design-element movement and metropolitan circulation are materially different senses.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0002""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:06172600909c7d437e0bc3644f31a0b7d4096212295971e1031bba8fdd4c9cb5	collective production	collective production	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SINGLE_ATTESTATION: One peer-reviewed contextual introduction attests the English phrase; the original term is unverified.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0021""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:41248ebca5a2d0403fb8ae45ce2afdb7f25213db20223ea8a60dc22c77a92fe5	coloniality	coloniality	GOVERNED_RESEARCH_ONLY	Round 13 STRUCTURAL_ANNOTATION_CANDIDATE: Design and architectural histories support a source-bounded continuing condition, while adversarial scholarship rejects a uniform unitary model.	Retain as a contested structural annotation unless a non-universal node role is proven.	"[""docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv#GAP-006:coloniality""]"	"[""ROUND13""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:3e66e742ae474f988ccd20b14942011c0739bddc09b41a165b3d79b0edcbb313	creative appropriation	creative appropriation	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SINGLE_ATTESTATION: The exact modified phrase occurs in one independent work.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0017""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:2991638a7db1b7915c777c8c2afec43d72efcaa3515f309857487fd1663b7403	cultural diplomacy	cultural diplomacy	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SEMANTIC_AMBIGUITY: Two sources attest the phrase but explicitly question its precision and actor boundary.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0030""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:923fdeeff375113cecc3fadb9e94375cd75e31cfbdf882a34d29efd4afb91e76	cultural mobility	cultural mobility	GOVERNED_RESEARCH_ONLY	Round 10 DEFER_SPLIT_REQUIRED: The manifesto deliberately spans colonization, exile, emigration, wandering, contamination, and random events; a single relation role would become universal.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0024#SENSE-A""]"	"[""ROUND10""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:3b1c0afa08be1f6d47155529df238c313b9a08c9b7b96801991a4492705f8eb4	cultural transferral	cultural transferral	GOVERNED_RESEARCH_ONLY	Round 9 DEFER_SINGLE_ATTESTATION: The exact phrase has one design-history work.	Obtain independent, verified design-history attestation and repeat semantic review.	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0029""]"	"[""ROUND9""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
R16A-VOCAB-CAND:f1b6501b24f08a9ca4c0940cc81bbbf04ce522aa81cc5f4ad8f0b497efeb6b2d	cultural translation	cultural translation	GOVERNED_RESEARCH_ONLY	Round 10 DEFER_SPLIT_REQUIRED: New evidence explicitly contests one-way transfer and uses incompatible transfer, negotiation, and transformation senses; internal sense separation is required.	Split competing senses and independently attest each bounded sense.	"[""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0008#SENSE-A""]"	"[""ROUND10""]"	578ec61cac3a0dc43aa38cc3d75e15cd1bf46331f9333a872d9824d6ee648a8f
