workflow_id	composition_id	category_entry_id	seed_id	start_state_id	target_state_id	target_state_hash	target_semantic_hash	workflow_length	steps	replay_count	replay_pass_count	state_replay_mismatch_count	semantic_replay_mismatch_count
R16A-WORKFLOW-000BC9301A4C65CE31FEE421	R16A-PCOMP-6A6E782EE110FEFBD6CE	R16A-ENTRY-1DE2FF3D67B53BD7BBE5	R16A-SEED-FEE3B57F413296934559	R16A-STATE-3E57766C4D02123EEABBCDE7	R16A-STATE-EFB6CE1F5AA6EFDDCF0F8B05	efb6ce1f5aa6efddcf0f8b0587d038c41d4c93f3451a99c521eff458deff16a9	1b6cf9621277bc103bb226c81abef7fb6b4137ec6d3e8e711d7447f126487297	2	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c""}]"	2	2	0	0
R16A-WORKFLOW-000D761BE2D9A5E10F5176AF	R16A-PCOMP-3208DA8095A09ACED7B8	R16A-ENTRY-4BFE43E2A3DE9957FB93	R16A-SEED-43232EB89BDF38C32988	R16A-STATE-C92FBB7554209CAF5379D661	R16A-STATE-624E2C533621EF90942DB582	624e2c533621ef90942db582c4168645f64a9dbf7f566df3e6b5a8b0eed8cd39	efa650553de7aab45f60a49d0bb84cb04f67ac12b12dec2c86b32a2b2810aa73	3	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""}]"	2	2	0	0
R16A-WORKFLOW-001AC74AF9843CD6179D4071	R16A-PCOMP-7E4CEAE64479A82CF9C2	R16A-ENTRY-9A10AFD4676A2874B38C	R16A-SEED-0448FCFCA2F42BEB9B06	R16A-STATE-74CF8561789F290DDB3B44FD	R16A-STATE-E8B36F7475C51074C79E9A68	e8b36f7475c51074c79e9a68b7290b0b013c4a696e01fc1dc9950d9145a98d47	a9529a7967d2fe590c2cc4fa249808f729d1f3b353c9c883b3ceb63e52c1f2ab	1	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:be33e16d8f585c08bb0efe6f0df92659a22d534298639f5318d2a2580546fdcc""}]"	2	2	0	0
R16A-WORKFLOW-00294A35B0DDB9CF1A2A1B60	R16A-PCOMP-F6BDDD3A9B6ED8BB8BE2	R16A-ENTRY-DCBCD4680AD1D43F8C27	R16A-SEED-5E8E33A085FE926F73E6	R16A-STATE-EBF30BE297B620DAB0F8901F	R16A-STATE-E5765D852C00D090F82BA932	e5765d852c00d090f82ba932e38a633bb109ba02dd046af6a635a868a5b0386e	a355f81b3cce64f6ce4078b1a44f249b4083ff889eacc095d24531ee972e0a69	4	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""},{""action"":""FOCUS_NODE"",""target_id"":""TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639""}]"	2	2	0	0
R16A-WORKFLOW-0042065E4080DCD9AB64F46C	R16A-PCOMP-309A80F6789F94FB8991	R16A-ENTRY-DE8240444578E75B9464	R16A-SEED-5C035CB964F50B0F9F32	R16A-STATE-696A03FC5A1C1E51DF38E76D	R16A-STATE-909FC9BBE30F746B2C09C254	909fc9bbe30f746b2c09c25424c5d6d26571784b3e0eaffbacb2fbe37dcdb7b3	2d53286ed659eacc1ea0a2b771933697db05b3c812e6a88432101343c91e8ef7	2	"[{""action"":""EXPAND_NODE"",""target_id"":""TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d""}]"	2	2	0	0
R16A-WORKFLOW-0067C66D65DFD8E6A2528ABC	R16A-PCOMP-2022D6D38C3E8D946120	R16A-ENTRY-36C7B54A958A5E163D77	R16A-SEED-FEC1B488FA1E3AAC87E6	R16A-STATE-05D557AD13E09322035C7BC8	R16A-STATE-DC4635CF3C5595818CD03FB9	dc4635cf3c5595818cd03fb96d7c6eb43aa361d9d45680d2b4e93e9b1240885b	55cc88b59bc566f8befee38aa59f230be102a2e25c4db4950cb8b7c70d93c215	2	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8""}]"	2	2	0	0
R16A-WORKFLOW-006A6A504ADF151BC2EDD140	R16A-PCOMP-632FFB10B3EB8895AC69	R16A-ENTRY-84E933E1ADFB3F455763	R16A-SEED-B94DA38289BD9E7F7EE8	R16A-STATE-9E01C020ACA22DE021F5F766	R16A-STATE-D78E089815AF4301C43D4146	d78e089815af4301c43d414696a92c93e5e15119a05058250af09947f7940c44	0f2c32c45d7c8a4e3027829a5691149d4a88d5b9da30e0cff8b46f4efde08268	1	"[{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""}]"	2	2	0	0
R16A-WORKFLOW-0081859FE5E3C1138C6C5046	R16A-PCOMP-207796BB1106A9B1944D	R16A-ENTRY-838873C85DA1094B688B	R16A-SEED-90C09BACCECA40360BF8	R16A-STATE-8EE00CBA694BBBFDC4C86395	R16A-STATE-3E624285C9FB1F908820952E	3e624285c9fb1f908820952e65be89178525d081bc83b01a573e1444bf57d468	fed0fa6dc8137077c07fd609beaf6b05bf08f622be4ecd8e635cbf330d772951	3	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""}]"	2	2	0	0
R16A-WORKFLOW-009334BCDDF9598D34205F7F	R16A-PCOMP-3F7A7C95533BFC98DCAD	R16A-ENTRY-C2891B6E634A555E9ACD	R16A-SEED-189C41E914D9269DCCD8	R16A-STATE-77B2D3510D92467091BB6C99	R16A-STATE-5030B10E676B478B1F25C50A	5030b10e676b478b1f25c50a7cef6ff7f190400431531776e8d2374ca99b6999	3926ffd6932d5c12323096d4b5cb87aedda93f39b1ce1d1a039ff686d131534f	4	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:b1195fbfc5f343ebd84eb46acece15907e639a564f04af5d04d58c70e127a14b""}]"	2	2	0	0
R16A-WORKFLOW-0098E1BF95DFDE0F710C582B	R16A-PCOMP-535EFE6B1BD800365498	R16A-ENTRY-F0BB0E5BBF0EFD8FA646	R16A-SEED-DDB89DB27A8FAC3D1458	R16A-STATE-FE10DE00CCBD608B44ABA28E	R16A-STATE-32B428D77AA57819B7BAEAA4	32b428d77aa57819b7baeaa4c58b98d6ef79f54d0565eed66d56c718531bf177	a2467aca76f10cc08e98014462fe80e6cada194cbd4e3ceed7a75318d3bb2bdc	3	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:ad8c6f6e417a6d2db992c155701ed13494624142922d58eda2e4ad0fa4672fa8""}]"	2	2	0	0
R16A-WORKFLOW-009CA0D58E13860690808617	R16A-PCOMP-A26E8C9D50CE5D4B7CAD	R16A-ENTRY-54148ACF0E6203E0DE04	R16A-SEED-3CF6D31F7730480B5A0D	R16A-STATE-BFD71744744CAE426D73AFF8	R16A-STATE-2358AE4A0761D0126B6D8679	2358ae4a0761d0126b6d867928a1857ca4e4c248898c4832eaba445a36c11fc7	7c42f9da2f984c1ecfd2afd7a6202e9690c01eaf7e4a3c00907a0050feacd839	1	"[{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""}]"	2	2	0	0
R16A-WORKFLOW-00A4E6D41757D9A3C4115032	R16A-PCOMP-F567D0C892E22A989B48	R16A-ENTRY-E3E7F7FE5935F715005D	R16A-SEED-B4DB1DB383E5BD215484	R16A-STATE-B681015999400F8B450BEBEE	R16A-STATE-0226F2B56E5C2731AAE17F05	0226f2b56e5c2731aae17f05ac71285b6c8f662a1c73298cde6604a0804e3422	cb5bb3359e0f1d9f8a156b42cfcc5f4888a28dd1b1b6833413c4e786ebdf2b61	2	"[{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""},{""action"":""FOCUS_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""}]"	2	2	0	0
R16A-WORKFLOW-00A5A7B92131CADB5674E017	R16A-PCOMP-DEFDAE82AF82AD5D0B49	R16A-ENTRY-34FE968144746CDA094A	R16A-SEED-80BD6FA3957FB56BA56D	R16A-STATE-A6784B2645307CD0909E09A6	R16A-STATE-7AE0C90FCC2EE09D10004749	7ae0c90fcc2ee09d10004749ea4f6bb0157b5bbf5bb513d60cbd6210fe60723c	e9ba47b78852a848d1899ecad76c2e05c0b91d4cc39f1adfd729bb5fec0bb09d	3	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""}]"	2	2	0	0
R16A-WORKFLOW-00ACC2695D3E308BA6CE9356	R16A-PCOMP-2A87426053517ADA1EDB	R16A-ENTRY-BCA65C910DD7522D16E5	R16A-SEED-E670085428E1EE1A7C34	R16A-STATE-BBF71039AA364F43DDB62747	R16A-STATE-12ACE818DBFCDE3C449AB05B	12ace818dbfcde3c449ab05b11b700ece813b9ba9ba63cdaa222853c508d04bc	6893bb8c7b413553a8fe1a7e691e779b060c1d0c42e24ae7f93650af5a5bb096	2	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""}]"	2	2	0	0
R16A-WORKFLOW-00C7A449734359D4B21AAA07	R16A-PCOMP-94D02688D5AA8947285B	R16A-ENTRY-E3E7F7FE5935F715005D	R16A-SEED-327CF448C0149098832C	R16A-STATE-5641E1B410943B1A0EB14F29	R16A-STATE-41F81B1434AB9981CBA4CAED	41f81b1434ab9981cba4caed02ff267276a95c14c026d9bdc4746bcc5b7371f8	cb5bb3359e0f1d9f8a156b42cfcc5f4888a28dd1b1b6833413c4e786ebdf2b61	2	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:c82d3d4865e41e2a263ff0427c4df2b8e3e43a85c835404d033d764468b3ba55""}]"	2	2	0	0
R16A-WORKFLOW-00D2C6C771CF3BC4D442A6D8	R16A-PCOMP-8380935AB49D32903CC1	R16A-ENTRY-602E47DAF2475D706A2B	R16A-SEED-C2EEBAD93D1415782EA0	R16A-STATE-7D520E871622DCFE322CA28F	R16A-STATE-86CC748CB413E767FF7C00DE	86cc748cb413e767ff7c00de95094ca024fd6c5488798b13a44252488ae4aee8	46c5896d504954cbd21fd3d4a5e422761ef565abc3a17751bd8932232d020858	3	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639""},{""action"":""EXPAND_NODE"",""target_id"":""TRV:83a2bff84b1d599d9eed884a09666501c96224a0b3b7457699ef0be145e76e73""}]"	2	2	0	0
R16A-WORKFLOW-00E1E2DF9E29FF023D2A8865	R16A-PCOMP-FB98C7D70C7129EC3E28	R16A-ENTRY-9A10AFD4676A2874B38C	R16A-SEED-0737A7F3E4B463A660DC	R16A-STATE-EE9B1C8BE0FF750BB1417093	R16A-STATE-791F6EAEEFF5D1828A5E1534	791f6eaeeff5d1828a5e1534f88b096a8d741f0bd12577cb69f2e18d74ceda3c	a9529a7967d2fe590c2cc4fa249808f729d1f3b353c9c883b3ceb63e52c1f2ab	1	"[{""action"":""FOCUS_NODE"",""target_id"":""TRV:d366de58d3002458bfb404ee505621e926c518871a4caeffcdfb89b45f8112ef""}]"	2	2	0	0
