pair_id	vocabulary_id_a	vocabulary_id_b	label_a	label_b	canonical_pair_key	final_status	active	round14_assessment_id	method_version	association_strength	evidence_confidence	evidence_status	d1	d2	d3	d4	d5	d6	d7	cooccurrence_only	hard_negative	historical_scope	context_scope	qualification	decision_reason	accepted_evidence_refs	external_query_id	external_result_count	external_accepted_source_ids	external_rejected_source_ids	database_text_cooccurrence_used	database_metadata_relation_inferred	typed_relation_emitted	causal_relation_emitted	directional_relation_emitted
R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	education	piracy	TRV:68bf0109c6f8a87bfa96d1ecd9503326ba35cf4a6086988a1d2c8a20fbef00d1|TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:fca26378ccbe163e69291abe59fa15bc89e5a5f6ea2abfd8f4bafb601b04d114	5	[]	"[""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.4324/9780203133194-14"",""CROSSREF:DOI:10.1093/jdh/epp041"",""CROSSREF:DOI:10.21326/ksdt.2009..22.001""]"	false	false	false	false	false
R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	craft	typography	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737|TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:51b34572f17084cdabfad3b1423a406700f41ce7672f4fd403b8873fffc59118	5	[]	"[""CROSSREF:DOI:10.1093/jdh/epq032"",""CROSSREF:DOI:10.4324/9780240824703-7"",""CROSSREF:DOI:10.53788/swbe0100"",""CROSSREF:DOI:10.1201/9780429021251-10"",""CROSSREF:DOI:10.5040/9781350075054.ch-003""]"	false	false	false	false	false
R16A-PAIR:0471795b66ab53bf966362c86e751036f2262d609e4e32daaf46b5001a5483e7	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce	TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	mediation	imitation	TRV:9e44dae2c5ca8dc916878b28f5ec3720e42ea22d2add139759780727e6f487ce|TRV:f921321aaedb0bb53398796772f843dc4a5963edfba778ee3a6bd9f592e21795	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:357286dbacf9d6720741f6c2af8807d80eb2b4e8907591ec9f9688e80d68a52a	5	[]	"[""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.4324/9780203133194-14"",""CROSSREF:DOI:10.1093/jdh/epp041"",""CROSSREF:DOI:10.21326/ksdt.2009..22.001""]"	false	false	false	false	false
R16A-PAIR:04d0dec2e661992cb054271581e4559553698033be623f96448cc0bad99cc9b9	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	cultural transformation	mobile object	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4|TRV:a85f306d70c2839db5dad35765d50a5b17eec2c9d0dee0641333805efede7b28	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:9b9caf39e44b235e391ba3a8af297e1efe9145f623274cac083d851e22a9b511	5	[]	"[""CROSSREF:DOI:10.1093/jdh/epaa034"",""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.4324/9780203133194-14"",""CROSSREF:DOI:10.5151/despro-icdhs2014-0132""]"	false	false	false	false	false
R16A-PAIR:04d35a95702e4c43c0913c9e64dfb1f02728def0b5063fd8c254e56562988be6	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	adaptation	craft	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0|TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:99c6b5385b54ae2c0645d6aa8401c224bb0420f6a0f0d9dfa05f04ec5b8afb41	5	[]	"[""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.2307/j.ctt18mvngc.7"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.26887/educraf.v1i1.2197"",""CROSSREF:DOI:10.4324/9780203133194-14""]"	false	false	false	false	false
R16A-PAIR:056f2baf267ac9ef82bcc1dcb2385d0392b2e7c948dec1a8423a492ee417bb0b	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	piracy	canonization	TRV:c460d6a56db8d84e6ee3a5c96c4a72ce1170116cab3ad0659544494547ecae77|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:ef16dd71593028390a202277f9f413f6ebf8a967746ca8a175ad979655a27e7e	5	[]	"[""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.4324/9780203133194-14"",""CROSSREF:DOI:10.1093/jdh/epp041"",""CROSSREF:DOI:10.21326/ksdt.2009..22.001""]"	false	false	false	false	false
R16A-PAIR:0726c34ba7385282b28d1824ab7e2a22b212a6000a22bc5adefe1683b984662d	TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	design education	production	TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97|TRV:ab8e18ef4ebebeddc0b3152ce9c9006e14fc05242e3fc9ce32246ea6a9543074	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:0ce1b48c0c80ec91428b9d977640483c2688c7410b0593d76d24c82061ce43a3	5	[]	"[""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.4324/9780203133194-14"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.59236/emro.v20i8a7101"",""CROSSREF:DOI:10.1093/jdh/13.1.23""]"	false	false	false	false	false
R16A-PAIR:07eb81c37fe660533d02896c7767a4ac859acf0d7c9547ef8ca26c2c76046933	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed	TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	cultural negotiation	cultural transformation	TRV:5660ce124250ffd0ecbcf64a7359315bd26afdb0d89c559c03a491cc2138e4ed|TRV:a7835c05c37c3352068d6c2aff509f141e085c6bc072303d3e6676035dc483d4	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:7ffd77af5b92552a72fa59ed8405a0461dabdad91df92bde17d38c6572fb6639	5	[]	"[""CROSSREF:DOI:10.1093/jdh/epaa034"",""CROSSREF:DOI:10.5040/9781474293808.0005"",""CROSSREF:DOI:10.5040/9781474293808.0022"",""CROSSREF:DOI:10.5151/despro-icdhs2014-0132"",""CROSSREF:DOI:10.2307/1511882""]"	false	false	false	false	false
R16A-PAIR:07f20cb4b7aebd4b308a292a44166ced233eee2313fbd8282c2f0d60b5783ae7	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	typography	canonization	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630|TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	INACTIVE_INSUFFICIENT_EVIDENCE	false		trace-generic-association-rubric-v1-round16a-census-clarification-v2	NONE	NONE	NONE	0	0	0	0	0	0	0	false	false	UNESTABLISHED	UNESTABLISHED	No qualifying association evidence was found under the documented protocol; this is not a claim that no historical relationship exists.	Frozen evidence registries contain no qualifying locator-bearing association evidence, and Crossref discovery metadata was not treated as source text.	[]	R16A-CROSSREF-QUERY:aadae3507784a6d72d57a80fae297c02a2c4019b04f4b16e693d430039fb7ff1	5	[]	"[""CROSSREF:DOI:10.1093/jdh/epq032"",""CROSSREF:DOI:10.4324/9780240824703-7"",""CROSSREF:DOI:10.53788/swbe0100"",""CROSSREF:DOI:10.1201/9780429021251-10"",""CROSSREF:DOI:10.5040/9781350075054.ch-003""]"	false	false	false	false	false
R16A-PAIR:09108fb32fbc17acaa1205d07d048a5e74371e81f8c5919a24f86af4ddc3d677	TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	design education	institutionalization	TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	ACTIVE_EXTERNALLY_SUPPORTED	true	R14-ASSOC-021	trace-generic-association-rubric-v1-round16a-census-clarification-v2	MODERATE	HIGH	EXTERNALLY_SUPPORTED	1	2	1	2	2	2	2	false	false	Formal design education and university visual-identity practice	Education, accreditation, universities, associations, and professional logic	The association is institutional and contextual, not a universal path to professional status.	Independent studies repeatedly place formal education and universities within institutionalization contexts.	"[""R14-EVID-021-01"",""R14-EVID-021-02""]"	R16A-CROSSREF-QUERY:17e8a2b174a58ea114c81859192b08f043071153e274c20b65d3da7e1acdc3fb	5	[]	"[""CROSSREF:DOI:10.1093/jdh/16.3.260"",""CROSSREF:DOI:10.4324/9780203133194-14"",""CROSSREF:DOI:10.37862/aaeportal.00152.009"",""CROSSREF:DOI:10.1093/jdh/epp041"",""CROSSREF:DOI:10.1093/jdh/epn019""]"	false	false	false	false	false
