ordinal	pair_id	vocabulary_id_a	vocabulary_id_b	label_a	label_b	normalized_label_a	normalized_label_b	canonical_pair_key	structurally_excluded	pair_universe_hash
1	R16A-PAIR:512afb082fa5749ed840f6f64398636c16cdf16e130752d42ee1d3a876ed29cb	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	consumer culture	supply chain	consumer culture	supply chain	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:177025b0eec6e5e441b7f637224e31440c6cc60afd1d06ced1ad993d4ac8988c	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
2	R16A-PAIR:d1be77b51a32e286fd9758b3d925a996ec762d4b84e8d46c829c2d631b4c1c2c	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	consumer culture	design education	consumer culture	design education	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:20f9f4ed48de5d0e333c767bae2d1a50022c17b7aa2d67b9a00007ee179e4a97	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
3	R16A-PAIR:375d16ae3f308f7385c7f7861fc1ce791ac17d74b0686fbeea96963298af0453	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	consumer culture	photography	consumer culture	photography	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:25f3aeb51f1cc784d9d0bcc166bd876f80678d5528c3e5db0e627a3991ab8fea	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
4	R16A-PAIR:b99cb1170e7b7412e507ba97848ad6583b7364bc9b9cb1724bd77cc60521a224	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	consumer culture	trade	consumer culture	trade	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:276446ba01e3aa387c83b06f54fccc5ac65bdc6099157a2a828716eac9c6fd4d	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
5	R16A-PAIR:fd1e0bad39c6a9e2ec1d51cd1e0ce2c5cb7a6cafebcff68665a52e4d2c9fb931	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	consumer culture	adaptation	consumer culture	adaptation	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
6	R16A-PAIR:0ab42b7a3823a04c08bfa27cd989ba4ddad3bb3a4e4fed529eb98abf341c3c08	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	consumer culture	design diplomacy	consumer culture	design diplomacy	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:303eafd7c2afb63e99e140c4ba2abd1de5f78f9e8ebbb3040b4531b6df568639	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
7	R16A-PAIR:47b9721b10442a072759ce8410309ebaa69ef0f044e68ca75bf9fda4b5614515	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	consumer culture	craft	consumer culture	craft	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:355543f790a3b210ecf36c82a2738896d9574c17e963a63633febac1f2386737	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
8	R16A-PAIR:c91f02319b97d31b8d9b3a785453f6f9b6161e92f362208f69b39e36b8fa1432	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	consumer culture	self-exoticization	consumer culture	self-exoticization	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:448547bdedc22e5502256bdbd2714b8f2f4d7a5cbf8ce1dc30d21f16b18878a8	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
9	R16A-PAIR:7eca7d97f5a18f9212fd9ccad29b93d24d63826d3508d61788d240b0c9b66ada	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	consumer culture	typography	consumer culture	typography	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:48047b49b975ee8880742ea2544b30e8965f1675df787e9d832f8e0c2db87630	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
10	R16A-PAIR:fcbc3657fdfa087345f06d142e688019112d5738b82314d793cdee8a8606c40d	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829	TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	consumer culture	institutionalization	consumer culture	institutionalization	TRV:12c360cc0c3231a45d5841e63ee7f3377be76ee0fa28c3f4dda803186cbbc829|TRV:54d55704f5d7e2caa927feedf94edf8b9dd2ebfafc4b0aa68875bcbcbabaaa79	false	f060a55bd53f6c963bddeea330165abfd238113ea7b158c2e3614e09bebe453f
