ledger_id	pair_id	evidence_channel	source_id	source_kind	creator	year	title	locator	stable_url	doi	domain_alignment	review_disposition	rejection_reason	supports_active_edge	association_context	source_metadata_verified	evidence_verified
R16A-R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0-XREF-01	R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/16.3.260	journal-article	P. Jobling		Graphic Design History * Clean New World: Culture, Politics, and Graphic Design		https://doi.org/10.1093/jdh/16.3.260	10.1093/jdh/16.3.260	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0-XREF-02	R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.37862/aaeportal.00152.009	book-chapter			6. Women in Graphic Design History		https://doi.org/10.37862/aaeportal.00152.009	10.37862/aaeportal.00152.009	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0-XREF-03	R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780203133194-14	book-chapter			Graphic Design		https://doi.org/10.4324/9780203133194-14	10.4324/9780203133194-14	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0-XREF-04	R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epp041	journal-article	T. Triggs		Designing Graphic Design History		https://doi.org/10.1093/jdh/epp041	10.1093/jdh/epp041	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0-XREF-05	R16A-PAIR:0245a1b6c81581ef4e6aa4ff920d6ace4e492acb73af674db68ec372275b8fc0	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.21326/ksdt.2009..22.001	journal-article	Hyun Shin Jo		Graphic Design History as an Introspection Process - Focused on the three points of writing graphic design history -		https://doi.org/10.21326/ksdt.2009..22.001	10.21326/ksdt.2009..22.001	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88-XREF-01	R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1093/jdh/epq032	journal-article	P. Rennie		Modern Typography in Britain: Graphic Design, Politics and Society		https://doi.org/10.1093/jdh/epq032	10.1093/jdh/epq032	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88-XREF-02	R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.4324/9780240824703-7	book-chapter	Jon Krasner		Kinetic Images and Typography		https://doi.org/10.4324/9780240824703-7	10.4324/9780240824703-7	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88-XREF-03	R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.53788/swbe0100	book-chapter	Sandra Bischler; Sarah Klein; Jonas Niedermann; Rudolf Barmettler; Michael Renner		A Visual Approach to the History of Swiss Graphic Design and Typography		https://doi.org/10.53788/swbe0100	10.53788/swbe0100	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88-XREF-04	R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.1201/9780429021251-10	book-chapter	Katherine A. Hughes		Typography in Design		https://doi.org/10.1201/9780429021251-10	10.1201/9780429021251-10	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
R16A-R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88-XREF-05	R16A-PAIR:02e09c6d5dafe37269672d34f6caf7c185ef2325d3d63bded424897e99188a88	CROSSREF_DISCOVERY_METADATA	CROSSREF:DOI:10.5040/9781350075054.ch-003	other			Typography		https://doi.org/10.5040/9781350075054.ch-003	10.5040/9781350075054.ch-003	NOT_TEXT_VERIFIED	REJECTED_METADATA_ONLY_NOT_EVIDENCE	RESULT_METADATA_AND_SNIPPETS_ARE_NOT_LOCATOR_BEARING_SOURCE_TEXT	false		true	false
