relative_path	expected_sha256	expected_bytes	present_in_source_tree	gitignore_rule	evidentiary_role	generating_script	probe_scale	recovery_status	replacement_path	notes
docs/audits/v49-phase2b-performance/evidence/P1_DELIVERY_POST_FIX_1000.log	7074a6e06eedb949e27b96c6abb3766b5e9b3297eac26c2787936cc0ba362bf7	164579	false	*.log	post-fix delivery validation named-group probe	p1_delivery_validation_probe.sql	1000	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/10_P1_DELIVERY_POST_FIX_1000.stdout.log	New log is independently reproduced evidence, never represented as historical bytes.
docs/audits/v49-phase2b-performance/evidence/P1_DELIVERY_POST_FIX_250.log	3c3d6b8ece9b065cc6741251b328e59ba173cbfaee19f407403d271cde9e4a9a	189210	false	*.log	post-fix delivery validation named-group probe	p1_delivery_validation_probe.sql	250	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/09_P1_DELIVERY_POST_FIX_250.stdout.log	New log is independently reproduced evidence, never represented as historical bytes.
docs/audits/v49-phase2b-performance/evidence/P1_DELIVERY_POST_FIX_50.log	4e09387cc65dd78f6d9176b57547b6821da329e8d5875165c5617fa207961c0e	197732	false	*.log	post-fix delivery validation named-group probe	p1_delivery_validation_probe.sql	50	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/08_P1_DELIVERY_POST_FIX_50.stdout.log	New log is independently reproduced evidence, never represented as historical bytes.
docs/audits/v49-phase2b-performance/evidence/P1_DELIVERY_POST_FIX_PLAN_1000.log	185899544f85ce56ec42db3f41377a19a771107f7be856da239995d5fc3e7234	76570	false	*.log	post-fix delivery indexed direct-plan role	p1_delivery_validation_probe.sql	1000	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/11_P1_DELIVERY_POST_FIX_PLAN_1000.stdout.log	The role is re-executed with the official script; timing identity is not claimed.
docs/audits/v49-phase2b-performance/evidence/P1_DELIVERY_PRE_FIX_50.log	d33d81e03f55bc9de1f903ed093746707cec599128d024a31028cc458957a7ec	197500	false	*.log	pre-fix delivery validation pathological-scan probe	p1_delivery_validation_probe.sql	50	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/07_P1_DELIVERY_PRE_FIX_50.stdout.log	Pre-fix means the unchanged Phase 2A schema shared by 86ba95c and 11e7b82 before forward migration.
docs/audits/v49-phase2b-performance/evidence/P1_RIGHTS_LEAF_POST_FIX_1000.log	2727fe48c3606821680b6d31f4b25edba5e4e73e11c1623ef0e7f646a6589f3b	34882	false	*.log	post-fix one-current-leaf named-constraint probe	p1_rights_leaf_probe.sql	1000	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/05_P1_RIGHTS_LEAF_POST_FIX_1000.stdout.log	New log is independently reproduced evidence, never represented as historical bytes.
docs/audits/v49-phase2b-performance/evidence/P1_RIGHTS_LEAF_POST_FIX_250.log	4d2bccc8ee8103aed2f126d7764cc40602b610367debdb5ba64514d9a8dd51d1	34863	false	*.log	post-fix one-current-leaf named-constraint probe	p1_rights_leaf_probe.sql	250	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/04_P1_RIGHTS_LEAF_POST_FIX_250.stdout.log	New log is independently reproduced evidence, never represented as historical bytes.
docs/audits/v49-phase2b-performance/evidence/P1_RIGHTS_LEAF_POST_FIX_50.log	4afd451ac6d9c4141ae46a5994529894db315a288f7ff4cd0048a145e01f1922	34846	false	*.log	post-fix one-current-leaf named-constraint probe	p1_rights_leaf_probe.sql	50	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/03_P1_RIGHTS_LEAF_POST_FIX_50.stdout.log	New log is independently reproduced evidence, never represented as historical bytes.
docs/audits/v49-phase2b-performance/evidence/P1_RIGHTS_LEAF_POST_FIX_PLAN_1000.log	c6751c23bbd957a5330c1a2800ff5ab96ec6d9750a44af7165f5a0d5c83e272e	30155	false	*.log	post-fix one-current-leaf indexed direct-plan role	p1_rights_leaf_probe.sql	1000	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/06_P1_RIGHTS_LEAF_POST_FIX_PLAN_1000.stdout.log	The role is re-executed with the official script; timing identity is not claimed.
docs/audits/v49-phase2b-performance/evidence/P1_RIGHTS_LEAF_PRE_FIX_250.log	90e0a297c3dbc9bdda62b5e56d7c413edb8f8206284eaa38a6c3c801c45085f5	34730	false	*.log	pre-fix one-current-leaf pathological-scan probe	p1_rights_leaf_probe.sql	250	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/02_P1_RIGHTS_LEAF_PRE_FIX_250.stdout.log	Pre-fix means the unchanged Phase 2A schema shared by 86ba95c and 11e7b82 before forward migration.
docs/audits/v49-phase2b-performance/evidence/P1_RIGHTS_LEAF_PRE_FIX_50.log	3ddea4f0da3fbed1d9a974a3d07b78f4f5fa0fd57fc877b1e259d076f7096dd4	34709	false	*.log	pre-fix one-current-leaf pathological-scan probe	p1_rights_leaf_probe.sql	50	NOT_FOUND_AFTER_BOUNDED_READ_ONLY_SEARCH	reproduced/01_P1_RIGHTS_LEAF_PRE_FIX_50.stdout.log	Pre-fix means the unchanged Phase 2A schema shared by 86ba95c and 11e7b82 before forward migration.
