fixture_id	fixture_family	topology_type	topology_candidates	candidate_count	admitted_count	pruned_count	split_count	evidence_gap_count	unresolved_count	failed_control_count	hard_negative_control_count	semantic_core_hash	presentation_hash	status
R15-COMP-001	SINGLE_VALID_PATH	LINEAR_PATH	LINEAR_PATH	1	1	0	0	0	0	0	0	dc6c324471cdb46e6ea1e9bc5754e6bbab42dd8e3de38338159c7ed0bf9514a2	e5a7fb005007e12299b689d87662938e908d68d4abafd624701625430b3fdadd	PASS
R15-COMP-002	DENSE_NEIGHBOURHOOD	BINARY_FORK	BINARY_FORK;BINARY_CONVERGENCE	5	3	2	1	0	0	0	0	a74e58a1ad10d44090fb4c975698aa63f0c2531a9e5ee17689c841cb35346a3a	ac2a80cdec73551dbba224627dc401bd0aef2d908806286e66081053668be9ce	PASS
R15-COMP-003	MULTIPLE_COMPETING_BRANCHES	BINARY_FORK	BINARY_FORK;BINARY_CONVERGENCE	3	3	0	0	0	0	0	0	8516978ef25052e97cf6de4b0b77713427e8ffb0d0cc0ffb0b3921f98fd34699	ec1f6e687c18256f794084c8db3cb170618d0e3f7602ff08647b5ad15c09f31e	PASS
R15-COMP-004	MULTIPLE_VALID_TOPOLOGIES	UNRESOLVED	BINARY_FORK;BINARY_CONVERGENCE	3	3	0	0	0	1	0	0	85bbb3077cb996ca1bb54eedeb3701d0e9f117ac3ba9f4f0f9444b9d4cbf2c14	3464a99b650c1e2748f75ff47388294ed8b3ed0f452c41a0823b607a9efa56da	PASS
R15-COMP-005	UNSUPPORTED_BRIDGE	UNRESOLVED		3	2	0	1	0	1	1	1	c0624648b2a7972d6954534a65c789bc23c712b814f26560c50d5875fd41c06e	7fa2eaf1f4e5b27f28909303462d22ef5701db65ea301e1d39e54b3599a1e52b	PASS
R15-COMP-006	HARD_NEGATIVE_INTRUSION	LINEAR_PATH	LINEAR_PATH	2	1	0	0	0	0	1	1	280299d9cd1138c03e224df5f8e2db81b5eb1d3aa0784db1aaf8a8edd91a9beb	804281d1728d1ba7eaa5333f728e21b9e5d8bb5ca300f0a25bf5b35b889a453b	PASS
R15-COMP-007	ALL_PASS_LOCAL_CLUSTER	BINARY_CONVERGENCE	BINARY_FORK;BINARY_CONVERGENCE	3	3	0	0	0	0	0	0	60059fdf88b9e5a0c5f1a70987f2ef2abd851c6455927918bb182c9c024f2cbd	c9521c34b36b614d8be4de1b4e6a75aba3bd67b67c4e3f7e15599dd73c30782d	PASS
R15-COMP-008	MIXED_SUPPORT_CLASS	UNRESOLVED		2	2	0	1	0	1	0	0	f069d8361d58b8a4e685351fe3af73f1dd0dd3694fc8ea5be925e7cc88ed2dc0	94ef3f32c6e911739f5dc377ce4d79a5dd8ee14e515c981fbb4f883eef203a31	PASS
R15-COMP-009	SPLIT_PRODUCING_GRAPH	UNRESOLVED		5	2	0	1	0	1	3	3	3ba87ea645477f5cb12b28d6821cb58b329388ac7b2ffa6c3d8520a76cb95794	7fa2eaf1f4e5b27f28909303462d22ef5701db65ea301e1d39e54b3599a1e52b	PASS
R15-COMP-010	GAP_PRODUCING_GRAPH	EVIDENCE_GAP_TREE	LINEAR_PATH;EVIDENCE_GAP_TREE	3	1	0	1	1	0	2	2	de7a2d1ba4f9652ef6453c91d05be19433fbc3b888a22affd0b613e77f77e7ed	de3ed869594ffd95f6ad97d0d645a6c89411137c6aea308ecc2ac4550be06f07	PASS
R15-COMP-011	HIGH_DEGREE_SEED	BINARY_FORK	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE	3	2	1	1	0	0	0	0	bfe0aecf73c368bea294b9c93a7c8544a09c35eb59e0a4cd8ce702265f2df052	350775be57a0efae090d1bfe940c51b650ddcc5b446b7543d8b89b3dc148cf83	PASS
R15-COMP-012	PERMUTATION_EQUIVALENT	LINEAR_PATH	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE	2	2	0	0	0	0	0	0	d5f83bda1eb192a972dbc1b5ad18d9954107efed7fb6c710937ab67fb5972d4d	1b308ba7e91aff429b5ac0d613acd33492083cb87606330af5f26d338eba7db2	PASS
R15-COMP-013	DUPLICATE_ASSOCIATION_INPUT	LINEAR_PATH	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE	2	2	0	0	0	0	0	0	67d4ed614752068ea74a8e8c3763692ac13917746e47954226fb419178197a8a	1b308ba7e91aff429b5ac0d613acd33492083cb87606330af5f26d338eba7db2	PASS
R15-COMP-014	TOPOLOGY_LINEAR	LINEAR_PATH	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE	2	2	0	0	0	0	0	0	a833e8e45e6aa090265916d964c41669f7e27f81037133f8b58d2f1e7ea49aea	1b308ba7e91aff429b5ac0d613acd33492083cb87606330af5f26d338eba7db2	PASS
R15-COMP-015	TOPOLOGY_BINARY_FORK	BINARY_FORK	BINARY_FORK;BINARY_CONVERGENCE	3	3	0	0	0	0	0	0	645901465f1d7c499fa2515aceb7d78e90b5331891a81c5e10ab798c9ca07afe	ec1f6e687c18256f794084c8db3cb170618d0e3f7602ff08647b5ad15c09f31e	PASS
R15-COMP-016	TOPOLOGY_BINARY_CONVERGENCE	BINARY_CONVERGENCE	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE	2	2	0	0	0	0	0	0	63c646cf2c2bd38e5ce4e4408fe6710fc89f9c61ca44249b8d373999b2148e5a	1b308ba7e91aff429b5ac0d613acd33492083cb87606330af5f26d338eba7db2	PASS
R15-COMP-017	TOPOLOGY_QUALIFIED_PATH	QUALIFIED_PATH	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE;QUALIFIED_PATH	2	2	0	0	0	0	0	0	0d1246d16cc3f8a66642d4c3d7a830a8d3bd7df3815efe209c871517bb2dfd31	d9c33de6d6e9006fc8982739ab74cf3838600c7210c6e409594a7bec1a45842b	PASS
R15-COMP-018	TOPOLOGY_REFLEXIVE_RETURN	REFLEXIVE_RETURN	LINEAR_PATH;BINARY_FORK;BINARY_CONVERGENCE;REFLEXIVE_RETURN	2	2	0	0	0	0	0	0	b4e58aa91a712248dd7b06b84633ac929a816eb39cd4503c58c78af4ee6dedb9	cda5823e77767a8245dcf90797173ef9ef6595146ef60439729f499c9ab7b545	PASS
R15-COMP-019	TOPOLOGY_EVIDENCE_GAP_TREE	EVIDENCE_GAP_TREE	LINEAR_PATH;EVIDENCE_GAP_TREE	3	1	0	1	1	0	2	2	abca31126fd7dbba0841ebb5097e17f901a8e4f6187cdcb58591217a015a5dda	de3ed869594ffd95f6ad97d0d645a6c89411137c6aea308ecc2ac4550be06f07	PASS
R15-COMP-020	SOURCE_SUPPORTED_COMPOSITION	UNRESOLVED		3	3	0	2	0	1	0	0	c4545355b089b0a5e5ae0de644d02d28890e628690b7c09d9ea4260d3ff1f0cb	45d9ef609b93712a9e07ce1ba5692be6066af353616f6561e45d2d497c585f26	PASS
R15-COMP-021	CLOSURE_ASSOCIATION	BINARY_CONVERGENCE	BINARY_FORK;BINARY_CONVERGENCE	3	3	0	0	0	0	0	0	7d97147aa5a3d290f11dc45cd834be28b5fac002b21bfb2ee37447109d9df796	41218604586a9a6c100a48bf92025d0fd619041a12e8b715fa60ca7430bdeaad	PASS
R15-COMP-022	FAILED_CONTROL_SET_A	UNRESOLVED		3	0	0	0	0	1	3	2	429f1c24dcdcfe1974c506fb7a44deb5aedbc1789933e003a16c09928e0d9e04	cd569266349c8470aecbb43fc89b809df4c4992782dcbb88cf19223ecd23aa3c	PASS
