fixture_id	risk	result	severity	mitigation
R15-COMP-001	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-001	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-001	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-001	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-001	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-001	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-001	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-001	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-002	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-002	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-002	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-002	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-002	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-002	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-002	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-002	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-003	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-003	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-003	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-003	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-003	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-003	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-003	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-003	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-004	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-004	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-004	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-004	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-004	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-004	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-004	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-004	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-005	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-005	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-005	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-005	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-005	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-005	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-005	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-005	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-006	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-006	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-006	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-006	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-006	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-006	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-006	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-006	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-007	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-007	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-007	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-007	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-007	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-007	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-007	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-007	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-008	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-008	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-008	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-008	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-008	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-008	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-008	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-008	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-009	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-009	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-009	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-009	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-009	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-009	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-009	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-009	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-010	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-010	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-010	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-010	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-010	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-010	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-010	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-010	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-011	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-011	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-011	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-011	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-011	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-011	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-011	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-011	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-012	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-012	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-012	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-012	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-012	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-012	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-012	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-012	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-013	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-013	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-013	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-013	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-013	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-013	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-013	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-013	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-014	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-014	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-014	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-014	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-014	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-014	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-014	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-014	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-015	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-015	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-015	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-015	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-015	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-015	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-015	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-015	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-016	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-016	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-016	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-016	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-016	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-016	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-016	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-016	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-017	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-017	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-017	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-017	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-017	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-017	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-017	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-017	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-018	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-018	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-018	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-018	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-018	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-018	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-018	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
R15-COMP-018	gap_as_negative_evidence	PASS	NONE	Gap labels say unresolved evidence, never false or absent in history.
R15-COMP-019	causality	PASS	NONE	No arrowheads or causal labels; edges are explicitly generic associations.
R15-COMP-019	temporal_direction	PASS	NONE	No arrowheads, timelines, or before/after axes.
R15-COMP-019	hierarchy	PASS	NONE	All nodes use one circular layer and equal radius.
R15-COMP-019	importance	PASS	NONE	All nodes use the same visual size; seeds are labelled, not enlarged or centred.
R15-COMP-019	quantitative_strength	PASS	NONE	All admitted lines use one width; geometry is declared cosmetic.
R15-COMP-019	pruning_as_rejection	PASS	NONE	Pruning is shown as a composition note with a non-rejection explanation.
R15-COMP-019	split_as_historical_separation	PASS	NONE	Split is labelled as missing qualified bridge in this input only.
