path	byte_size	sha256
PROJECT_LOG.md	23999	9550b07b9c404777d3fc5e14ded46561119e8c4e024c2a632ea52014039f47f3
docs/audits/v49-exploration-composition-review-round1/00_EXECUTIVE_RECEIPT.md	634	698e34c7b15a147cc1bd24e49ed9166f6ca06756bea92fe5706ef3616b734178
docs/audits/v49-exploration-composition-review-round1/01_INPUT_FREEZE_VALIDATION.md	334	fc911c0b13d6eb84c8b16f8bd98786619ebc80a20191b466f84a05281ba901e8
docs/audits/v49-exploration-composition-review-round1/02_SOURCE_AND_EVIDENCE_VALIDATION.md	298	3428684dde0e58bcb0c4a18e6e819a08006d4e18ebcb67f132654e2decb2d7b7
docs/audits/v49-exploration-composition-review-round1/03_PAIR_DECISION_VALIDATION.md	388	3960186ad5fe84cfcd6c373776d1bdc7e87b1c1021846e1e8cb6cdcdebaa4cc1
docs/audits/v49-exploration-composition-review-round1/04_VOCABULARY_GAP_VALIDATION.md	285	5fd15118ecb90b390ea08a45a811f524ece7d082ca99e7ecdff297e45e11eedc
docs/audits/v49-exploration-composition-review-round1/05_TREE_STRATEGY_VALIDATION.md	541	6189de2453e773b55e5acbf810f2f89f83371229156e25ca2429daa794a0c630
docs/audits/v49-exploration-composition-review-round1/06_INSTANCE_V2_VALIDATION.md	303	117fd714df0f775b86a06f9d075f277e3ec1ed133b3aadc3219299c52686836a
docs/audits/v49-exploration-composition-review-round1/07_ACTIVATION_BOUNDARY.md	241	eaa2b92be3dc97ba2d1c1ca893e3a993e7ec13618f8ea417fb4da8f939c93e71
docs/audits/v49-exploration-composition-review-round1/08_EXTERNAL_REVIEW_PACKET_VALIDATION.md	229	c7d25e354b7e0c8a72131d551526b4ca7af1f2571974aef736ff6b6b99f14f34
docs/audits/v49-exploration-composition-review-round1/09_ZERO_OBJECT_AND_MODEL_BOUNDARY.md	258	57a5af8996fb7945dad0c17da84551aa645c5aeb9b8e14b7fb87a5ae27f0e1d8
docs/audits/v49-exploration-composition-review-round1/10_PROTECTED_SYSTEMS.md	244	13f932d0967cfc7cba1d9c4cc4d05f2a1ce68113e2a8f08d4e6799437711c759
docs/audits/v49-exploration-composition-review-round1/11_CHANGED_FILES.md	827	ed0da4d5ac07f0d74a7ebcb620fdd58657b64dd315e70dc696f0c2b01305a1c0
docs/audits/v49-exploration-composition-review-round1/raw/activation-boundary.json	289	055145942df7e8e59c9d1f5d63de75c07c24af21884fbb7b2fbc9aeb81f52229
docs/audits/v49-exploration-composition-review-round1/raw/composition-evidence.json	146	92faf872e0dc872178bbb3f88c9dc1831582e2399c324f727a54fb0fbf2837c9
