endpoint_id,template,expected_status,request_count,success_count,cold_ms,min_ms,median_ms,p95_ms,max_ms,response_bytes,returned_records,pagination_size,database_query_count,timeout_count,http_5xx_count,deterministic_digest
"visual-registry-current","/api/v1/visual-registries/current","404","31","31","0.185","0.033","0.036","0.419","0.437","257","0","","0","0","0","2a6e14b0241895ea57e80cb186d8912cfa2344a51f31f3fd0ff148f192dbdd64"
"current-release","/api/v1/releases/{release}","200","31","31","21.948","20.527","21.02","43.405","43.693","388","1","","62","0","0","77b6b489b1025ee5be644e892e5022ae81d0c81590fc08d3218e3b25203818c7"
"release-manifest","/api/v1/releases/{release}/manifest","200","31","31","10.713","10.095","10.289","21.133","21.338","388","1","","31","0","0","77b6b489b1025ee5be644e892e5022ae81d0c81590fc08d3218e3b25203818c7"
"archive-overview","/api/v1/releases/{release}/archive/overview","200","31","31","22.235","21.467","21.787","44.782","46.54","436","1","","62","0","0","8d40c8a9efe177a19107ef11ddc4cda7ae2baf268e8483e11e1bfc6c83cd0f7d"
"folder-types","/api/v1/releases/{release}/folder-types","200","31","31","10.85","9.983","10.295","20.436","21.372","343","0","","31","0","0","a64c33f8fff13beccfd7f0310a0760d359d183e32f6838ba964138f73f985418"
"folders","/api/v1/releases/{release}/folders","200","31","31","11.097","10.182","10.568","19.231","19.407","419","0","0","31","0","0","c200526f9c82ff5a370c57639178cde50d4cc8129699d5c0ce6dfa6e26e8613f"
"folder-members","/api/v1/releases/{release}/folders/{id}/surfaces","404","31","31","10.714","10.118","10.385","20.534","21.753","247","0","","31","0","0","b43cda55ee63b4e3cee6d14a6d7d28a69dd6900676424411f363e3033da9c9e6"
"folder-detail","/api/v1/releases/{release}/folders/{id}","404","31","31","10.656","10.11","10.252","22.179","23.831","254","0","","31","0","0","4caf74d4dd579675389b6bdfdb70a1f2ed790821cd44f4894fc97461d786dbf5"
"surface-detail","/api/v1/releases/{release}/surfaces/{id}","200","31","31","22.769","21.414","22.041","45.076","46.555","725","1","","62","0","0","cdc9a9da6659f386447d3180b6b9e70c6cbe5c61d82a3b41e0e03e10cf1072b3"
"search","/api/v1/releases/{release}/search","200","31","31","28.584","27.874","28.332","58.057","58.495","6943","10","10","62","0","0","5cc57d183efeb00babca5a18c8564ca92b327e80abdf9565aa42a4ce447468e0"
"trace-atlas","/api/v1/releases/{release}/trace/atlas","200","31","31","11.171","9.957","10.264","20.3","21.243","430","1","","31","0","0","ad1f87e0d75831a728b6df774a2d6f8d20b38bb032536f3685f7e0e7ffe9edd5"
"trace-objects","/api/v1/releases/{release}/trace/objects","200","31","31","10.559","10.021","10.23","20.307","20.57","419","0","0","31","0","0","c200526f9c82ff5a370c57639178cde50d4cc8129699d5c0ce6dfa6e26e8613f"
"trace-neighborhood","/api/v1/releases/{release}/trace/objects/{id}/neighborhood","404","31","31","10.552","10.095","10.413","20.354","21.769","281","0","","31","0","0","6b270e0d98613c7f97e8a3813fcaf9b4f9b253d4c84211b305f1b3462f7f9e88"
"relation-types","/api/v1/releases/{release}/trace/relation-types","200","31","31","10.704","10.1","10.623","20.239","21.508","343","0","","31","0","0","a64c33f8fff13beccfd7f0310a0760d359d183e32f6838ba964138f73f985418"
"relation-type","/api/v1/releases/{release}/trace/relation-types/{id}","404","31","31","10.673","10.221","10.629","21.753","22.158","263","0","","31","0","0","1a8e6ec0541624549fce3fa211c7652a70e363f3b8b93b004740a9d86bf1a0ff"
"relation-detail","/api/v1/releases/{release}/relations/{id}","404","31","31","10.668","10.119","10.443","19.184","20.346","247","0","","31","0","0","49e4d476bd9525185869a8b0a9f54cae4ac4f92f57756ea89a3c30943daef2ea"
"claim-detail","/api/v1/releases/{release}/claims/{id}","404","31","31","10.61","10.063","10.309","20.529","22.323","241","0","","31","0","0","90652c890b208c1016291dbe6d87a571e55c60f7bb702d0ff81efc0fea746b5b"
"corpus-detail","/api/v1/releases/{release}/corpora/{version}","404","31","31","10.711","10.023","10.295","20.081","21.708","243","0","","31","0","0","df198e8e9196d8a42113a33a54861f49a4e8088f75075f418e2fc81921846a00"
